Data,Saida_Estimada,Saida,Erro
2020-03-27,0,0
2020-03-28,0,0
2020-03-29,0,0
2020-03-30,0,0
2020-03-31,0,0
2020-04-01,0,0
2020-04-02,0,0
2020-04-03,0,0
2020-04-04,0,0
2020-04-05,0,0
2020-04-06,0,0
2020-04-07,0,0
2020-04-08,0,0
2020-04-09,0,0
2020-04-10,0,1
2020-04-11,1,1
2020-04-12,2,0
2020-04-13,2,1
2020-04-14,3,0
2020-04-15,3,0
2020-04-16,3,0
2020-04-17,3,0
2020-04-18,3,4
2020-04-19,8,2
2020-04-20,10,1
2020-04-21,11,1
2020-04-22,12,5
2020-04-23,18,0
2020-04-24,18,3
2020-04-25,22,2
2020-04-26,25,2
2020-04-27,28,5
2020-04-28,35,-2
2020-04-29,33,3
2020-04-30,37,0
2020-05-01,38,0
2020-05-02,39,-1
2020-05-03,38,0
2020-05-04,38,20
2020-05-05,63,-3
2020-05-06,61,18
2020-05-07,85,19
2020-05-08,112,5
2020-05-09,122,+
2020-05-10,125,-1
2020-05-11,127,12
2020-05-12,145,4
2020-05-13,154,-2
2020-05-14,155,26
2020-05-15,191,22
2020-05-16,225,-5
2020-05-17,226,-5
2020-05-18,225,39
2020-05-19,279,6
2020-05-20,296,43
2020-05-21,358,-18
2020-05-22,347,71
2020-05-23,445,-27
2020-05-24,426,-7
2020-05-25,428,-9
2020-05-26,427,-3
2020-05-27,434,-5
2020-05-28,439,-7
2020-05-29,441,-4
2020-05-30,447,212
2020-05-31,725,-56
2020-06-01,685,40
2020-06-02,753,58
2020-06-03,848,15
2020-06-04,893,47
2020-06-05,978,-5
2020-06-06,1001,-7
2020-06-07,1020,-11
2020-06-08,1034,26
2020-06-09,1094,81
2020-06-10,1227,38
2020-06-11,1313,-6
2020-06-12,1344,-5
2020-06-13,1375,-33
2020-06-14,1371,-21
2020-06-15,1380,9
2020-06-16,1427,9
2020-06-17,1477,53
2020-06-18,1584,4
2020-06-19,1635,74
2020-06-20,1774,-19
2020-06-21,1803,-45
2020-06-22,1796,-31
2020-06-23,1804,69
2020-06-24,1938,-1
2020-06-25,1993,49
2020-06-26,2110,66
2020-06-27,2254,-18
2020-06-28,2298,-37
2020-06-29,2315,-49
2020-06-30,2315,43
2020-07-01,2430,58
2020-07-02,2571,41
2020-07-03,2697,23
2020-07-04,2803,12
2020-07-05,2897,-61
2020-07-06,2901,-48
2020-07-07,2918,36
2020-07-08,3041,-23
2020-07-09,3097,40
2020-07-10,3232,9
2020-07-11,3334,15
2020-07-12,3446,-60
2020-07-13,3467,-75
2020-07-14,3466,95
2020-07-15,3677,-57
2020-07-16,3711,50
2020-07-17,3874,-54
2020-07-18,3915,-79
2020-07-19,3922,-67
2020-07-20,3942,-57
2020-07-21,3975,-3975
2020-07-22,4075,+
2020-07-23,4180,+
2020-07-24,4290,+
2020-07-25,4403,+
2020-07-26,4518,+
2020-07-27,4637,+
2020-07-28,4760,+
2020-07-29,4885,+
2020-07-30,5015,+
2020-07-31,5148,+
2020-08-01,5284,+
2020-08-02,5424,+
2020-08-03,5569,+
2020-08-04,5717,+
2020-08-05,5869,+
