Data,Saida_Estimada,Saida,Erro
2020-03-27,0,0
2020-03-28,1,0
2020-03-29,1,0
2020-03-30,3,0
2020-03-31,6,0
2020-04-01,7,0
2020-04-02,7,0
2020-04-03,7,0
2020-04-04,7,3
2020-04-05,10,1
2020-04-06,11,4
2020-04-07,15,16
2020-04-08,30,12
2020-04-09,42,6
2020-04-10,48,0
2020-04-11,49,0
2020-04-12,50,3
2020-04-13,54,2
2020-04-14,57,9
2020-04-15,67,6
2020-04-16,74,1
2020-04-17,77,1
2020-04-18,80,4
2020-04-19,85,-1
2020-04-20,86,-2
2020-04-21,86,-1
2020-04-22,87,-1
2020-04-23,88,-1
2020-04-24,89,-7
2020-04-25,84,3
2020-04-26,89,-1
2020-04-27,90,4
2020-04-28,96,-1
2020-04-29,97,0
2020-04-30,99,2
2020-05-01,103,1
2020-05-02,106,18
2020-05-03,125,-1
2020-05-04,127,5
2020-05-05,135,0
2020-05-06,138,23
2020-05-07,163,10
2020-05-08,177,19
2020-05-09,199,42
2020-05-10,244,75
2020-05-11,321,+
2020-05-12,330,14
2020-05-13,352,5
2020-05-14,366,16
2020-05-15,391,25
2020-05-16,425,3
2020-05-17,439,-10
2020-05-18,441,52
2020-05-19,501,7
2020-05-20,521,4
2020-05-21,539,4
2020-05-22,557,4
2020-05-23,576,65
2020-05-24,652,12
2020-05-25,681,-10
2020-05-26,690,-9
2020-05-27,700,9
2020-05-28,727,6
2020-05-29,752,25
2020-05-30,796,30
2020-05-31,846,3
2020-06-01,872,-19
2020-06-02,877,20
2020-06-03,919,2
2020-06-04,946,33
2020-06-05,1002,6
2020-06-06,1035,8
2020-06-07,1070,+
2020-06-08,1099,38
2020-06-09,1164,39
2020-06-10,1232,18
2020-06-11,1282,38
2020-06-12,1352,92
2020-06-13,1475,63
2020-06-14,1575,13
2020-06-15,1630,-18
2020-06-16,1657,-13
2020-06-17,1689,-10
2020-06-18,1725,-33
2020-06-19,1741,293
2020-06-20,2063,77
2020-06-21,2194,56
2020-06-22,2306,-12
2020-06-23,2358,23
2020-06-24,2443,-2443
2020-06-25,2497,+
2020-06-26,2554,+
2020-06-27,2611,+
2020-06-28,2670,+
2020-06-29,2731,+
2020-06-30,2794,+
2020-07-01,2858,+
2020-07-02,2924,+
2020-07-03,2992,+
2020-07-04,3061,+
2020-07-05,3133,+
2020-07-06,3206,+
2020-07-07,3282,+
2020-07-08,3359,+
2020-07-09,3439,+
