Data,Saida_Estimada,Saida,Erro
2020-02-25,0,0
2020-02-26,0,0
2020-02-27,0,0
2020-02-28,0,0
2020-02-29,0,0
2020-03-01,0,0
2020-03-02,0,0
2020-03-03,0,0
2020-03-04,0,0
2020-03-05,0,0
2020-03-06,0,0
2020-03-07,0,0
2020-03-08,0,0
2020-03-09,0,0
2020-03-10,0,0
2020-03-11,0,0
2020-03-12,0,0
2020-03-13,0,0
2020-03-14,0,0
2020-03-15,0,0
2020-03-16,0,0
2020-03-17,0,0
2020-03-18,0,0
2020-03-19,0,0
2020-03-20,0,0
2020-03-21,0,0
2020-03-22,0,0
2020-03-23,0,0
2020-03-24,0,0
2020-03-25,0,0
2020-03-26,0,0
2020-03-27,0,0
2020-03-28,0,0
2020-03-29,0,0
2020-03-30,0,0
2020-03-31,0,1
2020-04-01,0,0
2020-04-02,0,0
2020-04-03,0,0
2020-04-04,0,0
2020-04-05,0,0
2020-04-06,+,+
2020-04-07,+,+
2020-04-08,+,+
2020-04-09,+,1
2020-04-10,+,+
2020-04-11,+,+
2020-04-12,+,+
2020-04-13,+,+
2020-04-14,+,+
2020-04-15,+,+
2020-04-16,+,1
2020-04-17,+,+
2020-04-18,+,+
2020-04-19,+,1
2020-04-20,+,+
2020-04-21,+,+
2020-04-22,+,1
2020-04-23,+,+
2020-04-24,+,+
2020-04-25,+,2
2020-04-26,+,3
2020-04-27,2,-2
2020-04-28,1,+
2020-04-29,+,4
2020-04-30,2,-1
2020-05-01,2,+
2020-05-02,1,4
2020-05-03,2,-1
2020-05-04,2,-1
2020-05-05,+,4
2020-05-06,2,2
2020-05-07,3,1
2020-05-08,3,-1
2020-05-09,2,+
2020-05-10,1,1
2020-05-11,1,3
2020-05-12,2,1
2020-05-13,3,-3
2020-05-14,1,5
2020-05-15,2,4
2020-05-16,5,2
2020-05-17,5,+
2020-05-18,5,-2
2020-05-19,3,7
2020-05-20,5,-2
2020-05-21,6,5
2020-05-22,5,+
2020-05-23,7,2
2020-05-24,6,+
2020-05-25,6,-6
2020-05-26,3,9
2020-05-27,4,+
2020-05-28,7,-2
2020-05-29,3,+
2020-05-30,3,3
2020-05-31,3,2
2020-06-01,4,-1
2020-06-02,3,10
2020-06-03,6,2
2020-06-04,9,5
2020-06-05,9,10
2020-06-06,14,1
2020-06-07,15,-8
2020-06-08,10,+
2020-06-09,7,3
2020-06-10,8,4
2020-06-11,9,17
2020-06-12,16,-13
2020-06-13,14,-1
2020-06-14,6,9
2020-06-15,12,-4
2020-06-16,10,4
2020-06-17,9,5
2020-06-18,12,2
2020-06-19,12,5
2020-06-20,13,5
2020-06-21,15,-7
2020-06-22,12,2
2020-06-23,9,4
2020-06-24,12,-1
2020-06-25,10,2
2020-06-26,10,-1
2020-06-27,9,-9
2020-06-28,4,6
2020-06-29,3,11
2020-06-30,10,8
2020-07-01,14,-12
2020-07-02,9,1
2020-07-03,4,-1
2020-07-04,6,9
2020-07-05,7,+
2020-07-06,10,-7
2020-07-07,4,-4
2020-07-08,3,+
2020-07-09,3,+
2020-07-10,3,+
2020-07-11,4,+
2020-07-12,4,+
2020-07-13,4,+
2020-07-14,4,+
2020-07-15,4,+
2020-07-16,4,+
2020-07-17,4,+
2020-07-18,4,+
2020-07-19,5,+
2020-07-20,5,+
2020-07-21,5,+
2020-07-22,5,+
