Data,OABiA_Al
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,0.0
2020-03-11,0.0
2020-03-12,0.0
2020-03-13,0.0
2020-03-14,0.0
2020-03-15,0.0
2020-03-16,0.0
2020-03-17,0.0
2020-03-18,0.0
2020-03-19,0.0
2020-03-20,0.0
2020-03-21,0.0
2020-03-22,0.0
2020-03-23,0.0
2020-03-24,0.0
2020-03-25,0.0
2020-03-26,0.0
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,2.0
2020-03-30,2.0
2020-03-31,4.0
2020-04-01,4.0
2020-04-02,6.0
2020-04-03,10.0
2020-04-04,14.0
2020-04-05,18.0
2020-04-06,20.0
2020-04-07,26.0
2020-04-08,33.0
2020-04-09,38.0
2020-04-10,38.0
2020-04-11,42.0
2020-04-12,42.0
2020-04-13,44.0
2020-04-14,47.0
2020-04-15,55.0
2020-04-16,64.0
2020-04-17,72.0
2020-04-18,76.0
2020-04-19,90.0
2020-04-20,93.0
2020-04-21,95.0
2020-04-22,103.0
2020-04-23,121.0
2020-04-24,131.0
2020-04-25,142.0
2020-04-26,147.0
2020-04-27,159.0
2020-04-28,179.0
2020-04-29,196.0
2020-04-30,210.0
2020-05-01,234.0
2020-05-02,246.0
2020-05-03,251.0
2020-05-04,282.0
2020-05-05,292.0
2020-05-06,320.0
2020-05-07,330.0
2020-05-08,366.0
2020-05-09,392.0
2020-05-10,404.0
2020-05-11,422.0
2020-05-12,450.0
2020-05-13,472.0
2020-05-14,524.0
2020-05-15,543.0
2020-05-16,572.0
2020-05-17,590.0
2020-05-18,624.0
2020-05-19,652.0
2020-05-20,724.0
