Data,Saida_Estimada,Saida,Erro
2020-02-25,0,0
2020-02-26,0,0
2020-02-27,0,0
2020-02-28,0,0
2020-02-29,0,0
2020-03-01,0,0
2020-03-02,0,0
2020-03-03,0,0
2020-03-04,0,0
2020-03-05,0,0
2020-03-06,0,0
2020-03-07,0,0
2020-03-08,0,0
2020-03-09,0,0
2020-03-10,0,0
2020-03-11,0,0
2020-03-12,0,0
2020-03-13,0,0
2020-03-14,0,0
2020-03-15,0,0
2020-03-16,0,0
2020-03-17,0,0
2020-03-18,0,0
2020-03-19,0,0
2020-03-20,0,0
2020-03-21,0,0
2020-03-22,0,0
2020-03-23,0,0
2020-03-24,0,0
2020-03-25,0,0
2020-03-26,0,0
2020-03-27,0,0
2020-03-28,0,0
2020-03-29,0,0
2020-03-30,0,0
2020-03-31,0,0
2020-04-01,0,0
2020-04-02,0,0
2020-04-03,0,0
2020-04-04,0,1
2020-04-05,0,1
2020-04-06,+,+
2020-04-07,+,+
2020-04-08,+,+
2020-04-09,+,+
2020-04-10,+,+
2020-04-11,+,1
2020-04-12,+,2
2020-04-13,1,-1
2020-04-14,+,1
2020-04-15,+,1
2020-04-16,+,2
2020-04-17,1,+
2020-04-18,1,-1
2020-04-19,+,1
2020-04-20,+,2
2020-04-21,1,-1
2020-04-22,+,1
2020-04-23,+,2
2020-04-24,1,1
2020-04-25,1,+
2020-04-26,1,1
2020-04-27,1,4
2020-04-28,3,-1
2020-04-29,2,1
2020-04-30,2,1
2020-05-01,2,1
2020-05-02,2,1
2020-05-03,2,1
2020-05-04,2,4
2020-05-05,4,2
2020-05-06,5,-4
2020-05-07,2,3
2020-05-08,3,2
2020-05-09,4,-1
2020-05-10,3,+
2020-05-11,2,-1
2020-05-12,1,12
2020-05-13,7,1
2020-05-14,9,-2
2020-05-15,6,-4
2020-05-16,3,2
2020-05-17,3,8
2020-05-18,8,+
2020-05-19,8,1
2020-05-20,8,-2
2020-05-21,6,3
2020-05-22,7,-1
2020-05-23,6,-1
2020-05-24,5,-4
2020-05-25,2,3
2020-05-26,3,2
2020-05-27,4,6
2020-05-28,7,8
2020-05-29,12,-3
2020-05-30,10,-2
2020-05-31,7,+
2020-06-01,6,+
2020-06-02,5,4
2020-06-03,7,3
2020-06-04,8,-1
2020-06-05,7,-1
2020-06-06,5,4
2020-06-07,7,-4
2020-06-08,4,2
2020-06-09,4,3
2020-06-10,6,-2
2020-06-11,4,10
2020-06-12,9,+
2020-06-13,10,-3
2020-06-14,7,-2
2020-06-15,5,-5
2020-06-16,4,+
2020-06-17,4,+
2020-06-18,4,+
2020-06-19,4,+
2020-06-20,4,+
2020-06-21,4,+
2020-06-22,4,+
2020-06-23,4,+
2020-06-24,4,+
2020-06-25,4,+
2020-06-26,4,+
2020-06-27,4,+
2020-06-28,4,+
2020-06-29,4,+
2020-06-30,4,+
