Data,CASiE_Al
2020-03-15,1.0
2020-03-16,1.0
2020-03-17,4.0
2020-03-18,5.0
2020-03-19,6.0
2020-03-20,6.0
2020-03-21,10.0
2020-03-22,10.0
2020-03-23,10.0
2020-03-24,15.0
2020-03-25,16.0
2020-03-26,16.0
2020-03-27,16.0
2020-03-28,32.0
2020-03-29,32.0
2020-03-30,32.0
2020-03-31,38.0
2020-04-01,40.0
2020-04-02,46.0
2020-04-03,50.0
2020-04-04,54.0
2020-04-05,64.0
2020-04-06,64.0
2020-04-07,72.0
2020-04-08,72.0
2020-04-09,78.0
2020-04-10,84.0
2020-04-11,84.0
2020-04-12,88.0
2020-04-13,88.0
2020-04-14,90.0
2020-04-15,92.0
2020-04-16,96.0
2020-04-17,106.0
2020-04-18,142.0
2020-04-19,166.0
2020-04-20,172.0
2020-04-21,184.0
2020-04-22,234.0
2020-04-23,248.0
2020-04-24,288.0
2020-04-25,306.0
2020-04-26,318.0
2020-04-27,394.0
2020-04-28,560.0
2020-04-29,674.0
2020-04-30,894.0
2020-05-01,1034.0
2020-05-02,1202.0
2020-05-03,1460.0
2020-05-04,1544.0
2020-05-05,1796.0
2020-05-06,1996.0
2020-05-07,2428.0
2020-05-08,2876.0
2020-05-09,3176.0
2020-05-10,3542.0
2020-05-11,3600.0
2020-05-12,4064.0
2020-05-13,4536.0
2020-05-14,4988.0
2020-05-15,5736.0
2020-05-16,6270.0
2020-05-17,6686.0
2020-05-18,7132.0
2020-05-19,7934.0
2020-05-20,8554.0
