Data,CAPiB_Al
2020-03-19,1.0
2020-03-20,1.0
2020-03-21,1.0
2020-03-22,1.0
2020-03-23,2.0
2020-03-24,3.0
2020-03-25,3.0
2020-03-26,5.0
2020-03-27,9.0
2020-03-28,28.0
2020-03-29,28.0
2020-03-30,30.0
2020-03-31,34.0
2020-04-01,40.0
2020-04-02,42.0
2020-04-03,58.0
2020-04-04,64.0
2020-04-05,68.0
2020-04-06,70.0
2020-04-07,72.0
2020-04-08,82.0
2020-04-09,110.0
2020-04-10,158.0
2020-04-11,170.0
2020-04-12,202.0
2020-04-13,222.0
2020-04-14,272.0
2020-04-15,303.0
2020-04-16,330.0
2020-04-17,390.0
2020-04-18,410.0
2020-04-19,472.0
2020-04-20,490.0
2020-04-21,526.0
2020-04-22,602.0
2020-04-23,690.0
2020-04-24,772.0
2020-04-25,894.0
2020-04-26,998.0
2020-04-27,1086.0
2020-04-28,1266.0
2020-04-29,1398.0
2020-04-30,1628.0
2020-05-01,1852.0
2020-05-02,2068.0
2020-05-03,2338.0
2020-05-04,2438.0
2020-05-05,2722.0
2020-05-06,2986.0
2020-05-07,3314.0
2020-05-08,4062.0
2020-05-09,4312.0
2020-05-10,4682.0
2020-05-11,5050.0
2020-05-12,5554.0
2020-05-13,6090.0
2020-05-14,6722.0
2020-05-15,7478.0
2020-05-16,8126.0
2020-05-17,8694.0
2020-05-18,9572.0
2020-05-19,10600.0
2020-05-20,11676.0
