Data,CAPiB_Al
'2020-05-08',1.0
'2020-05-09',1.0
'2020-04-25',1.0
'2020-04-26',1.0
'2020-04-27',1.0
'2020-04-28',1.0
'2020-04-29',1.0
'2020-04-30',1.0
'2020-05-01',2.0
'2020-05-02',2.0
'2020-05-03',2.0
'2020-05-04',2.0
'2020-05-05',2.0
'2020-05-06',3.0
'2020-05-07',3.0
'2020-05-08',6.0
'2020-05-09',6.0
'2020-05-10',6.0
'2020-05-11',6.0
'2020-05-12',6.0
'2020-04-23',1.0
'2020-04-24',1.0
'2020-04-25',1.0
'2020-04-26',1.0
'2020-04-27',1.0
'2020-04-28',1.0
'2020-04-29',1.0
'2020-04-30',1.0
'2020-05-01',1.0
'2020-05-02',1.0
'2020-05-03',1.0
'2020-05-04',1.0
'2020-05-05',1.0
'2020-05-06',1.0
'2020-05-07',1.0
'2020-05-08',1.0
'2020-05-09',1.0
'2020-05-10',1.0
'2020-05-11',1.0
'2020-05-12',1.0
'2020-05-05',1.0
'2020-05-06',1.0
'2020-05-07',1.0
'2020-05-08',3.0
'2020-05-09',3.0
'2020-05-10',3.0
'2020-05-11',5.0
'2020-05-12',5.0
'2020-04-30',1.0
'2020-05-01',2.0
'2020-05-02',4.0
'2020-05-03',7.0
'2020-05-04',7.0
'2020-05-05',8.0
'2020-05-06',8.0
'2020-05-07',15.0
'2020-05-08',24.0
'2020-05-09',24.0
'2020-05-10',24.0
'2020-05-11',32.0
'2020-05-12',34.0
'2020-04-15',1.0
'2020-04-16',1.0
'2020-04-17',1.0
'2020-04-18',1.0
'2020-04-19',1.0
'2020-04-20',1.0
'2020-04-21',1.0
'2020-04-22',1.0
'2020-04-23',1.0
'2020-04-24',2.0
'2020-04-25',3.0
'2020-04-26',4.0
'2020-04-27',4.0
'2020-04-28',5.0
'2020-04-29',5.0
'2020-04-30',5.0
'2020-05-01',5.0
'2020-05-02',15.0
'2020-05-03',6.0
'2020-05-04',6.0
'2020-05-05',6.0
'2020-05-06',6.0
'2020-05-07',6.0
'2020-05-08',6.0
'2020-05-09',6.0
'2020-05-10',6.0
'2020-05-11',6.0
'2020-05-12',6.0
'2020-04-29',1.0
'2020-04-30',1.0
'2020-05-01',1.0
'2020-05-02',1.0
'2020-05-03',1.0
'2020-05-04',1.0
'2020-05-05',1.0
'2020-05-06',3.0
'2020-05-07',3.0
'2020-05-08',4.0
'2020-05-09',4.0
'2020-05-10',4.0
'2020-05-11',4.0
'2020-05-12',5.0
'2020-04-26',1.0
'2020-04-27',1.0
'2020-04-28',1.0
'2020-04-29',1.0
'2020-04-30',1.0
'2020-05-01',1.0
'2020-05-02',1.0
'2020-05-03',1.0
'2020-05-04',1.0
'2020-05-05',1.0
'2020-05-06',1.0
'2020-05-07',3.0
'2020-05-08',3.0
'2020-05-09',3.0
'2020-05-10',4.0
'2020-05-11',4.0
'2020-05-12',5.0
'2020-05-10',1.0
'2020-05-11',2.0
'2020-05-12',2.0
'2020-05-08',4.0
'2020-05-09',4.0
'2020-05-10',4.0
'2020-05-11',4.0
'2020-05-12',4.0
'2020-05-08',1.0
'2020-05-09',1.0
'2020-05-10',1.0
'2020-05-11',1.0
'2020-05-12',3.0
'2020-05-10',2.0
'2020-05-11',2.0
'2020-05-12',2.0
'2020-04-23',1.0
'2020-04-24',1.0
'2020-04-25',1.0
'2020-04-26',1.0
'2020-04-27',1.0
'2020-04-28',1.0
'2020-04-29',1.0
'2020-04-30',1.0
'2020-05-01',1.0
'2020-05-02',1.0
'2020-05-03',1.0
'2020-05-04',1.0
'2020-05-05',1.0
'2020-05-06',1.0
'2020-05-07',1.0
'2020-05-08',1.0
'2020-05-09',1.0
'2020-05-10',1.0
'2020-05-11',1.0
'2020-05-12',1.0
'2020-04-09',1.0
'2020-04-10',1.0
'2020-04-12',1.0
'2020-04-13',1.0
'2020-04-14',4.0
'2020-04-15',4.0
'2020-04-16',4.0
'2020-04-17',6.0
'2020-04-18',6.0
'2020-04-19',8.0
'2020-04-20',8.0
'2020-04-21',9.0
'2020-04-22',9.0
'2020-04-23',10.0
'2020-04-24',10.0
'2020-04-25',12.0
'2020-04-26',15.0
'2020-04-27',15.0
'2020-04-28',17.0
'2020-04-29',19.0
'2020-04-30',30.0
'2020-05-01',34.0
'2020-05-02',39.0
'2020-05-03',41.0
'2020-05-04',43.0
'2020-05-05',44.0
'2020-05-06',45.0
'2020-05-07',58.0
'2020-05-08',62.0
'2020-05-09',64.0
'2020-05-10',68.0
'2020-05-11',69.0
'2020-05-12',70.0
'2020-05-12',1.0
'2020-04-21',1.0
'2020-04-22',1.0
'2020-04-23',1.0
'2020-04-24',1.0
'2020-04-25',1.0
'2020-04-26',1.0
'2020-04-27',1.0
'2020-04-28',1.0
'2020-04-29',1.0
'2020-04-30',1.0
'2020-05-01',1.0
'2020-05-02',1.0
'2020-05-03',1.0
'2020-05-04',1.0
'2020-05-05',1.0
'2020-05-06',1.0
'2020-05-07',1.0
'2020-05-08',1.0
'2020-05-09',1.0
'2020-05-10',1.0
'2020-05-11',1.0
'2020-05-12',1.0
'2020-04-26',1.0
'2020-04-27',1.0
'2020-04-28',1.0
'2020-04-29',1.0
'2020-04-30',1.0
'2020-05-01',1.0
'2020-05-02',1.0
'2020-05-03',1.0
'2020-05-04',1.0
'2020-05-05',1.0
'2020-05-06',1.0
'2020-05-07',1.0
'2020-05-08',1.0
'2020-05-09',1.0
'2020-05-10',1.0
'2020-05-11',1.0
'2020-05-12',2.0
'2020-03-28',1.0
'2020-03-29',1.0
'2020-03-30',1.0
'2020-03-31',2.0
'2020-04-01',1.0
'2020-04-02',1.0
'2020-04-03',1.0
'2020-04-04',1.0
'2020-04-05',1.0
'2020-04-06',1.0
'2020-04-07',1.0
'2020-04-08',1.0
'2020-04-09',1.0
'2020-04-10',1.0
'2020-04-11',1.0
'2020-04-12',1.0
'2020-04-13',1.0
'2020-04-14',1.0
'2020-04-15',1.0
'2020-04-16',1.0
'2020-04-17',1.0
'2020-04-18',1.0
'2020-04-19',1.0
'2020-04-20',1.0
'2020-04-21',1.0
'2020-04-22',1.0
'2020-04-23',1.0
'2020-04-24',1.0
'2020-04-25',1.0
'2020-04-26',1.0
'2020-04-27',1.0
'2020-04-28',1.0
'2020-04-29',1.0
'2020-04-30',1.0
'2020-05-01',1.0
'2020-05-02',1.0
'2020-05-03',1.0
'2020-05-04',1.0
'2020-05-05',1.0
'2020-05-06',1.0
'2020-05-07',1.0
'2020-05-08',1.0
'2020-05-09',1.0
'2020-05-10',1.0
'2020-05-11',1.0
'2020-05-12',1.0
'2020-05-08',1.0
'2020-05-09',1.0
'2020-05-10',1.0
'2020-05-11',1.0
'2020-05-12',1.0
'2020-04-25',1.0
'2020-04-26',1.0
'2020-04-27',1.0
'2020-04-28',1.0
'2020-04-29',1.0
'2020-04-30',1.0
'2020-05-01',1.0
'2020-05-02',1.0
'2020-05-03',1.0
'2020-05-04',1.0
'2020-05-05',1.0
'2020-05-06',1.0
'2020-05-07',1.0
'2020-05-08',1.0
'2020-05-09',1.0
'2020-05-10',1.0
'2020-05-11',1.0
'2020-05-12',1.0
'2020-04-25',1.0
'2020-04-26',1.0
'2020-04-27',1.0
'2020-04-28',1.0
'2020-04-29',1.0
'2020-04-30',2.0
'2020-05-01',3.0
'2020-05-02',3.0
'2020-05-03',3.0
'2020-05-04',3.0
'2020-05-05',4.0
'2020-05-06',5.0
'2020-05-07',13.0
'2020-05-08',33.0
'2020-05-09',39.0
'2020-05-10',40.0
'2020-05-11',54.0
'2020-05-12',54.0
'2020-04-02',1.0
'2020-04-03',1.0
'2020-04-04',1.0
'2020-04-05',1.0
'2020-04-06',1.0
'2020-04-07',1.0
'2020-04-08',1.0
'2020-04-09',2.0
'2020-04-10',4.0
'2020-04-11',4.0
'2020-04-12',4.0
'2020-04-13',5.0
'2020-04-14',5.0
'2020-04-15',5.0
'2020-04-16',6.0
'2020-04-17',7.0
'2020-04-18',8.0
'2020-04-19',9.0
'2020-04-20',9.0
'2020-04-21',11.0
'2020-04-22',12.0
'2020-04-23',15.0
'2020-04-24',15.0
'2020-04-25',16.0
'2020-04-26',16.0
'2020-04-27',19.0
'2020-04-28',22.0
'2020-04-29',22.0
'2020-04-30',26.0
'2020-05-01',28.0
'2020-05-02',29.0
'2020-05-03',36.0
'2020-05-04',39.0
'2020-05-05',44.0
'2020-05-06',51.0
'2020-05-07',57.0
'2020-05-08',82.0
'2020-05-09',83.0
'2020-05-10',89.0
'2020-05-11',98.0
'2020-05-12',113.0
'2020-05-02',1.0
'2020-05-03',1.0
'2020-05-04',1.0
'2020-05-05',1.0
'2020-05-06',1.0
'2020-05-07',2.0
'2020-05-08',1.0
'2020-05-09',1.0
'2020-05-10',2.0
'2020-05-11',2.0
'2020-05-12',5.0
'2020-04-22',2.0
'2020-04-23',2.0
'2020-04-24',4.0
'2020-04-25',4.0
'2020-04-26',4.0
'2020-04-27',4.0
'2020-04-28',4.0
'2020-04-29',5.0
'2020-04-30',5.0
'2020-05-01',8.0
'2020-05-02',13.0
'2020-05-03',10.0
'2020-05-04',10.0
'2020-05-05',12.0
'2020-05-06',13.0
'2020-05-07',14.0
'2020-05-08',18.0
'2020-05-09',18.0
'2020-05-10',18.0
'2020-05-11',19.0
'2020-05-12',22.0
'2020-05-08',1.0
'2020-05-09',1.0
'2020-05-10',1.0
'2020-05-11',1.0
'2020-05-12',1.0
'2020-03-28',2.0
'2020-03-29',2.0
'2020-03-30',2.0
'2020-03-31',1.0
'2020-04-01',2.0
'2020-04-02',2.0
'2020-04-03',2.0
'2020-04-04',2.0
'2020-04-05',2.0
'2020-04-06',3.0
'2020-04-07',3.0
'2020-04-08',3.0
'2020-04-09',3.0
'2020-04-10',3.0
'2020-04-11',3.0
'2020-04-12',3.0
'2020-04-13',3.0
'2020-04-14',3.0
'2020-04-15',3.0
'2020-04-16',4.0
'2020-04-17',8.0
'2020-04-18',8.0
'2020-04-19',12.0
'2020-04-20',12.0
'2020-04-21',12.0
'2020-04-22',20.0
'2020-04-23',24.0
'2020-04-24',30.0
'2020-04-25',35.0
'2020-04-26',39.0
'2020-04-27',39.0
'2020-04-28',42.0
'2020-04-29',45.0
'2020-04-30',51.0
'2020-05-01',51.0
'2020-05-02',53.0
'2020-05-03',61.0
'2020-05-04',62.0
'2020-05-05',67.0
'2020-05-06',74.0
'2020-05-07',78.0
'2020-05-08',89.0
'2020-05-09',100.0
'2020-05-10',108.0
'2020-05-11',125.0
'2020-05-12',134.0
'2020-05-06',1.0
'2020-05-07',1.0
'2020-05-08',1.0
'2020-05-09',1.0
'2020-05-10',1.0
'2020-05-11',4.0
'2020-05-12',4.0
'2020-05-02',1.0
'2020-05-03',1.0
'2020-05-04',1.0
'2020-05-05',1.0
'2020-05-06',1.0
'2020-05-07',1.0
'2020-05-08',1.0
'2020-05-09',1.0
'2020-05-10',1.0
'2020-05-11',1.0
'2020-05-12',1.0
'2020-04-29',2.0
'2020-04-30',1.0
'2020-05-01',1.0
'2020-05-02',1.0
'2020-05-03',1.0
'2020-05-04',1.0
'2020-05-05',1.0
'2020-05-06',1.0
'2020-05-07',1.0
'2020-05-08',1.0
'2020-05-09',1.0
'2020-05-10',1.0
'2020-05-11',1.0
'2020-05-12',1.0
'2020-05-07',2.0
'2020-05-08',11.0
'2020-05-09',11.0
'2020-05-10',11.0
'2020-05-11',11.0
'2020-05-12',14.0
'2020-04-22',1.0
'2020-04-23',1.0
'2020-04-24',1.0
'2020-04-25',4.0
'2020-04-26',5.0
'2020-04-27',5.0
'2020-04-28',5.0
'2020-04-29',8.0
'2020-04-30',8.0
'2020-05-01',13.0
'2020-05-02',16.0
'2020-05-03',17.0
'2020-05-04',17.0
'2020-05-05',17.0
'2020-05-06',18.0
'2020-05-07',19.0
'2020-05-08',19.0
'2020-05-09',20.0
'2020-05-10',20.0
'2020-05-11',21.0
'2020-05-12',22.0
'2020-04-19',1.0
'2020-04-20',1.0
'2020-04-21',1.0
'2020-04-22',1.0
'2020-04-23',1.0
'2020-04-24',1.0
'2020-04-25',1.0
'2020-04-26',1.0
'2020-04-27',1.0
'2020-04-28',1.0
'2020-04-29',1.0
'2020-04-30',1.0
'2020-05-01',1.0
'2020-05-02',1.0
'2020-05-03',1.0
'2020-05-04',1.0
'2020-05-05',1.0
'2020-05-06',1.0
'2020-05-07',1.0
'2020-05-08',2.0
'2020-05-09',2.0
'2020-05-10',2.0
'2020-05-11',3.0
'2020-05-12',3.0
'2020-04-23',1.0
'2020-04-24',1.0
'2020-04-25',1.0
'2020-04-26',1.0
'2020-04-27',1.0
'2020-04-28',1.0
'2020-04-29',1.0
'2020-04-30',1.0
'2020-05-01',1.0
'2020-05-02',1.0
'2020-05-03',1.0
'2020-05-04',1.0
'2020-05-05',3.0
'2020-05-06',3.0
'2020-05-07',3.0
'2020-05-08',3.0
'2020-05-09',3.0
'2020-05-10',4.0
'2020-05-11',4.0
'2020-05-12',5.0
'2020-04-25',1.0
'2020-04-26',1.0
'2020-04-27',1.0
'2020-04-28',1.0
'2020-04-29',1.0
'2020-04-30',1.0
'2020-05-01',1.0
'2020-05-02',2.0
'2020-05-03',3.0
'2020-05-04',3.0
'2020-05-05',3.0
'2020-05-06',3.0
'2020-05-07',3.0
'2020-05-08',3.0
'2020-05-09',3.0
'2020-05-10',3.0
'2020-05-11',3.0
'2020-05-12',3.0
'2020-04-22',1.0
'2020-04-23',1.0
'2020-04-24',1.0
'2020-04-25',1.0
'2020-04-26',2.0
'2020-04-27',2.0
'2020-04-28',3.0
'2020-04-29',3.0
'2020-04-30',3.0
'2020-05-01',3.0
'2020-05-02',3.0
'2020-05-03',4.0
'2020-05-04',4.0
'2020-05-05',6.0
'2020-05-06',7.0
'2020-05-07',9.0
'2020-05-08',13.0
'2020-05-09',17.0
'2020-05-10',21.0
'2020-05-11',21.0
'2020-05-12',22.0
'2020-05-12',1.0
'2020-05-08',2.0
'2020-05-09',4.0
'2020-05-10',4.0
'2020-05-11',4.0
'2020-05-12',5.0
'2020-05-11',1.0
'2020-05-12',1.0
'2020-05-11',1.0
'2020-05-12',1.0
'2020-04-27',1.0
'2020-04-28',2.0
'2020-04-29',2.0
'2020-04-30',2.0
'2020-05-01',2.0
'2020-05-02',2.0
'2020-05-03',2.0
'2020-05-04',2.0
'2020-05-05',2.0
'2020-05-06',2.0
'2020-05-07',2.0
'2020-05-08',4.0
'2020-05-09',4.0
'2020-05-10',4.0
'2020-05-11',4.0
'2020-05-12',4.0
'2020-05-10',1.0
'2020-05-11',1.0
'2020-05-12',2.0
'2020-04-24',3.0
'2020-04-25',3.0
'2020-04-26',3.0
'2020-04-27',3.0
'2020-04-28',3.0
'2020-04-29',4.0
'2020-04-30',4.0
'2020-05-01',7.0
'2020-05-02',10.0
'2020-05-03',15.0
'2020-05-04',21.0
'2020-05-05',24.0
'2020-05-06',28.0
'2020-05-07',36.0
'2020-05-08',60.0
'2020-05-09',73.0
'2020-05-10',73.0
'2020-05-11',89.0
'2020-05-12',103.0
'2020-04-26',1.0
'2020-04-27',1.0
'2020-04-28',1.0
'2020-04-29',1.0
'2020-04-30',1.0
'2020-05-01',1.0
'2020-05-02',1.0
'2020-05-03',1.0
'2020-05-04',1.0
'2020-05-05',2.0
'2020-05-06',2.0
'2020-05-07',2.0
'2020-05-08',4.0
'2020-05-09',4.0
'2020-05-10',4.0
'2020-05-11',4.0
'2020-05-12',4.0
'2020-05-02',1.0
'2020-05-03',3.0
'2020-05-04',3.0
'2020-05-05',3.0
'2020-05-06',3.0
'2020-05-07',3.0
'2020-05-08',3.0
'2020-05-09',3.0
'2020-05-10',3.0
'2020-05-11',3.0
'2020-05-12',3.0
'2020-05-10',1.0
'2020-05-11',1.0
'2020-05-12',1.0
'2020-04-22',1.0
'2020-04-23',1.0
'2020-04-24',1.0
'2020-04-25',2.0
'2020-04-26',2.0
'2020-04-27',2.0
'2020-04-28',2.0
'2020-04-29',2.0
'2020-04-30',2.0
'2020-05-01',2.0
'2020-05-02',2.0
'2020-05-03',2.0
'2020-05-04',2.0
'2020-05-05',2.0
'2020-05-06',2.0
'2020-05-07',3.0
'2020-05-08',7.0
'2020-05-09',7.0
'2020-05-10',7.0
'2020-05-11',8.0
'2020-05-12',10.0
'2020-05-03',1.0
'2020-05-04',1.0
'2020-05-05',1.0
'2020-05-06',1.0
'2020-05-07',2.0
'2020-05-08',2.0
'2020-05-09',2.0
'2020-05-10',2.0
'2020-05-11',2.0
'2020-05-12',2.0
'2020-04-23',1.0
'2020-04-24',2.0
'2020-04-25',3.0
'2020-04-26',3.0
'2020-04-27',3.0
'2020-04-28',3.0
'2020-04-29',3.0
'2020-04-30',3.0
'2020-05-01',3.0
'2020-05-02',4.0
'2020-05-03',3.0
'2020-05-04',3.0
'2020-05-05',4.0
'2020-05-06',4.0
'2020-05-07',4.0
'2020-05-08',4.0
'2020-05-09',4.0
'2020-05-10',5.0
'2020-05-11',5.0
'2020-05-12',5.0
'2020-05-12',2.0
'2020-03-28',10.0
'2020-03-29',10.0
'2020-03-30',11.0
'2020-03-31',12.0
'2020-04-01',15.0
'2020-04-02',15.0
'2020-04-03',23.0
'2020-04-04',24.0
'2020-04-05',26.0
'2020-04-06',26.0
'2020-04-07',27.0
'2020-04-08',30.0
'2020-04-09',40.0
'2020-04-10',58.0
'2020-04-11',64.0
'2020-04-12',78.0
'2020-04-13',86.0
'2020-04-14',103.0
'2020-04-15',115.0
'2020-04-16',124.0
'2020-04-17',142.0
'2020-04-18',148.0
'2020-04-19',163.0
'2020-04-20',172.0
'2020-04-21',185.0
'2020-04-22',205.0
'2020-04-23',230.0
'2020-04-24',254.0
'2020-04-25',286.0
'2020-04-26',313.0
'2020-04-27',349.0
'2020-04-28',410.0
'2020-04-29',436.0
'2020-04-30',499.0
'2020-05-01',563.0
'2020-05-02',614.0
'2020-05-03',701.0
'2020-05-04',711.0
'2020-05-05',802.0
'2020-05-06',865.0
'2020-05-07',907.0
'2020-05-08',1062.0
'2020-05-09',1114.0
'2020-05-10',1179.0
'2020-05-11',1230.0
'2020-05-12',1316.0
'2020-05-11',1.0
'2020-05-12',1.0
'2020-05-07',1.0
'2020-05-08',1.0
'2020-05-09',1.0
'2020-05-10',1.0
'2020-05-11',5.0
'2020-05-12',5.0
'2020-04-04',1.0
'2020-04-05',1.0
'2020-04-06',1.0
'2020-04-07',1.0
'2020-04-08',1.0
'2020-04-09',1.0
'2020-04-10',1.0
