Data,CasosAcumulados_RN_Alberto
'2020-03-29',1.0
'2020-03-30',2.0
'2020-03-31',2.0
'2020-04-01',2.0
'2020-04-02',3.0
'2020-04-03',5.0
'2020-04-04',5.0
'2020-04-05',7.0
'2020-04-06',4.0
'2020-04-07',4.0
'2020-04-08',12.0
'2020-04-09',12.0
'2020-04-10',8.0
'2020-04-11',6.0
'2020-04-12',5.0
'2020-04-13',6.0
'2020-04-14',6.0
'2020-04-15',6.0
'2020-04-16',6.0
'2020-04-17',6.0
'2020-04-18',5.0
'2020-04-20',5.0
'2020-04-21',5.0
'2020-04-22',5.0
'2020-04-23',5.0
'2020-04-24',8.0
'2020-04-25',8.0
'2020-04-26',8.0
'2020-04-27',8.0
'2020-04-28',9.0
'2020-04-29',10.0
'2020-04-30',6.0
'2020-05-01',6.0
'2020-05-02',7.0
'2020-05-03',8.0
'2020-05-04',8.0
'2020-05-05',8.0
'2020-05-06',8.0
'2020-05-07',8.0
'2020-05-08',8.0
'2020-05-09',9.0
'2020-05-10',9.0
'2020-05-11',8.0
'2020-05-12',7.0
'2020-04-14',1.0
'2020-04-15',1.0
'2020-04-16',1.0
'2020-04-17',1.0
'2020-04-18',1.0
'2020-04-19',1.0
'2020-04-20',1.0
'2020-04-21',1.0
'2020-04-22',1.0
'2020-04-23',1.0
'2020-04-24',1.0
'2020-04-25',1.0
'2020-04-26',1.0
'2020-04-27',1.0
'2020-04-28',1.0
'2020-04-29',1.0
'2020-04-30',2.0
'2020-05-01',1.0
'2020-05-02',1.0
'2020-05-03',1.0
'2020-05-04',1.0
'2020-05-05',1.0
'2020-05-06',1.0
'2020-05-07',2.0
'2020-05-08',2.0
'2020-05-09',2.0
'2020-05-10',2.0
'2020-05-11',2.0
'2020-05-12',2.0
'2020-03-29',1.0
'2020-03-30',1.0
'2020-03-31',1.0
'2020-04-01',1.0
'2020-04-02',1.0
'2020-04-03',6.0
'2020-04-04',6.0
'2020-04-05',7.0
'2020-04-06',8.0
'2020-04-07',8.0
'2020-04-08',8.0
'2020-04-09',8.0
'2020-04-10',8.0
'2020-04-11',8.0
'2020-04-12',8.0
'2020-04-13',10.0
'2020-04-14',11.0
'2020-04-15',13.0
'2020-04-16',13.0
'2020-04-17',16.0
'2020-04-18',18.0
'2020-04-19',19.0
'2020-04-20',19.0
'2020-04-21',20.0
'2020-04-22',24.0
'2020-04-23',24.0
'2020-04-24',25.0
'2020-04-25',29.0
'2020-04-26',29.0
'2020-04-27',29.0
'2020-04-28',31.0
'2020-04-29',35.0
'2020-04-30',35.0
'2020-05-01',42.0
'2020-05-02',42.0
'2020-05-03',42.0
'2020-05-04',42.0
'2020-05-05',42.0
'2020-05-06',46.0
'2020-05-07',49.0
'2020-05-08',52.0
'2020-05-09',55.0
'2020-05-10',55.0
'2020-05-11',54.0
'2020-05-12',56.0
'2020-05-06',1.0
'2020-05-07',1.0
'2020-05-08',1.0
'2020-05-09',1.0
'2020-05-10',1.0
'2020-05-11',1.0
'2020-05-12',1.0
'2020-04-22',1.0
'2020-04-23',1.0
'2020-04-24',1.0
'2020-04-25',1.0
'2020-04-26',1.0
'2020-04-27',1.0
'2020-04-28',1.0
'2020-04-29',5.0
'2020-04-30',4.0
'2020-05-01',4.0
'2020-05-02',4.0
'2020-05-03',4.0
'2020-05-04',4.0
'2020-05-05',4.0
'2020-05-06',4.0
'2020-05-07',4.0
'2020-05-08',5.0
'2020-05-09',5.0
'2020-05-10',5.0
'2020-05-11',5.0
'2020-05-12',4.0
'2020-04-19',1.0
'2020-04-20',1.0
'2020-04-21',1.0
'2020-04-22',1.0
'2020-04-23',1.0
'2020-04-24',1.0
'2020-04-25',1.0
'2020-04-26',1.0
'2020-04-27',1.0
'2020-04-28',2.0
'2020-04-29',2.0
'2020-04-30',2.0
'2020-05-01',2.0
'2020-05-02',2.0
'2020-05-03',2.0
'2020-05-04',2.0
'2020-05-05',2.0
'2020-05-06',2.0
'2020-05-07',3.0
'2020-05-08',4.0
'2020-05-09',4.0
'2020-05-10',5.0
'2020-05-11',5.0
'2020-05-12',5.0
'2020-05-11',1.0
'2020-05-12',1.0
'2020-03-30',1.0
'2020-03-31',1.0
'2020-04-01',1.0
'2020-04-02',1.0
'2020-04-03',1.0
'2020-04-04',1.0
'2020-04-05',1.0
'2020-04-06',1.0
'2020-04-07',1.0
'2020-04-08',2.0
'2020-04-09',2.0
'2020-04-10',2.0
'2020-04-11',3.0
'2020-04-12',3.0
'2020-04-13',4.0
'2020-04-14',5.0
'2020-04-15',5.0
'2020-04-16',5.0
'2020-04-17',5.0
'2020-04-18',5.0
'2020-04-19',5.0
'2020-04-20',5.0
'2020-04-21',7.0
'2020-04-22',7.0
'2020-04-23',7.0
'2020-04-24',7.0
'2020-04-25',7.0
'2020-04-26',8.0
'2020-04-27',11.0
'2020-04-28',11.0
'2020-04-29',15.0
'2020-04-30',15.0
'2020-05-01',21.0
'2020-05-02',22.0
'2020-05-03',22.0
'2020-05-04',22.0
'2020-05-05',36.0
'2020-05-06',36.0
'2020-05-07',35.0
'2020-05-08',37.0
'2020-05-09',37.0
'2020-05-10',38.0
'2020-05-11',54.0
'2020-05-12',48.0
'2020-04-04',1.0
'2020-04-05',1.0
