Data,CAAiL_Al
'2020-03-30',4.0
'2020-03-31',4.0
'2020-04-02',4.0
'2020-04-03',4.0
'2020-04-04',4.0
'2020-04-05',5.0
'2020-04-06',5.0
'2020-04-07',6.0
'2020-04-08',6.0
'2020-04-09',6.0
'2020-04-10',7.0
'2020-04-11',7.0
'2020-04-12',7.0
'2020-04-13',7.0
'2020-04-14',7.0
'2020-04-15',8.0
'2020-04-16',7.0
'2020-04-17',7.0
'2020-04-18',8.0
'2020-04-19',8.0
'2020-04-20',8.0
'2020-04-21',8.0
'2020-04-22',8.0
'2020-04-23',8.0
'2020-04-24',9.0
'2020-04-25',10.0
'2020-04-26',10.0
'2020-04-27',11.0
'2020-04-28',11.0
'2020-04-29',11.0
'2020-04-30',11.0
'2020-05-01',11.0
'2020-05-02',12.0
'2020-05-03',11.0
'2020-05-04',11.0
'2020-05-05',11.0
'2020-05-06',11.0
'2020-05-07',11.0
'2020-05-08',11.0
'2020-05-09',12.0
'2020-05-10',13.0
'2020-05-11',13.0
'2020-05-12',17.0
'2020-04-23',1.0
'2020-04-24',1.0
'2020-04-25',1.0
'2020-04-26',1.0
'2020-04-27',1.0
'2020-04-28',1.0
'2020-04-29',1.0
'2020-04-30',1.0
'2020-05-01',1.0
'2020-05-02',1.0
'2020-05-03',1.0
'2020-05-04',1.0
'2020-05-05',1.0
'2020-05-06',1.0
'2020-05-07',1.0
'2020-05-08',2.0
'2020-05-09',2.0
'2020-05-10',2.0
'2020-05-11',2.0
'2020-05-12',2.0
'2020-04-18',1.0
'2020-04-19',1.0
'2020-04-20',1.0
'2020-04-21',1.0
'2020-04-22',3.0
'2020-04-23',3.0
'2020-04-24',4.0
'2020-04-25',4.0
'2020-04-26',4.0
'2020-04-27',11.0
'2020-04-28',11.0
'2020-04-29',13.0
'2020-04-30',18.0
'2020-05-01',21.0
'2020-05-02',23.0
'2020-05-03',24.0
'2020-05-04',26.0
'2020-05-05',26.0
'2020-05-06',37.0
'2020-05-07',39.0
'2020-05-08',40.0
'2020-05-09',40.0
'2020-05-10',39.0
'2020-05-11',39.0
'2020-05-12',39.0
'2020-04-26',1.0
'2020-04-27',1.0
'2020-04-28',1.0
'2020-04-29',1.0
'2020-04-30',1.0
'2020-05-01',1.0
'2020-05-02',1.0
'2020-05-03',1.0
'2020-05-04',1.0
'2020-05-05',1.0
'2020-05-06',1.0
'2020-05-07',2.0
'2020-05-08',7.0
'2020-05-09',8.0
'2020-05-10',10.0
'2020-05-11',11.0
'2020-05-12',12.0
'2020-04-23',1.0
'2020-04-24',1.0
'2020-04-25',1.0
'2020-04-26',1.0
'2020-04-27',1.0
'2020-04-28',1.0
'2020-04-29',1.0
'2020-04-30',1.0
'2020-05-01',1.0
'2020-05-02',1.0
'2020-05-03',1.0
'2020-05-04',1.0
'2020-05-05',1.0
'2020-05-06',1.0
'2020-05-07',1.0
'2020-05-08',1.0
'2020-05-09',1.0
'2020-05-10',1.0
'2020-05-11',1.0
'2020-05-12',1.0
'2020-04-29',3.0
'2020-04-30',4.0
'2020-05-01',4.0
'2020-05-02',4.0
'2020-05-03',5.0
'2020-05-04',6.0
'2020-05-05',5.0
'2020-05-06',5.0
'2020-05-07',5.0
'2020-05-08',5.0
'2020-05-09',5.0
'2020-05-10',5.0
'2020-05-11',7.0
'2020-05-12',7.0
'2020-04-29',1.0
'2020-04-30',2.0
'2020-05-01',2.0
'2020-05-02',2.0
'2020-05-03',2.0
'2020-05-04',3.0
'2020-05-05',3.0
'2020-05-06',3.0
'2020-05-07',3.0
'2020-05-08',3.0
'2020-05-09',3.0
'2020-05-10',3.0
'2020-05-11',3.0
'2020-05-12',3.0
'2020-04-15',1.0
'2020-04-16',1.0
'2020-04-17',1.0
'2020-04-18',1.0
'2020-04-19',1.0
'2020-04-20',1.0
'2020-04-21',1.0
'2020-04-22',1.0
'2020-04-23',1.0
'2020-04-24',1.0
'2020-04-25',1.0
'2020-04-26',1.0
'2020-04-27',1.0
'2020-04-28',1.0
'2020-04-29',1.0
'2020-04-30',1.0
'2020-05-01',1.0
'2020-05-02',1.0
'2020-05-03',1.0
'2020-05-04',2.0
'2020-05-05',5.0
'2020-05-06',5.0
'2020-05-07',5.0
'2020-05-08',6.0
'2020-05-09',6.0
'2020-05-10',6.0
