Data,CASiE_Al
'2020-04-19',1.0
'2020-04-29',1.0
'2020-05-10',1.0
'2020-05-11',1.0
'2020-05-12',1.0
'2020-04-28',1.0
'2020-04-29',1.0
'2020-04-30',1.0
'2020-05-01',1.0
'2020-05-02',1.0
'2020-05-03',1.0
'2020-05-04',1.0
'2020-05-05',1.0
'2020-05-06',1.0
'2020-05-07',1.0
'2020-05-08',1.0
'2020-05-09',1.0
'2020-05-10',1.0
'2020-05-11',1.0
'2020-05-12',1.0
'2020-03-28',13.0
'2020-03-29',13.0
'2020-03-30',13.0
'2020-03-31',16.0
'2020-04-01',17.0
'2020-04-02',20.0
'2020-04-03',21.0
'2020-04-04',23.0
'2020-04-05',27.0
'2020-04-06',27.0
'2020-04-07',30.0
'2020-04-08',30.0
'2020-04-09',32.0
'2020-04-10',33.0
'2020-04-11',33.0
'2020-04-12',35.0
'2020-04-13',35.0
'2020-04-14',36.0
'2020-04-15',37.0
'2020-04-16',37.0
'2020-04-17',40.0
'2020-04-18',52.0
'2020-04-19',56.0
'2020-04-20',59.0
'2020-04-21',60.0
'2020-04-22',74.0
'2020-04-23',76.0
'2020-04-24',94.0
'2020-04-25',98.0
'2020-04-26',100.0
'2020-04-27',128.0
'2020-04-28',189.0
'2020-04-29',220.0
'2020-04-30',297.0
'2020-05-01',339.0
'2020-05-02',386.0
'2020-05-03',467.0
'2020-05-04',503.0
'2020-05-05',599.0
'2020-05-06',670.0
'2020-05-07',832.0
'2020-05-08',1010.0
'2020-05-09',1112.0
'2020-05-10',1237.0
'2020-05-11',1252.0
'2020-05-12',1413.0
'2020-05-02',1.0
'2020-05-03',1.0
'2020-05-04',1.0
'2020-05-05',1.0
'2020-05-06',1.0
'2020-05-07',1.0
'2020-05-08',1.0
'2020-05-09',1.0
'2020-05-10',1.0
'2020-05-11',1.0
'2020-05-12',1.0
'2020-05-01',1.0
'2020-05-02',1.0
'2020-05-03',2.0
'2020-05-04',2.0
'2020-05-05',2.0
'2020-05-06',2.0
'2020-05-07',4.0
'2020-05-08',4.0
'2020-05-09',5.0
'2020-05-10',7.0
'2020-05-11',7.0
'2020-05-12',8.0
'2020-04-25',1.0
'2020-04-26',1.0
'2020-04-27',3.0
'2020-04-28',5.0
'2020-04-29',6.0
'2020-04-30',8.0
'2020-05-01',14.0
'2020-05-02',15.0
'2020-05-03',19.0
'2020-05-04',21.0
'2020-05-05',23.0
'2020-05-06',25.0
'2020-05-07',31.0
'2020-05-08',32.0
'2020-05-09',34.0
'2020-05-10',38.0
'2020-05-11',39.0
'2020-05-12',48.0
'2020-05-01',1.0
'2020-05-02',1.0
'2020-05-03',3.0
'2020-05-04',3.0
'2020-05-05',3.0
'2020-05-06',3.0
'2020-05-07',3.0
'2020-05-08',4.0
'2020-05-09',4.0
'2020-05-10',4.0
'2020-05-11',4.0
'2020-05-12',4.0
'2020-05-02',1.0
'2020-05-03',1.0
'2020-05-04',1.0
'2020-05-05',1.0
'2020-05-06',1.0
'2020-05-07',1.0
'2020-05-08',1.0
'2020-05-09',1.0
'2020-05-10',1.0
'2020-05-11',1.0
'2020-05-12',3.0
'2020-04-27',1.0
'2020-04-28',1.0
'2020-04-30',1.0
'2020-05-01',1.0
'2020-05-02',1.0
'2020-05-03',1.0
'2020-05-04',1.0
'2020-05-05',1.0
'2020-05-06',2.0
'2020-05-07',2.0
'2020-05-08',2.0
'2020-05-09',2.0
'2020-05-10',2.0
'2020-05-11',2.0
'2020-05-12',2.0
'2020-04-03',1.0
'2020-04-04',1.0
'2020-04-05',1.0
'2020-04-06',1.0
'2020-04-07',1.0
'2020-04-08',1.0
'2020-04-09',1.0
'2020-04-10',1.0
'2020-04-11',1.0
'2020-04-12',1.0
'2020-04-13',1.0
'2020-04-14',1.0
'2020-04-15',1.0
'2020-04-16',1.0
'2020-04-17',1.0
'2020-04-18',1.0
'2020-04-20',1.0
'2020-04-21',1.0
'2020-04-22',1.0
'2020-04-23',1.0
'2020-04-24',1.0
'2020-04-25',1.0
'2020-04-26',1.0
'2020-04-27',1.0
'2020-04-28',1.0
'2020-04-29',1.0
'2020-04-30',1.0
'2020-05-01',1.0
'2020-05-02',1.0
'2020-05-03',1.0
'2020-05-04',1.0
'2020-05-05',1.0
'2020-05-06',1.0
'2020-05-07',1.0
'2020-05-08',3.0
'2020-05-09',4.0
'2020-05-10',4.0
'2020-05-11',4.0
'2020-05-12',7.0
'2020-04-30',1.0
'2020-05-01',1.0
'2020-05-02',2.0
'2020-05-03',2.0
'2020-05-04',2.0
'2020-05-05',2.0
'2020-05-06',2.0
'2020-05-07',2.0
'2020-05-08',2.0
'2020-05-09',2.0
'2020-05-10',2.0
'2020-05-11',2.0
'2020-05-12',2.0
'2020-05-09',2.0
'2020-05-10',2.0
'2020-05-11',3.0
'2020-05-12',5.0
'2020-05-03',3.0
'2020-05-04',3.0
'2020-05-05',3.0
'2020-05-06',4.0
'2020-05-07',6.0
'2020-05-08',6.0
'2020-05-09',6.0
'2020-05-10',6.0
'2020-05-11',6.0
'2020-05-12',9.0
'2020-04-26',1.0
'2020-04-27',1.0
'2020-04-28',1.0
'2020-04-29',1.0
'2020-04-30',1.0
'2020-05-01',1.0
'2020-05-02',1.0
'2020-05-03',1.0
'2020-05-04',1.0
'2020-05-05',1.0
'2020-05-06',1.0
'2020-05-07',3.0
'2020-05-08',3.0
'2020-05-09',4.0
'2020-05-10',5.0
'2020-05-11',5.0
'2020-05-12',5.0
'2020-05-02',1.0
'2020-05-03',2.0
'2020-05-04',2.0
'2020-05-05',2.0
'2020-05-06',2.0
'2020-05-07',2.0
'2020-05-08',2.0
'2020-05-09',2.0
'2020-05-10',2.0
'2020-05-11',2.0
'2020-05-12',2.0
'2020-04-19',4.0
'2020-04-20',4.0
'2020-04-21',6.0
'2020-04-22',12.0
'2020-04-23',14.0
'2020-04-24',14.0
'2020-04-25',14.0
'2020-04-26',14.0
'2020-04-27',14.0
'2020-04-28',19.0
'2020-04-29',25.0
'2020-04-30',32.0
'2020-05-01',30.0
'2020-05-02',31.0
'2020-05-03',35.0
'2020-05-04',37.0
'2020-05-05',38.0
'2020-05-06',39.0
'2020-05-07',46.0
'2020-05-08',50.0
'2020-05-09',52.0
'2020-05-10',61.0
'2020-05-11',61.0
'2020-05-12',62.0
'2020-05-01',1.0
'2020-05-02',2.0
'2020-05-03',2.0
'2020-05-04',2.0
'2020-05-05',2.0
'2020-05-06',2.0
'2020-05-07',2.0
'2020-05-08',2.0
'2020-05-09',2.0
'2020-05-10',2.0
'2020-05-11',2.0
'2020-05-12',3.0
'2020-05-09',1.0
'2020-05-10',1.0
'2020-05-11',1.0
'2020-05-12',2.0
'2020-05-09',1.0
'2020-05-10',1.0
'2020-05-11',1.0
'2020-05-12',2.0
'2020-04-18',1.0
'2020-04-19',1.0
'2020-04-20',1.0
'2020-04-21',1.0
'2020-04-22',1.0
'2020-04-23',1.0
'2020-04-24',1.0
'2020-04-25',1.0
'2020-04-26',1.0
'2020-04-27',1.0
'2020-04-28',2.0
'2020-04-29',2.0
'2020-04-30',2.0
'2020-05-01',2.0
'2020-05-02',3.0
'2020-05-03',3.0
'2020-05-04',3.0
'2020-05-05',3.0
'2020-05-06',3.0
'2020-05-07',3.0
'2020-05-08',3.0
'2020-05-09',3.0
'2020-05-10',4.0
'2020-05-11',3.0
'2020-05-12',3.0
'2020-04-05',1.0
'2020-04-06',1.0
'2020-04-07',1.0
'2020-04-08',1.0
'2020-04-09',1.0
'2020-04-10',1.0
'2020-04-11',1.0
'2020-04-12',1.0
'2020-04-13',1.0
'2020-04-14',1.0
'2020-04-15',1.0
'2020-04-16',1.0
'2020-04-17',1.0
'2020-04-18',2.0
'2020-04-19',2.0
'2020-04-20',2.0
'2020-04-21',4.0
'2020-04-22',4.0
'2020-04-23',4.0
'2020-04-24',4.0
'2020-04-25',4.0
'2020-04-26',6.0
'2020-04-27',10.0
'2020-04-28',12.0
'2020-04-29',13.0
'2020-04-30',14.0
'2020-05-01',15.0
'2020-05-02',20.0
'2020-05-03',29.0
'2020-05-04',29.0
'2020-05-05',33.0
'2020-05-06',33.0
'2020-05-07',38.0
'2020-05-08',40.0
'2020-05-09',43.0
'2020-05-10',44.0
'2020-05-11',44.0
'2020-05-12',52.0
'2020-04-17',1.0
'2020-04-18',3.0
'2020-04-19',6.0
'2020-04-20',6.0
'2020-04-21',6.0
'2020-04-22',7.0
'2020-04-23',7.0
'2020-04-24',7.0
'2020-04-25',7.0
'2020-04-26',7.0
'2020-04-27',7.0
'2020-04-28',8.0
'2020-04-29',8.0
'2020-04-30',8.0
'2020-05-01',9.0
'2020-05-02',13.0
'2020-05-03',13.0
'2020-05-04',13.0
'2020-05-05',13.0
'2020-05-06',13.0
'2020-05-07',13.0
'2020-05-08',14.0
'2020-05-09',15.0
'2020-05-10',15.0
'2020-05-11',15.0
'2020-05-12',15.0
'2020-04-18',1.0
'2020-04-19',1.0
'2020-04-20',1.0
'2020-04-21',1.0
'2020-04-22',1.0
'2020-04-23',1.0
'2020-04-24',2.0
'2020-04-25',2.0
'2020-04-26',2.0
'2020-04-27',2.0
'2020-04-28',3.0
'2020-04-29',3.0
'2020-04-30',3.0
'2020-05-01',3.0
'2020-05-02',4.0
'2020-05-03',5.0
'2020-05-04',5.0
'2020-05-05',7.0
'2020-05-06',7.0
'2020-05-07',9.0
'2020-05-08',9.0
'2020-05-09',9.0
'2020-05-10',9.0
'2020-05-11',9.0
'2020-05-12',10.0
'2020-05-10',1.0
'2020-05-11',1.0
'2020-05-12',2.0
'2020-04-28',1.0
'2020-04-29',1.0
'2020-04-30',1.0
'2020-05-01',1.0
'2020-05-02',1.0
'2020-05-03',1.0
'2020-05-04',1.0
'2020-05-05',1.0
'2020-05-06',1.0
'2020-05-07',1.0
'2020-05-08',1.0
'2020-05-09',1.0
'2020-05-10',1.0
'2020-05-11',1.0
'2020-05-12',1.0
'2020-04-18',1.0
'2020-04-19',1.0
'2020-04-20',1.0
'2020-04-21',1.0
'2020-04-22',2.0
'2020-04-23',2.0
'2020-04-24',2.0
'2020-04-25',2.0
'2020-04-26',2.0
'2020-04-27',2.0
'2020-04-28',2.0
'2020-04-29',7.0
'2020-04-30',8.0
'2020-05-01',11.0
'2020-05-02',13.0
'2020-05-03',13.0
'2020-05-04',13.0
'2020-05-05',15.0
'2020-05-06',17.0
'2020-05-07',18.0
'2020-05-08',18.0
'2020-05-09',18.0
'2020-05-10',25.0
'2020-05-11',25.0
'2020-05-12',27.0
'2020-04-30',2.0
'2020-05-01',2.0
'2020-05-02',3.0
'2020-05-03',4.0
'2020-05-04',4.0
'2020-05-05',4.0
'2020-05-06',4.0
'2020-05-07',5.0
'2020-05-08',5.0
'2020-05-09',5.0
'2020-05-10',6.0
'2020-05-11',6.0
'2020-05-12',7.0
'2020-04-30',1.0
'2020-05-01',1.0
'2020-05-02',1.0
'2020-05-03',1.0
'2020-05-04',1.0
'2020-05-05',1.0
'2020-05-06',1.0
'2020-05-07',1.0
'2020-05-08',1.0
'2020-05-09',1.0
'2020-05-10',1.0
'2020-05-11',1.0
'2020-05-12',2.0
'2020-05-03',1.0
'2020-05-04',1.0
'2020-05-05',1.0
'2020-05-06',1.0
'2020-05-07',1.0
'2020-05-08',1.0
'2020-05-09',1.0
'2020-05-10',1.0
'2020-05-11',1.0
'2020-05-12',1.0
'2020-05-03',1.0
'2020-05-04',1.0
'2020-05-05',1.0
'2020-05-06',1.0
'2020-05-07',2.0
'2020-05-08',2.0
'2020-05-09',4.0
'2020-05-10',4.0
'2020-05-11',4.0
'2020-05-12',4.0
'2020-04-26',1.0
'2020-04-27',1.0
'2020-04-28',1.0
'2020-04-29',1.0
'2020-04-30',2.0
'2020-05-01',3.0
'2020-05-02',3.0
'2020-05-03',4.0
'2020-05-04',5.0
'2020-05-05',5.0
'2020-05-06',5.0
'2020-05-07',7.0
'2020-05-08',7.0
'2020-05-09',8.0
'2020-05-10',8.0
'2020-05-11',8.0
'2020-05-12',8.0
'2020-05-06',1.0
'2020-05-07',1.0
'2020-05-08',1.0
'2020-05-09',1.0
'2020-05-10',1.0
'2020-05-11',1.0
'2020-05-12',1.0
'2020-04-30',1.0
'2020-05-01',1.0
'2020-05-02',1.0
'2020-05-03',1.0
'2020-05-04',1.0
'2020-05-05',1.0
'2020-05-06',1.0
'2020-05-07',1.0
'2020-05-08',1.0
'2020-05-09',2.0
'2020-05-10',2.0
'2020-05-11',2.0
'2020-05-12',2.0
'2020-03-28',1.0
'2020-03-29',1.0
'2020-03-30',1.0
'2020-03-31',1.0
'2020-04-01',1.0
'2020-04-02',1.0
'2020-04-03',1.0
'2020-04-04',1.0
'2020-04-05',1.0
'2020-04-06',1.0
'2020-04-07',1.0
'2020-04-08',1.0
'2020-04-09',1.0
'2020-04-10',2.0
'2020-04-11',2.0
'2020-04-12',2.0
'2020-04-13',2.0
'2020-04-14',2.0
'2020-04-15',2.0
'2020-04-16',2.0
'2020-04-17',2.0
'2020-04-18',2.0
'2020-04-19',2.0
'2020-04-20',2.0
'2020-04-21',2.0
'2020-04-22',2.0
'2020-04-23',2.0
'2020-04-24',2.0
'2020-04-25',2.0
'2020-04-26',2.0
'2020-04-27',3.0
'2020-04-28',3.0
'2020-04-29',3.0
'2020-04-30',3.0
'2020-05-01',8.0
'2020-05-02',9.0
'2020-05-03',9.0
'2020-05-04',9.0
'2020-05-05',9.0
'2020-05-06',9.0
'2020-05-07',9.0
'2020-05-08',10.0
'2020-05-09',10.0
'2020-05-10',14.0
'2020-05-11',14.0
'2020-05-12',16.0
'2020-05-10',1.0
'2020-05-11',1.0
'2020-05-12',1.0
'2020-05-05',1.0
'2020-05-06',1.0
'2020-05-07',1.0
'2020-05-08',1.0
'2020-05-09',1.0
'2020-05-10',1.0
'2020-05-11',1.0
'2020-05-12',2.0
'2020-04-16',1.0
'2020-04-17',1.0
'2020-04-18',1.0
'2020-04-19',1.0
'2020-04-20',1.0
'2020-04-21',1.0
'2020-04-22',1.0
'2020-04-23',2.0
'2020-04-24',3.0
'2020-04-25',6.0
'2020-04-26',6.0
'2020-04-27',6.0
'2020-04-28',10.0
'2020-04-29',21.0
'2020-04-30',27.0
'2020-05-01',30.0
'2020-05-02',40.0
'2020-05-03',49.0
'2020-05-04',52.0
'2020-05-05',59.0
'2020-05-06',63.0
'2020-05-07',74.0
'2020-05-08',95.0
'2020-05-09',111.0
'2020-05-10',122.0
'2020-05-11',126.0
'2020-05-12',140.0
'2020-04-09',1.0
'2020-04-10',2.0
'2020-04-11',2.0
'2020-04-12',2.0
'2020-04-13',2.0
'2020-04-14',2.0
'2020-04-15',2.0
'2020-04-16',2.0
'2020-04-17',2.0
'2020-04-18',2.0
'2020-04-19',2.0
'2020-04-20',2.0
'2020-04-21',2.0
'2020-04-22',2.0
'2020-04-23',2.0
'2020-04-24',2.0
'2020-04-25',2.0
'2020-04-26',2.0
'2020-04-27',2.0
'2020-04-28',2.0
'2020-04-29',2.0
'2020-04-30',2.0
'2020-05-01',2.0
'2020-05-02',2.0
'2020-05-03',2.0
'2020-05-04',2.0
'2020-05-05',2.0
'2020-05-06',2.0
'2020-05-07',2.0
'2020-05-08',2.0
'2020-05-09',2.0
'2020-05-10',2.0
'2020-05-11',2.0
'2020-05-12',2.0
'2020-05-10',1.0
'2020-05-11',1.0
'2020-05-12',1.0
'2020-05-04',1.0
'2020-05-05',1.0
'2020-05-06',1.0
'2020-05-07',1.0
'2020-05-08',1.0
'2020-05-09',1.0
'2020-05-10',1.0
'2020-05-11',1.0
'2020-05-12',1.0
'2020-05-06',1.0
'2020-05-07',2.0
'2020-05-08',2.0
'2020-05-09',2.0
'2020-05-10',2.0
'2020-05-11',2.0
'2020-05-12',3.0
'2020-05-09',2.0
'2020-05-10',2.0
'2020-05-11',2.0
'2020-05-12',2.0
'2020-04-21',1.0
'2020-04-22',1.0
'2020-04-23',2.0
'2020-04-24',2.0
'2020-04-25',2.0
'2020-04-26',2.0
'2020-04-27',2.0
'2020-04-28',2.0
'2020-04-29',3.0
'2020-04-30',3.0
'2020-05-01',5.0
'2020-05-02',6.0
'2020-05-03',9.0
'2020-05-04',7.0
'2020-05-05',9.0
'2020-05-06',10.0
'2020-05-07',10.0
'2020-05-08',10.0
'2020-05-09',10.0
'2020-05-10',11.0
'2020-05-11',12.0
'2020-05-12',12.0
'2020-03-28',2.0
'2020-03-29',2.0
'2020-03-30',2.0
'2020-03-31',2.0
'2020-04-01',2.0
'2020-04-02',2.0
'2020-04-03',2.0
'2020-04-04',2.0
'2020-04-05',2.0
'2020-04-06',2.0
'2020-04-07',2.0
'2020-04-08',2.0
'2020-04-09',2.0
'2020-04-10',2.0
'2020-04-11',2.0
'2020-04-12',2.0
'2020-04-13',2.0
'2020-04-14',2.0
'2020-04-15',2.0
'2020-04-16',2.0
'2020-04-17',2.0
'2020-04-18',2.0
'2020-04-19',2.0
'2020-04-20',2.0
'2020-04-21',2.0
'2020-04-22',2.0
'2020-04-23',2.0
'2020-04-24',2.0
'2020-04-25',2.0
'2020-04-26',2.0
'2020-04-27',2.0
'2020-04-28',2.0
'2020-04-29',2.0
'2020-04-30',2.0
'2020-05-01',2.0
'2020-05-02',2.0
'2020-05-03',2.0
'2020-05-04',2.0
'2020-05-05',2.0
'2020-05-06',3.0
'2020-05-07',4.0
'2020-05-08',4.0
'2020-05-09',5.0
'2020-05-10',5.0
'2020-05-11',5.0
'2020-05-12',5.0
'2020-05-05',1.0
'2020-05-06',1.0
'2020-05-07',1.0
'2020-05-08',1.0
'2020-05-09',1.0
'2020-05-10',2.0
'2020-05-11',2.0
'2020-05-12',2.0
'2020-05-07',3.0
'2020-05-08',3.0
'2020-05-09',3.0
'2020-05-10',3.0
'2020-05-11',3.0
'2020-05-12',3.0
'2020-04-27',1.0
'2020-04-28',1.0
'2020-04-29',1.0
'2020-04-30',1.0
'2020-05-01',1.0
'2020-05-02',1.0
'2020-05-03',1.0
'2020-05-04',1.0
'2020-05-05',1.0
'2020-05-06',1.0
'2020-05-07',1.0
'2020-05-08',1.0
'2020-05-09',1.0
'2020-05-10',2.0
'2020-05-11',2.0
'2020-05-12',2.0
'2020-04-27',1.0
'2020-04-28',1.0
'2020-04-29',1.0
'2020-04-30',1.0
'2020-05-01',2.0
'2020-05-02',2.0
'2020-05-03',2.0
'2020-05-04',2.0
'2020-05-05',3.0
'2020-05-06',3.0
'2020-05-07',4.0
'2020-05-08',4.0
'2020-05-09',4.0
'2020-05-10',4.0
'2020-05-11',4.0
'2020-05-12',5.0
'2020-05-03',1.0
'2020-05-04',1.0
'2020-05-05',1.0
'2020-05-06',1.0
'2020-05-07',1.0
'2020-05-08',1.0
'2020-05-09',1.0
'2020-05-10',2.0
'2020-05-11',4.0
'2020-05-12',6.0
'2020-05-02',1.0
'2020-05-03',2.0
'2020-05-04',2.0
'2020-05-05',2.0
'2020-05-06',2.0
'2020-05-07',2.0
'2020-05-08',2.0
'2020-05-09',2.0
'2020-05-10',2.0
'2020-05-11',2.0
'2020-05-12',2.0
'2020-05-09',1.0
'2020-05-10',1.0
'2020-05-11',1.0
'2020-05-12',1.0
'2020-04-30',3.0
'2020-05-01',4.0
'2020-05-02',5.0
'2020-05-03',6.0
'2020-05-04',5.0
'2020-05-05',6.0
'2020-05-06',6.0
'2020-05-07',6.0
'2020-05-08',6.0
'2020-05-09',6.0
'2020-05-10',6.0
'2020-05-11',6.0
'2020-05-12',6.0
'2020-04-16',1.0
'2020-04-17',2.0
'2020-04-18',2.0
'2020-04-19',3.0
'2020-04-20',3.0
'2020-04-21',3.0
'2020-04-22',3.0
'2020-04-23',3.0
'2020-04-24',3.0
'2020-04-25',4.0
'2020-04-26',4.0
'2020-04-27',4.0
'2020-04-28',6.0
'2020-04-29',7.0
'2020-04-30',11.0
'2020-05-01',12.0
'2020-05-02',13.0
'2020-05-03',15.0
'2020-05-04',16.0
'2020-05-05',20.0
'2020-05-06',28.0
'2020-05-07',33.0
'2020-05-08',40.0
'2020-05-09',48.0
'2020-05-10',53.0
