Data,CACiE_Al
'2020-04-03',12.0
'2020-04-04',14.0
'2020-04-05',19.0
'2020-04-06',11.0
'2020-04-07',12.0
'2020-04-08',14.0
'2020-04-09',8.0
'2020-04-10',20.0
'2020-04-11',20.0
'2020-04-12',21.0
'2020-04-13',30.0
'2020-04-14',31.0
'2020-04-15',38.0
'2020-04-17',15.0
'2020-04-18',34.0
'2020-04-19',84.0
'2020-04-20',82.0
'2020-04-21',60.0
'2020-04-24',44.0
'2020-04-25',25.0
'2020-04-26',25.0
'2020-04-27',1.0
'2020-04-30',42.0
'2020-05-01',40.0
'2020-05-02',50.0
'2020-05-03',51.0
'2020-05-04',89.0
'2020-05-05',90.0
'2020-05-06',79.0
'2020-05-07',70.0
'2020-05-08',79.0
'2020-05-09',135.0
'2020-05-10',181.0
'2020-05-11',169.0
'2020-05-12',175.0
'2020-04-04',1.0
'2020-04-27',1.0
'2020-04-28',1.0
'2020-05-10',1.0
'2020-05-11',1.0
'2020-05-12',1.0
'2020-04-18',2.0
'2020-04-19',2.0
'2020-04-20',3.0
'2020-04-21',4.0
'2020-04-22',4.0
'2020-04-23',4.0
'2020-04-24',5.0
'2020-04-25',4.0
'2020-04-26',4.0
'2020-04-27',4.0
'2020-04-28',4.0
'2020-04-29',3.0
'2020-04-30',4.0
'2020-05-01',4.0
'2020-05-02',4.0
'2020-05-03',4.0
'2020-05-04',5.0
'2020-05-05',5.0
'2020-05-07',9.0
'2020-05-08',10.0
'2020-05-09',9.0
'2020-05-10',9.0
'2020-05-11',9.0
'2020-05-12',10.0
'2020-04-17',1.0
'2020-04-18',1.0
'2020-04-19',1.0
'2020-04-20',1.0
'2020-04-21',1.0
'2020-04-22',1.0
'2020-04-23',3.0
'2020-04-24',5.0
'2020-04-25',4.0
'2020-04-26',4.0
'2020-04-27',27.0
'2020-04-28',27.0
'2020-04-29',27.0
'2020-04-30',27.0
'2020-05-01',31.0
'2020-05-02',31.0
'2020-05-03',31.0
'2020-05-04',32.0
'2020-05-05',34.0
'2020-05-06',36.0
'2020-05-07',113.0
'2020-05-08',117.0
'2020-05-09',118.0
'2020-05-10',122.0
'2020-05-11',124.0
'2020-05-12',126.0
'2020-04-13',1.0
'2020-04-14',1.0
'2020-04-15',1.0
'2020-04-16',2.0
'2020-04-17',2.0
'2020-04-18',2.0
'2020-04-19',2.0
'2020-04-20',2.0
'2020-04-21',3.0
'2020-04-22',3.0
'2020-04-23',3.0
'2020-04-24',2.0
'2020-04-25',3.0
'2020-04-26',3.0
'2020-04-27',5.0
'2020-04-28',6.0
'2020-04-29',7.0
'2020-04-30',6.0
'2020-05-01',8.0
'2020-05-02',8.0
'2020-05-03',8.0
'2020-05-04',8.0
'2020-05-05',8.0
'2020-05-06',8.0
'2020-05-07',8.0
'2020-05-08',8.0
'2020-05-09',8.0
'2020-05-10',8.0
'2020-05-11',12.0
'2020-05-12',12.0
'2020-05-04',2.0
'2020-05-05',3.0
'2020-05-06',2.0
'2020-05-07',1.0
'2020-05-08',1.0
'2020-05-09',1.0
'2020-05-10',1.0
'2020-05-11',2.0
'2020-05-12',3.0
'2020-04-19',1.0
'2020-04-20',1.0
'2020-04-21',1.0
'2020-04-22',1.0
'2020-04-23',2.0
'2020-04-24',3.0
'2020-04-25',2.0
'2020-04-26',2.0
'2020-04-27',3.0
'2020-04-28',3.0
'2020-04-29',11.0
'2020-04-30',11.0
'2020-05-01',11.0
'2020-05-02',11.0
'2020-05-03',11.0
'2020-05-04',13.0
'2020-05-05',13.0
'2020-05-06',13.0
'2020-05-07',13.0
'2020-05-08',13.0
'2020-05-09',14.0
'2020-05-10',14.0
'2020-05-11',26.0
'2020-05-12',28.0
'2020-04-23',2.0
'2020-04-24',4.0
'2020-04-25',4.0
'2020-04-26',4.0
'2020-04-27',4.0
'2020-04-28',7.0
'2020-04-29',7.0
'2020-04-30',7.0
'2020-05-01',6.0
'2020-05-02',6.0
'2020-05-03',6.0
'2020-05-04',6.0
'2020-05-05',6.0
'2020-05-06',6.0
'2020-05-07',7.0
'2020-05-08',7.0
'2020-05-09',7.0
'2020-05-10',7.0
'2020-05-11',7.0
'2020-05-12',7.0
'2020-04-06',1.0
'2020-04-07',1.0
'2020-04-08',1.0
'2020-04-09',1.0
'2020-04-10',1.0
'2020-04-11',1.0
'2020-04-12',1.0
'2020-04-13',1.0
'2020-04-14',1.0
'2020-04-15',1.0
'2020-04-16',1.0
'2020-04-17',1.0
'2020-04-18',1.0
'2020-04-19',1.0
'2020-04-20',1.0
'2020-04-21',1.0
'2020-04-22',1.0
'2020-04-23',1.0
'2020-04-24',1.0
'2020-04-25',1.0
'2020-04-26',3.0
'2020-04-27',3.0
'2020-04-28',3.0
'2020-04-29',3.0
'2020-04-30',3.0
'2020-05-01',3.0
'2020-05-02',3.0
'2020-05-03',3.0
'2020-05-04',6.0
'2020-05-05',6.0
'2020-05-06',6.0
'2020-05-07',6.0
'2020-05-08',6.0
'2020-05-09',7.0
'2020-05-10',7.0
'2020-05-11',9.0
'2020-05-12',10.0
'2020-05-01',1.0
'2020-05-02',1.0
'2020-05-03',1.0
'2020-05-04',1.0
'2020-05-05',1.0
'2020-05-06',1.0
'2020-05-07',1.0
'2020-05-08',1.0
'2020-05-09',1.0
'2020-05-10',1.0
'2020-05-11',1.0
'2020-05-12',1.0
'2020-04-22',1.0
'2020-04-23',1.0
'2020-04-24',1.0
'2020-04-25',1.0
'2020-04-26',1.0
'2020-04-27',2.0
'2020-04-28',2.0
'2020-04-29',2.0
'2020-04-30',2.0
'2020-05-01',2.0
'2020-05-02',2.0
'2020-05-03',2.0
'2020-05-04',4.0
'2020-05-05',4.0
'2020-05-06',7.0
'2020-05-07',10.0
'2020-05-08',10.0
'2020-05-09',10.0
'2020-05-10',10.0
'2020-05-11',10.0
'2020-05-12',10.0
'2020-03-28',7.0
'2020-03-29',7.0
'2020-03-30',14.0
'2020-03-31',14.0
'2020-04-01',14.0
'2020-04-02',18.0
'2020-04-03',15.0
'2020-04-04',15.0
'2020-04-05',15.0
'2020-04-06',13.0
'2020-04-07',24.0
'2020-04-08',28.0
'2020-04-09',28.0
'2020-04-10',28.0
'2020-04-11',29.0
'2020-04-12',29.0
'2020-04-13',30.0
'2020-04-14',30.0
'2020-04-15',30.0
'2020-04-16',36.0
'2020-04-17',38.0
'2020-04-18',38.0
'2020-04-19',38.0
'2020-04-20',38.0
'2020-04-21',39.0
'2020-04-22',43.0
'2020-04-23',49.0
'2020-04-24',53.0
'2020-04-25',54.0
'2020-04-26',58.0
'2020-04-27',59.0
'2020-04-28',60.0
'2020-04-29',63.0
'2020-04-30',63.0
'2020-05-01',64.0
'2020-05-02',65.0
'2020-05-03',65.0
'2020-05-04',84.0
'2020-05-05',87.0
'2020-05-06',91.0
'2020-05-07',100.0
'2020-05-08',108.0
'2020-05-09',109.0
'2020-05-10',112.0
'2020-05-11',111.0
'2020-05-12',113.0
'2020-04-07',2.0
'2020-04-08',2.0
'2020-04-09',2.0
'2020-04-10',2.0
'2020-04-11',2.0
'2020-04-12',2.0
'2020-04-13',3.0
'2020-04-14',3.0
'2020-04-15',3.0
'2020-04-16',2.0
'2020-04-17',4.0
'2020-04-18',6.0
'2020-04-19',9.0
'2020-04-20',10.0
'2020-04-21',8.0
'2020-04-22',10.0
'2020-04-23',9.0
'2020-04-24',11.0
'2020-04-25',14.0
'2020-04-26',14.0
'2020-04-27',14.0
'2020-04-28',15.0
'2020-04-29',15.0
'2020-04-30',16.0
'2020-05-01',16.0
'2020-05-02',16.0
'2020-05-03',16.0
'2020-05-04',21.0
'2020-05-05',21.0
'2020-05-06',31.0
'2020-05-07',36.0
'2020-05-08',36.0
'2020-05-09',37.0
'2020-05-10',41.0
'2020-05-11',41.0
'2020-05-12',42.0
'2020-04-15',1.0
'2020-04-16',1.0
'2020-04-17',1.0
'2020-04-18',1.0
'2020-04-19',2.0
'2020-04-20',3.0
'2020-04-21',3.0
'2020-04-22',3.0
'2020-04-23',3.0
'2020-04-24',3.0
'2020-04-25',4.0
'2020-04-26',4.0
'2020-04-27',6.0
'2020-04-28',6.0
'2020-04-29',11.0
'2020-04-30',11.0
'2020-05-01',12.0
'2020-05-02',13.0
'2020-05-03',12.0
'2020-05-04',13.0
'2020-05-05',13.0
'2020-05-06',14.0
'2020-05-07',19.0
'2020-05-08',20.0
'2020-05-09',20.0
'2020-05-10',21.0
'2020-05-11',25.0
'2020-05-12',25.0
'2020-04-22',1.0
'2020-04-23',1.0
'2020-04-24',1.0
'2020-04-25',1.0
'2020-04-26',1.0
'2020-04-27',1.0
'2020-04-28',1.0
'2020-04-29',1.0
'2020-04-30',1.0
'2020-05-01',1.0
'2020-05-02',1.0
'2020-05-03',1.0
'2020-05-04',1.0
'2020-05-05',1.0
'2020-05-06',1.0
'2020-05-07',1.0
'2020-05-08',1.0
'2020-05-09',1.0
'2020-05-10',1.0
'2020-05-11',2.0
'2020-05-12',1.0
'2020-04-19',1.0
'2020-04-20',1.0
'2020-04-21',1.0
'2020-04-22',1.0
'2020-04-23',1.0
'2020-04-24',1.0
'2020-04-25',1.0
'2020-04-26',1.0
'2020-04-27',1.0
'2020-04-28',1.0
'2020-04-29',1.0
'2020-04-30',1.0
'2020-05-01',1.0
'2020-05-02',1.0
'2020-05-03',1.0
'2020-05-04',1.0
'2020-05-05',1.0
'2020-05-06',1.0
'2020-05-07',1.0
'2020-05-08',1.0
'2020-05-09',1.0
'2020-05-10',1.0
'2020-05-11',1.0
'2020-05-12',1.0
'2020-05-04',2.0
'2020-05-05',2.0
'2020-05-06',2.0
'2020-05-07',2.0
'2020-05-08',2.0
'2020-05-09',2.0
'2020-05-10',2.0
'2020-05-11',2.0
'2020-05-12',2.0
'2020-04-21',1.0
'2020-04-22',1.0
'2020-04-23',1.0
'2020-04-24',2.0
'2020-04-25',2.0
'2020-04-26',2.0
'2020-04-27',3.0
'2020-04-28',3.0
'2020-04-29',9.0
'2020-04-30',9.0
'2020-05-01',9.0
'2020-05-02',9.0
'2020-05-03',9.0
'2020-05-04',11.0
'2020-05-05',11.0
'2020-05-06',12.0
'2020-05-07',15.0
'2020-05-08',15.0
'2020-05-09',15.0
'2020-05-10',15.0
'2020-05-11',15.0
'2020-05-12',15.0
'2020-05-04',1.0
'2020-05-05',1.0
'2020-05-06',1.0
'2020-05-07',1.0
'2020-05-08',1.0
'2020-05-09',1.0
'2020-05-10',1.0
'2020-05-11',1.0
'2020-05-12',1.0
'2020-05-03',1.0
'2020-05-04',1.0
'2020-05-05',1.0
'2020-05-06',1.0
'2020-05-07',1.0
'2020-05-08',1.0
'2020-05-09',1.0
'2020-05-10',1.0
'2020-05-11',1.0
'2020-05-12',1.0
'2020-04-19',1.0
'2020-04-20',1.0
'2020-04-21',2.0
'2020-04-22',2.0
'2020-04-23',2.0
'2020-04-24',1.0
'2020-04-25',2.0
'2020-04-26',2.0
'2020-04-27',4.0
'2020-04-28',4.0
'2020-04-29',7.0
'2020-04-30',7.0
'2020-05-01',7.0
'2020-05-02',7.0
'2020-05-03',7.0
'2020-05-04',8.0
'2020-05-05',8.0
'2020-05-06',8.0
'2020-05-07',22.0
'2020-05-08',22.0
'2020-05-09',22.0
'2020-05-10',23.0
'2020-05-11',25.0
'2020-05-12',26.0
'2020-04-21',2.0
'2020-04-22',2.0
'2020-04-23',2.0
'2020-04-24',3.0
'2020-04-25',2.0
'2020-04-26',4.0
'2020-04-27',4.0
'2020-04-28',4.0
'2020-04-29',4.0
'2020-04-30',4.0
'2020-05-01',5.0
'2020-05-02',5.0
'2020-05-03',5.0
'2020-05-04',6.0
'2020-05-05',6.0
'2020-05-06',6.0
'2020-05-07',8.0
'2020-05-08',8.0
'2020-05-09',8.0
'2020-05-10',8.0
'2020-05-11',9.0
'2020-05-12',9.0
'2020-04-14',1.0
'2020-04-15',1.0
'2020-04-16',1.0
'2020-04-17',1.0
'2020-04-18',1.0
'2020-04-19',1.0
'2020-04-20',1.0
'2020-04-21',1.0
'2020-04-22',1.0
'2020-04-23',1.0
'2020-04-24',1.0
'2020-04-25',1.0
'2020-04-26',1.0
'2020-04-27',1.0
'2020-04-28',1.0
'2020-04-29',1.0
'2020-04-30',1.0
'2020-05-01',1.0
'2020-05-02',1.0
'2020-05-03',1.0
'2020-05-04',2.0
'2020-05-05',2.0
'2020-05-06',3.0
'2020-05-07',4.0
'2020-05-08',4.0
'2020-05-09',4.0
'2020-05-10',4.0
'2020-05-11',9.0
'2020-05-12',10.0
'2020-05-07',2.0
'2020-05-08',2.0
'2020-05-09',2.0
'2020-05-10',2.0
'2020-05-11',2.0
'2020-05-12',2.0
'2020-04-11',1.0
'2020-04-12',1.0
'2020-04-13',1.0
'2020-04-14',1.0
'2020-04-15',1.0
'2020-04-16',1.0
'2020-04-17',1.0
'2020-04-18',1.0
'2020-04-19',2.0
'2020-04-20',2.0
'2020-04-21',2.0
'2020-04-22',2.0
'2020-04-23',2.0
'2020-04-24',1.0
'2020-04-25',1.0
'2020-04-26',1.0
'2020-04-27',1.0
'2020-04-28',2.0
'2020-04-29',2.0
'2020-04-30',2.0
'2020-05-01',2.0
'2020-05-02',2.0
'2020-05-03',2.0
'2020-05-04',7.0
'2020-05-05',7.0
'2020-05-06',7.0
'2020-05-07',7.0
'2020-05-08',7.0
'2020-05-09',7.0
'2020-05-10',7.0
'2020-05-11',10.0
'2020-05-12',11.0
'2020-04-15',1.0
'2020-04-16',2.0
'2020-04-17',2.0
'2020-04-18',3.0
'2020-04-19',3.0
'2020-04-20',3.0
'2020-04-21',4.0
'2020-04-22',4.0
'2020-04-23',4.0
'2020-04-24',4.0
'2020-04-25',4.0
'2020-04-26',4.0
'2020-04-27',4.0
'2020-04-28',4.0
'2020-04-29',7.0
'2020-04-30',7.0
'2020-05-01',7.0
'2020-05-02',8.0
'2020-05-03',8.0
'2020-05-04',10.0
'2020-05-05',11.0
'2020-05-06',18.0
'2020-05-07',23.0
'2020-05-08',23.0
'2020-05-09',23.0
'2020-05-10',23.0
'2020-05-11',27.0
'2020-05-12',29.0
'2020-03-30',1.0
'2020-03-31',1.0
'2020-04-01',1.0
'2020-04-02',1.0
'2020-04-03',1.0
'2020-04-04',1.0
'2020-04-05',1.0
'2020-04-06',1.0
'2020-04-07',1.0
'2020-04-08',1.0
'2020-04-09',1.0
'2020-04-10',1.0
'2020-04-11',1.0
'2020-04-12',1.0
'2020-04-13',2.0
'2020-04-14',2.0
'2020-04-15',4.0
'2020-04-16',5.0
'2020-04-17',5.0
'2020-04-18',5.0
'2020-04-19',5.0
'2020-04-20',5.0
'2020-04-21',6.0
'2020-04-22',6.0
'2020-04-23',6.0
'2020-04-24',7.0
'2020-04-25',8.0
'2020-04-26',10.0
'2020-04-27',11.0
'2020-04-28',16.0
'2020-04-29',16.0
'2020-04-30',16.0
'2020-05-01',16.0
'2020-05-02',17.0
'2020-05-03',18.0
'2020-05-04',26.0
'2020-05-05',26.0
'2020-05-06',30.0
'2020-05-07',28.0
'2020-05-08',28.0
'2020-05-09',28.0
'2020-05-10',28.0
'2020-05-11',32.0
'2020-05-12',32.0
'2020-04-17',2.0
'2020-04-18',2.0
'2020-04-19',5.0
'2020-04-20',5.0
'2020-04-21',5.0
'2020-04-22',5.0
'2020-04-23',5.0
'2020-04-24',5.0
'2020-04-25',8.0
'2020-04-26',8.0
'2020-04-27',8.0
'2020-04-28',9.0
'2020-04-29',12.0
'2020-04-30',12.0
'2020-05-01',16.0
'2020-05-02',16.0
'2020-05-03',16.0
'2020-05-04',18.0
'2020-05-05',18.0
'2020-05-06',25.0
'2020-05-07',40.0
'2020-05-08',42.0
'2020-05-09',42.0
'2020-05-10',44.0
'2020-05-11',51.0
'2020-05-12',52.0
'2020-04-24',1.0
'2020-04-27',1.0
'2020-04-28',1.0
'2020-04-29',1.0
'2020-04-30',1.0
'2020-05-01',1.0
'2020-05-02',1.0
'2020-05-03',1.0
'2020-05-04',2.0
'2020-05-05',2.0
'2020-05-06',4.0
'2020-05-07',15.0
'2020-05-08',16.0
'2020-05-09',18.0
'2020-05-10',19.0
'2020-05-11',22.0
'2020-05-12',22.0
'2020-04-24',2.0
'2020-04-26',3.0
'2020-04-27',3.0
'2020-04-28',3.0
'2020-04-29',3.0
'2020-04-30',3.0
'2020-05-01',3.0
'2020-05-02',3.0
'2020-05-03',3.0
'2020-05-04',6.0
'2020-05-05',6.0
'2020-05-06',7.0
'2020-05-07',7.0
'2020-05-08',9.0
'2020-05-09',9.0
'2020-05-10',10.0
'2020-05-11',10.0
'2020-05-12',11.0
'2020-04-15',1.0
'2020-04-16',1.0
'2020-04-17',1.0
'2020-04-18',1.0
'2020-04-19',1.0
'2020-04-20',1.0
'2020-04-21',1.0
'2020-04-22',1.0
'2020-04-23',1.0
'2020-04-24',1.0
'2020-04-25',1.0
'2020-04-26',1.0
'2020-04-27',1.0
'2020-04-28',1.0
'2020-04-29',1.0
'2020-04-30',1.0
'2020-05-01',1.0
'2020-05-02',1.0
'2020-05-03',1.0
'2020-05-04',3.0
'2020-05-05',3.0
'2020-05-06',3.0
'2020-05-07',10.0
'2020-05-08',11.0
'2020-05-09',11.0
'2020-05-10',17.0
'2020-05-11',23.0
'2020-05-12',23.0
'2020-04-24',1.0
'2020-04-25',1.0
'2020-04-26',2.0
'2020-04-27',2.0
'2020-04-28',2.0
'2020-04-29',3.0
'2020-04-30',3.0
'2020-05-01',3.0
'2020-05-02',3.0
'2020-05-03',3.0
'2020-05-04',4.0
'2020-05-05',4.0
'2020-05-06',4.0
'2020-05-07',5.0
'2020-05-08',5.0
'2020-05-09',5.0
'2020-05-10',5.0
'2020-05-11',5.0
'2020-05-12',7.0
'2020-04-03',1.0
'2020-04-04',1.0
'2020-04-05',1.0
'2020-04-07',1.0
'2020-04-08',1.0
'2020-04-09',1.0
'2020-04-10',1.0
'2020-04-11',1.0
'2020-04-12',1.0
'2020-04-13',1.0
'2020-04-14',1.0
'2020-04-15',5.0
'2020-04-16',5.0
'2020-04-17',5.0
'2020-04-18',7.0
'2020-04-19',7.0
'2020-04-20',7.0
'2020-04-21',8.0
'2020-04-22',10.0
'2020-04-23',10.0
'2020-04-24',11.0
'2020-04-25',9.0
'2020-04-26',10.0
'2020-04-27',10.0
'2020-04-28',13.0
'2020-04-29',21.0
'2020-04-30',21.0
'2020-05-01',24.0
'2020-05-02',24.0
'2020-05-03',25.0
'2020-05-04',37.0
'2020-05-05',36.0
'2020-05-06',51.0
'2020-05-07',85.0
'2020-05-08',98.0
'2020-05-09',99.0
'2020-05-10',100.0
'2020-05-11',114.0
'2020-05-12',115.0
'2020-04-14',1.0
'2020-04-15',1.0
'2020-04-16',1.0
'2020-04-17',1.0
'2020-04-18',1.0
'2020-04-19',1.0
'2020-04-20',1.0
'2020-04-21',1.0
'2020-04-22',2.0
'2020-04-23',2.0
'2020-04-24',2.0
'2020-04-25',2.0
'2020-04-26',2.0
'2020-04-27',2.0
'2020-04-28',2.0
'2020-04-29',3.0
'2020-04-30',3.0
'2020-05-01',4.0
'2020-05-02',4.0
'2020-05-03',4.0
'2020-05-04',4.0
'2020-05-05',5.0
'2020-05-06',7.0
'2020-05-07',9.0
'2020-05-08',10.0
'2020-05-09',10.0
'2020-05-10',11.0
'2020-05-11',17.0
'2020-05-12',19.0
'2020-04-15',2.0
'2020-04-16',2.0
'2020-04-17',2.0
'2020-04-18',2.0
'2020-04-19',2.0
'2020-04-20',2.0
'2020-04-21',2.0
'2020-04-22',4.0
'2020-04-23',5.0
