Data,SESPRSCA35021
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,1.0
2020-04-01,2.0
2020-04-02,2.0
2020-04-03,2.0
2020-04-04,6.0
2020-04-05,6.0
2020-04-06,10.0
2020-04-07,10.0
2020-04-08,15.0
2020-04-09,16.0
2020-04-10,18.0
2020-04-11,17.0
2020-04-12,17.0
2020-04-13,17.0
2020-04-14,18.0
2020-04-15,32.0
2020-04-16,37.0
2020-04-17,41.0
2020-04-18,41.0
2020-04-19,41.0
2020-04-20,44.0
2020-04-21,43.0
2020-04-22,44.0
2020-04-23,45.0
2020-04-24,51.0
2020-04-25,62.0
2020-04-26,62.0
2020-04-27,64.0
2020-04-28,70.0
2020-04-29,74.0
2020-04-30,74.0
2020-05-01,81.0
2020-05-02,81.0
2020-05-03,83.0
2020-05-04,84.0
2020-05-05,91.0
2020-05-06,99.0
2020-05-07,101.0
2020-05-08,105.0
2020-05-09,108.0
2020-05-10,109.0
2020-05-11,109.0
2020-05-12,112.0
2020-05-13,118.0
2020-05-14,126.0
2020-05-15,128.0
2020-05-16,135.0
2020-05-17,135.0
2020-05-18,135.0
2020-05-19,141.0
2020-05-20,158.0
2020-05-21,160.0
2020-05-22,163.0
2020-05-23,164.0
2020-05-24,165.0
2020-05-25,168.0
2020-05-26,171.0
2020-05-27,176.0
2020-05-28,186.0
2020-05-29,191.0
2020-05-30,198.0
2020-05-31,202.0
2020-06-01,203.0
2020-06-02,223.0
2020-06-03,236.0
2020-06-04,246.0
2020-06-05,255.0
2020-06-06,276.0
2020-06-07,280.0
2020-06-08,285.0
2020-06-09,314.0
2020-06-10,330.0
2020-06-11,360.0
2020-06-12,368.0
2020-06-13,386.0
2020-06-14,404.0
2020-06-15,409.0
2020-06-16,428.0
2020-06-17,429.0
2020-06-18,446.0
2020-06-19,536.0
2020-06-20,564.0
2020-06-21,572.0
2020-06-22,572.0
2020-06-23,644.0
2020-06-24,726.0
2020-06-25,792.0
2020-06-26,836.0
2020-06-27,916.0
2020-06-28,943.0
2020-06-29,967.0
2020-06-30,1001.0
2020-07-01,1085.0
2020-07-02,1167.0
2020-07-03,1261.0
2020-07-04,1273.0
2020-07-05,1340.0
2020-07-06,1409.0
2020-07-07,1528.0
2020-07-08,1645.0
2020-07-09,1784.0
2020-07-10,1909.0
2020-07-11,1996.0
2020-07-12,2022.0
2020-07-13,2024.0
2020-07-14,2161.0
2020-07-15,2304.0
2020-07-16,2467.0
2020-07-17,2571.0
2020-07-18,2584.0
2020-07-19,2608.0
2020-07-20,2611.0
2020-07-21,2782.0
2020-07-22,3273.0
2020-07-23,3531.0
