Data,NOACRSOA12002
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,0.0
2020-04-01,0.0
2020-04-02,0.0
2020-04-03,0.0
2020-04-04,0.0
2020-04-05,0.0
2020-04-06,0.0
2020-04-07,1.0
2020-04-08,2.0
2020-04-09,2.0
2020-04-10,2.0
2020-04-11,2.0
2020-04-12,2.0
2020-04-13,3.0
2020-04-14,3.0
2020-04-15,3.0
2020-04-16,5.0
2020-04-17,5.0
2020-04-18,5.0
2020-04-19,6.0
2020-04-20,8.0
2020-04-21,8.0
2020-04-22,8.0
2020-04-23,10.0
2020-04-24,11.0
2020-04-25,11.0
2020-04-26,11.0
2020-04-27,14.0
2020-04-28,16.0
2020-04-29,17.0
2020-04-30,19.0
2020-05-01,19.0
2020-05-02,22.0
2020-05-03,24.0
2020-05-04,28.0
2020-05-05,29.0
2020-05-06,33.0
2020-05-07,35.0
2020-05-08,37.0
2020-05-09,38.0
2020-05-10,40.0
2020-05-11,44.0
2020-05-12,50.0
2020-05-13,50.0
2020-05-14,53.0
2020-05-15,55.0
2020-05-16,57.0
2020-05-17,58.0
2020-05-18,65.0
2020-05-19,68.0
2020-05-20,71.0
2020-05-21,72.0
2020-05-22,74.0
2020-05-23,80.0
2020-05-24,85.0
2020-05-25,90.0
2020-05-26,97.0
2020-05-27,104.0
2020-05-28,113.0
2020-05-29,120.0
2020-05-30,125.0
2020-05-31,129.0
2020-06-01,140.0
2020-06-02,142.0
2020-06-03,145.0
2020-06-04,150.0
2020-06-05,155.0
2020-06-06,165.0
2020-06-07,169.0
2020-06-08,170.0
2020-06-09,181.0
2020-06-10,194.0
2020-06-11,202.0
2020-06-12,208.0
2020-06-13,209.0
2020-06-14,211.0
2020-06-15,215.0
2020-06-16,219.0
2020-06-17,227.0
2020-06-18,230.0
2020-06-19,234.0
2020-06-20,238.0
