Data,OAPiBSiuiai
43918.0,0.0
43919.0,0.0
43920.0,0.0
43921.0,0.0
43922.0,0.0
43923.0,0.0
43924.0,0.0
43925.0,0.0
43926.0,0.0
43927.0,0.0
43928.0,0.0
43929.0,0.0
43930.0,0.0
43931.0,0.0
43932.0,0.0
43933.0,0.0
43934.0,0.0
43935.0,0.0
43936.0,0.0
43937.0,0.0
43938.0,0.0
43939.0,0.0
43940.0,0.0
43941.0,0.0
43942.0,0.0
43943.0,0.0
43944.0,0.0
43945.0,0.0
43946.0,0.0
43947.0,0.0
43948.0,0.0
43949.0,0.0
43950.0,0.0
43951.0,0.0
43952.0,0.0
43953.0,0.0
43954.0,0.0
43955.0,0.0
43956.0,0.0
43957.0,0.0
43958.0,0.0
43959.0,0.0
43960.0,0.0
43961.0,0.0
43962.0,1.0
43963.0,1.0
43964.0,1.0
43965.0,1.0
43966.0,1.0
43967.0,1.0
43968.0,1.0
43969.0,1.0
43970.0,1.0
43971.0,1.0
43972.0,1.0
43973.0,1.0
43974.0,1.0
43975.0,1.0
43976.0,1.0
43977.0,1.0
43978.0,1.0
43979.0,1.0
43980.0,1.0
43981.0,1.0
43982.0,1.0
43983.0,1.0
43984.0,1.0
43985.0,1.0
43986.0,1.0
