Data,OAMiS_An
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,0
2020-03-27,0
2020-03-28,0
2020-03-29,0
2020-03-30,0
2020-03-31,1
2020-04-01,1
2020-04-02,1
2020-04-03,1
2020-04-04,1
2020-04-05,1
2020-04-06,1
2020-04-07,2
2020-04-08,2
2020-04-09,2
2020-04-10,2
2020-04-11,2
2020-04-12,2
2020-04-13,4
2020-04-14,4
2020-04-15,4
2020-04-16,5
2020-04-17,5
2020-04-18,5
2020-04-19,5
2020-04-20,5
2020-04-21,6
2020-04-22,6
2020-04-23,7
2020-04-24,7
2020-04-25,7
2020-04-26,7
2020-04-27,9
2020-04-28,9
2020-04-29,9
2020-04-30,9
2020-05-01,9
2020-05-02,9
2020-05-03,10
2020-05-04,10
2020-05-05,10
2020-05-06,10
2020-05-07,10
2020-05-08,11
2020-05-09,11
2020-05-10,11
2020-05-11,11
2020-05-12,12
2020-05-13,13
2020-05-14,14
2020-05-15,14
2020-05-16,15
2020-05-17,15
2020-05-18,16
2020-05-19,16
2020-05-20,17
2020-05-21,17
2020-05-22,17
2020-05-23,17
2020-05-24,17
2020-05-25,17
2020-05-26,17
2020-05-27,18
2020-05-28,18
