Data,SURSRSOA43029
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,0.0
2020-04-01,0.0
2020-04-02,0.0
2020-04-03,0.0
2020-04-04,0.0
2020-04-05,0.0
2020-04-06,0.0
2020-04-07,0.0
2020-04-08,0.0
2020-04-09,0.0
2020-04-10,0.0
2020-04-11,0.0
2020-04-12,0.0
2020-04-13,0.0
2020-04-14,0.0
2020-04-15,0.0
2020-04-16,0.0
2020-04-17,0.0
2020-04-18,0.0
2020-04-19,0.0
2020-04-20,0.0
2020-04-21,0.0
2020-04-22,0.0
2020-04-23,0.0
2020-04-24,1.0
2020-04-25,2.0
2020-04-26,2.0
2020-04-27,2.0
2020-04-28,3.0
2020-04-29,4.0
2020-04-30,4.0
2020-05-01,5.0
2020-05-02,5.0
2020-05-03,5.0
2020-05-04,6.0
2020-05-05,7.0
2020-05-06,9.0
2020-05-07,10.0
2020-05-08,10.0
2020-05-09,10.0
2020-05-10,10.0
2020-05-11,10.0
2020-05-12,12.0
2020-05-13,12.0
2020-05-14,13.0
2020-05-15,14.0
2020-05-16,16.0
2020-05-17,19.0
2020-05-18,19.0
2020-05-19,19.0
2020-05-20,19.0
2020-05-21,20.0
2020-05-22,20.0
2020-05-23,20.0
2020-05-24,20.0
2020-05-25,20.0
2020-05-26,21.0
2020-05-27,22.0
2020-05-28,22.0
2020-05-29,22.0
2020-05-30,22.0
2020-05-31,24.0
2020-06-01,25.0
2020-06-02,25.0
2020-06-03,25.0
2020-06-04,26.0
2020-06-05,26.0
2020-06-06,27.0
2020-06-07,27.0
2020-06-08,27.0
2020-06-09,27.0
2020-06-10,28.0
2020-06-11,28.0
2020-06-12,28.0
2020-06-13,29.0
2020-06-14,29.0
2020-06-15,29.0
2020-06-16,29.0
2020-06-17,29.0
2020-06-18,30.0
2020-06-19,30.0
2020-06-20,30.0
2020-06-21,30.0
2020-06-22,30.0
2020-06-23,30.0
2020-06-24,30.0
2020-06-25,30.0
2020-06-26,31.0
2020-06-27,32.0
2020-06-28,32.0
2020-06-29,32.0
2020-06-30,33.0
2020-07-01,33.0
2020-07-02,33.0
2020-07-03,33.0
2020-07-04,33.0
2020-07-05,33.0
2020-07-06,33.0
2020-07-07,33.0
2020-07-08,33.0
2020-07-09,33.0
2020-07-10,35.0
2020-07-11,35.0
2020-07-12,35.0
2020-07-13,35.0
2020-07-14,36.0
2020-07-15,36.0
2020-07-16,36.0
2020-07-17,36.0
2020-07-18,36.0
2020-07-19,36.0
2020-07-20,36.0
2020-07-21,36.0
2020-07-22,36.0
2020-07-23,36.0
2020-07-24,37.0
2020-07-25,38.0
2020-07-26,39.0
2020-07-27,39.0
2020-07-28,39.0
2020-07-29,39.0
2020-07-30,40.0
2020-07-31,41.0
2020-08-01,41.0
2020-08-02,42.0
2020-08-03,44.0
2020-08-04,45.0
2020-08-05,45.0
2020-08-06,47.0
2020-08-07,47.0
2020-08-08,48.0
2020-08-09,48.0
2020-08-10,49.0
2020-08-11,49.0
2020-08-12,50.0
2020-08-13,50.0
2020-08-14,51.0
2020-08-15,51.0
2020-08-16,51.0
2020-08-17,52.0
2020-08-18,53.0
2020-08-19,53.0
