Data,CAAiL_An
2020-03-08,1.0
2020-03-09,1.0
2020-03-10,1.0
2020-03-11,1.0
2020-03-12,1.0
2020-03-13,1.0
2020-03-14,1.0
2020-03-15,1.0
2020-03-16,1.0
2020-03-17,1.0
2020-03-18,1.0
2020-03-19,4.0
2020-03-20,5.0
2020-03-21,7.0
2020-03-22,7.0
2020-03-23,7.0
2020-03-24,9.0
2020-03-25,11.0
2020-03-26,11.0
2020-03-27,11.0
2020-03-28,28.0
2020-03-29,34.0
2020-03-30,34.0
2020-03-31,36.0
2020-04-01,36.0
2020-04-02,36.0
2020-04-03,45.0
2020-04-04,46.0
2020-04-05,56.0
2020-04-06,62.0
2020-04-07,64.0
2020-04-08,74.0
2020-04-09,74.0
2020-04-10,90.0
2020-04-11,96.0
2020-04-12,96.0
2020-04-13,100.0
2020-04-14,144.0
2020-04-15,164.0
2020-04-16,178.0
2020-04-17,220.0
2020-04-18,264.0
2020-04-19,318.0
2020-04-20,342.0
2020-04-21,420.0
2020-04-22,486.0
2020-04-23,648.0
2020-04-24,826.0
2020-04-25,1003.0
2020-04-26,1114.0
2020-04-27,1286.0
2020-04-28,1554.0
2020-04-29,1914.0
2020-04-30,2089.0
2020-05-01,2452.0
2020-05-02,2744.0
2020-05-03,2882.0
2020-05-04,3076.0
2020-05-05,3212.0
2020-05-06,3406.0
2020-05-07,3734.0
2020-05-08,4066.0
2020-05-09,4344.0
2020-05-10,4516.0
2020-05-11,4686.0
2020-05-12,5160.0
2020-05-13,5522.0
2020-05-14,5944.0
2020-05-15,6424.0
2020-05-16,7186.0
2020-05-17,7632.0
2020-05-18,8062.0
2020-05-19,8632.0
2020-05-20,8874.0
2020-05-21,9832.0
