Data,RNMiA_An
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,0
2020-03-27,0
2020-03-28,0
2020-03-29,0
2020-03-30,1
2020-03-31,1
2020-04-01,1
2020-04-02,1
2020-04-03,1
2020-04-04,1
2020-04-05,2
2020-04-06,2
2020-04-07,4
2020-04-08,11
2020-04-09,12
2020-04-10,16
2020-04-11,21
2020-04-12,24
2020-04-13,27
2020-04-14,32
2020-04-15,34
2020-04-16,37
2020-04-17,40
2020-04-18,44
2020-04-19,48
2020-04-20,54
2020-04-21,60
2020-04-22,66
2020-04-23,76
2020-04-24,88
2020-04-25,100
2020-04-26,112
2020-04-27,125
2020-04-28,145
2020-04-29,166
2020-04-30,184
2020-05-01,204
2020-05-02,224
2020-05-03,237
2020-05-04,249
2020-05-05,271
2020-05-06,291
2020-05-07,305
2020-05-08,330
2020-05-09,355
2020-05-10,379
2020-05-11,399
2020-05-12,423
2020-05-13,444
2020-05-14,470
2020-05-15,496
2020-05-16,524
2020-05-17,549
2020-05-18,576
2020-05-19,604
2020-05-20,634
2020-05-21,663
2020-05-22,693
2020-05-23,722
2020-05-24,754
2020-05-25,784
