Data,CNAiM_An
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,0.0
2020-03-11,0.0
2020-03-12,0.0
2020-03-13,0.0
2020-03-14,0.0
2020-03-15,1.0
2020-03-16,0.0
2020-03-17,0.0
2020-03-18,0.0
2020-03-19,2.0
2020-03-20,0.0
2020-03-21,8.0
2020-03-22,15.0
2020-03-23,6.0
2020-03-24,15.0
2020-03-25,7.0
2020-03-26,13.0
2020-03-27,14.0
2020-03-28,30.0
2020-03-29,29.0
2020-03-30,11.0
2020-03-31,24.0
2020-04-01,25.0
2020-04-02,29.0
2020-04-03,31.0
2020-04-04,51.0
2020-04-05,106.0
2020-04-06,115.0
2020-04-07,104.0
2020-04-08,168.0
2020-04-09,95.0
2020-04-10,82.0
2020-04-11,69.0
2020-04-12,156.0
2020-04-13,69.0
2020-04-14,209.0
2020-04-15,70.0
2020-04-16,165.0
2020-04-17,90.0
2020-04-18,88.0
2020-04-19,147.0
2020-04-20,116.0
2020-04-21,110.0
2020-04-22,209.0
2020-04-23,409.0
2020-04-24,306.0
2020-04-25,441.0
2020-04-26,198.0
2020-04-27,95.0
2020-04-28,409.0
2020-04-29,464.0
2020-04-30,453.0
2020-05-01,469.0
2020-05-02,339.0
2020-05-03,621.0
2020-05-04,559.0
2020-05-05,867.0
2020-05-06,1134.0
2020-05-07,856.0
2020-05-08,628.0
2020-05-09,1198.0
2020-05-10,674.0
2020-05-11,320.0
2020-05-12,1249.0
2020-05-13,1648.0
2020-05-14,1365.0
2020-05-15,1211.0
2020-05-16,1285.0
2020-05-17,651.0
2020-05-18,585.0
2020-05-19,1219.0
2020-05-20,1572.0
2020-05-21,1663.0
2020-05-22,1671.0
2020-05-23,1764.0
2020-05-24,1065.0
2020-05-25,415.0
2020-05-26,1667.0
2020-05-27,1559.0
2020-05-28,2638.0
2020-05-29,2763.0
2020-05-30,1651.0
2020-05-31,818.0
2020-06-01,396.0
2020-06-02,1421.0
2020-06-03,1152.0
2020-06-04,2126.0
2020-06-05,1193.0
2020-06-06,1119.0
2020-06-07,484.0
2020-06-08,542.0
2020-06-09,1423.0
2020-06-10,1615.0
2020-06-11,1140.0
2020-06-12,1122.0
2020-06-13,915.0
2020-06-14,480.0
2020-06-15,271.0
2020-06-16,1241.0
2020-06-17,1529.0
2020-06-18,1189.0
2020-06-19,947.0
2020-06-20,1219.0
2020-06-21,508.0
2020-06-22,321.0
2020-06-23,1342.0
2020-06-24,1691.0
2020-06-25,503.0
2020-06-26,953.0
2020-06-27,802.0
2020-06-28,627.0
2020-06-29,244.0
2020-06-30,930.0
2020-07-01,1461.0
2020-07-02,1246.0
2020-07-03,1007.0
2020-07-04,1408.0
2020-07-05,69.0
2020-07-06,410.0
2020-07-07,2743.0
2020-07-08,915.0
2020-07-09,1236.0
2020-07-10,1189.0
2020-07-11,723.0
2020-07-12,296.0
2020-07-13,886.0
2020-07-14,1229.0
2020-07-15,1303.0
2020-07-16,1081.0
2020-07-17,797.0
2020-07-18,1712.0
2020-07-19,379.0
2020-07-20,476.0
2020-07-21,775.0
2020-07-22,557.0
2020-07-23,1498.0
2020-07-24,1205.0
2020-07-25,670.0
2020-07-26,369.0
2020-07-27,616.0
2020-07-28,1039.0
2020-07-29,975.0
2020-07-30,1047.0
2020-07-31,800.0
2020-08-01,837.0
2020-08-02,347.0
2020-08-03,262.0
2020-08-04,883.0
2020-08-05,981.0
2020-08-06,804.0
2020-08-07,803.0
2020-08-08,571.0
2020-08-09,522.0
2020-08-10,247.0
2020-08-11,908.0
2020-08-12,815.0
2020-08-13,882.0
2020-08-14,975.0
2020-08-15,464.0
2020-08-16,671.0
2020-08-17,351.0
2020-08-18,618.0
2020-08-19,711.0
