Data,ONSiP_An
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,1
2020-03-18,3
2020-03-19,0
2020-03-20,5
2020-03-21,6
2020-03-22,7
2020-03-23,8
2020-03-24,10
2020-03-25,8
2020-03-26,10
2020-03-27,10
2020-03-28,16
2020-03-29,14
2020-03-30,15
2020-03-31,23
2020-04-01,28
2020-04-02,24
2020-04-03,31
2020-04-04,41
2020-04-05,15
2020-04-06,29
2020-04-07,67
2020-04-08,57
2020-04-09,68
2020-04-10,44
2020-04-11,20
2020-04-12,28
2020-04-13,20
2020-04-14,87
2020-04-15,83
2020-04-16,75
2020-04-17,75
2020-04-18,63
2020-04-19,24
2020-04-20,22
2020-04-21,56
2020-04-22,41
2020-04-23,211
2020-04-24,167
2020-04-25,155
2020-04-26,33
2020-04-27,125
2020-04-28,224
2020-04-29,198
2020-04-30,128
2020-05-01,136
2020-05-02,75
2020-05-03,41
2020-05-04,27
2020-05-05,197
2020-05-06,194
2020-05-07,161
2020-05-08,210
2020-05-09,192
2020-05-10,101
2020-05-11,34
2020-05-12,206
2020-05-13,169
2020-05-14,197
2020-05-15,186
2020-05-16,187
2020-05-17,94
2020-05-18,41
2020-05-19,324
2020-05-20,216
2020-05-21,195
2020-05-22,215
2020-05-23,272
2020-05-24,118
2020-05-25,57
2020-05-26,203
2020-05-27,289
2020-05-28,268
2020-05-29,295
2020-05-30,257
