Data,NEPIRSOA22007
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,0.0
2020-04-01,0.0
2020-04-02,0.0
2020-04-03,0.0
2020-04-04,0.0
2020-04-05,0.0
2020-04-06,0.0
2020-04-07,0.0
2020-04-08,0.0
2020-04-09,0.0
2020-04-10,0.0
2020-04-11,0.0
2020-04-12,0.0
2020-04-13,0.0
2020-04-14,0.0
2020-04-15,0.0
2020-04-16,0.0
2020-04-17,0.0
2020-04-18,0.0
2020-04-19,0.0
2020-04-20,0.0
2020-04-21,0.0
2020-04-22,0.0
2020-04-23,0.0
2020-04-24,0.0
2020-04-25,0.0
2020-04-26,0.0
2020-04-27,0.0
2020-04-28,0.0
2020-04-29,0.0
2020-04-30,0.0
2020-05-01,0.0
2020-05-02,0.0
2020-05-03,0.0
2020-05-04,0.0
2020-05-05,0.0
2020-05-06,0.0
2020-05-07,0.0
2020-05-08,1.0
2020-05-09,1.0
2020-05-10,1.0
2020-05-11,1.0
2020-05-12,1.0
2020-05-13,2.0
2020-05-14,2.0
2020-05-15,2.0
2020-05-16,2.0
2020-05-17,2.0
2020-05-18,2.0
2020-05-19,3.0
2020-05-20,3.0
2020-05-21,3.0
2020-05-22,3.0
2020-05-23,3.0
2020-05-24,3.0
2020-05-25,3.0
2020-05-26,3.0
2020-05-27,3.0
2020-05-28,3.0
2020-05-29,3.0
2020-05-30,3.0
2020-05-31,3.0
2020-06-01,3.0
2020-06-02,4.0
2020-06-03,4.0
2020-06-04,4.0
2020-06-05,5.0
2020-06-06,5.0
2020-06-07,5.0
2020-06-08,5.0
2020-06-09,5.0
2020-06-10,5.0
2020-06-11,5.0
2020-06-12,5.0
2020-06-13,5.0
2020-06-14,5.0
2020-06-15,5.0
2020-06-16,5.0
2020-06-17,6.0
2020-06-18,6.0
2020-06-19,7.0
2020-06-20,7.0
2020-06-21,7.0
2020-06-22,7.0
2020-06-23,7.0
2020-06-24,7.0
2020-06-25,7.0
2020-06-26,9.0
2020-06-27,9.0
2020-06-28,10.0
2020-06-29,10.0
2020-06-30,11.0
2020-07-01,12.0
2020-07-02,12.0
