Data,NEPBRSCA25016
2020-03-27,0.0
2020-03-28,2.0
2020-03-29,2.0
2020-03-30,2.0
2020-03-31,1.0
2020-04-01,2.0
2020-04-02,2.0
2020-04-03,2.0
2020-04-04,2.0
2020-04-05,2.0
2020-04-06,3.0
2020-04-07,3.0
2020-04-08,3.0
2020-04-09,3.0
2020-04-10,3.0
2020-04-11,3.0
2020-04-12,3.0
2020-04-13,3.0
2020-04-14,3.0
2020-04-15,4.0
2020-04-16,5.0
2020-04-17,9.0
2020-04-18,9.0
2020-04-19,13.0
2020-04-20,13.0
2020-04-21,13.0
2020-04-22,21.0
2020-04-23,25.0
2020-04-24,31.0
2020-04-25,36.0
2020-04-26,40.0
2020-04-27,40.0
2020-04-28,43.0
2020-04-29,47.0
2020-04-30,53.0
2020-05-01,54.0
2020-05-02,56.0
2020-05-03,64.0
2020-05-04,68.0
2020-05-05,73.0
2020-05-06,84.0
2020-05-07,94.0
2020-05-08,109.0
2020-05-09,120.0
2020-05-10,135.0
2020-05-11,157.0
2020-05-12,168.0
2020-05-13,189.0
2020-05-14,204.0
2020-05-15,305.0
2020-05-16,332.0
2020-05-17,342.0
2020-05-18,352.0
2020-05-19,400.0
2020-05-20,419.0
2020-05-21,505.0
2020-05-22,702.0
2020-05-23,834.0
2020-05-24,938.0
2020-05-25,996.0
2020-05-26,1083.0
2020-05-27,1207.0
2020-05-28,1375.0
2020-05-29,1497.0
2020-05-30,1713.0
2020-05-31,1751.0
2020-06-01,1811.0
2020-06-02,1961.0
2020-06-03,2107.0
2020-06-04,2323.0
2020-06-05,2515.0
2020-06-06,2699.0
2020-06-07,2855.0
2020-06-08,3037.0
2020-06-09,3387.0
2020-06-10,3665.0
2020-06-11,3982.0
2020-06-12,4414.0
2020-06-13,4611.0
2020-06-14,4697.0
2020-06-15,4836.0
2020-06-16,5076.0
2020-06-17,5371.0
2020-06-18,5371.0
2020-06-19,5899.0
2020-06-20,6205.0
2020-06-21,6264.0
2020-06-22,6275.0
2020-06-23,6325.0
2020-06-24,6622.0
2020-06-25,6838.0
2020-06-26,7113.0
2020-06-27,7292.0
2020-06-28,7350.0
2020-06-29,7419.0
2020-06-30,7546.0
2020-07-01,7618.0
2020-07-02,7684.0
2020-07-03,7915.0
2020-07-04,8127.0
2020-07-05,8188.0
2020-07-06,8268.0
2020-07-07,8509.0
2020-07-08,8739.0
2020-07-09,8919.0
2020-07-10,9142.0
2020-07-11,9324.0
2020-07-12,9383.0
2020-07-13,9396.0
2020-07-14,9582.0
2020-07-15,9761.0
2020-07-16,9943.0
2020-07-17,10115.0
2020-07-18,10347.0
2020-07-19,10437.0
