Data,SERJRSCA33008
2020-03-27,0.0
2020-03-28,1.0
2020-03-29,1.0
2020-03-30,1.0
2020-03-31,2.0
2020-04-01,2.0
2020-04-02,2.0
2020-04-03,3.0
2020-04-04,7.0
2020-04-05,9.0
2020-04-06,9.0
2020-04-07,10.0
2020-04-08,11.0
2020-04-09,11.0
2020-04-10,12.0
2020-04-11,12.0
2020-04-12,14.0
2020-04-13,16.0
2020-04-14,16.0
2020-04-15,20.0
2020-04-16,36.0
2020-04-17,37.0
2020-04-18,38.0
2020-04-19,36.0
2020-04-20,36.0
2020-04-21,36.0
2020-04-22,40.0
2020-04-23,60.0
2020-04-24,60.0
2020-04-25,60.0
2020-04-26,62.0
2020-04-27,63.0
2020-04-28,111.0
2020-04-29,126.0
2020-04-30,132.0
2020-05-01,155.0
2020-05-02,161.0
2020-05-03,163.0
2020-05-04,164.0
2020-05-05,169.0
2020-05-06,173.0
2020-05-07,179.0
2020-05-08,317.0
2020-05-09,324.0
2020-05-10,345.0
2020-05-11,351.0
2020-05-12,356.0
2020-05-13,357.0
2020-05-14,368.0
2020-05-15,370.0
2020-05-16,411.0
2020-05-17,411.0
2020-05-18,755.0
2020-05-19,759.0
2020-05-20,759.0
2020-05-21,760.0
2020-05-22,762.0
2020-05-23,763.0
2020-05-24,1065.0
2020-05-25,1123.0
2020-05-26,1165.0
2020-05-27,1572.0
2020-05-28,1658.0
2020-05-29,1752.0
2020-05-30,1924.0
2020-05-31,2008.0
2020-06-01,2090.0
2020-06-02,2151.0
2020-06-03,2214.0
2020-06-04,2288.0
2020-06-05,2370.0
2020-06-06,2479.0
2020-06-07,2733.0
2020-06-08,2764.0
2020-06-09,3085.0
2020-06-10,3165.0
2020-06-11,3199.0
2020-06-12,3396.0
2020-06-13,3355.0
2020-06-14,3367.0
2020-06-15,3512.0
2020-06-16,3558.0
2020-06-17,3678.0
2020-06-18,3689.0
2020-06-19,3975.0
2020-06-20,4090.0
2020-06-21,4123.0
2020-06-22,4180.0
2020-06-23,4336.0
2020-06-24,4483.0
2020-06-25,4643.0
2020-06-26,4834.0
2020-06-27,4854.0
2020-06-28,5176.0
2020-06-29,5307.0
2020-06-30,5311.0
2020-07-01,5487.0
2020-07-02,5572.0
2020-07-03,5660.0
2020-07-04,5732.0
2020-07-05,5806.0
2020-07-06,5856.0
2020-07-07,6091.0
2020-07-08,6389.0
