Data,ONPiA_An
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,0.0
2020-03-11,0.0
2020-03-12,0.0
2020-03-13,0.0
2020-03-14,0.0
2020-03-15,0.0
2020-03-16,0.0
2020-03-17,0.0
2020-03-18,0.0
2020-03-19,0.0
2020-03-20,0.0
2020-03-21,0.0
2020-03-22,0.0
2020-03-23,0.0
2020-03-24,0.0
2020-03-25,0.0
2020-03-26,0.0
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,0.0
2020-04-01,1.0
2020-04-02,0.0
2020-04-03,0.0
2020-04-04,0.0
2020-04-05,0.0
2020-04-06,2.0
2020-04-07,2.0
2020-04-08,1.0
2020-04-09,1.0
2020-04-10,2.0
2020-04-11,1.0
2020-04-12,3.0
2020-04-13,2.0
2020-04-14,4.0
2020-04-15,2.0
2020-04-16,3.0
2020-04-17,2.0
2020-04-18,7.0
2020-04-19,1.0
2020-04-20,1.0
2020-04-21,3.0
2020-04-22,5.0
2020-04-23,10.0
2020-04-24,22.0
2020-04-25,11.0
2020-04-26,14.0
2020-04-27,14.0
2020-04-28,15.0
2020-04-29,8.0
2020-04-30,71.0
2020-05-01,27.0
2020-05-02,38.0
2020-05-03,36.0
2020-05-04,21.0
2020-05-05,39.0
2020-05-06,23.0
2020-05-07,18.0
2020-05-08,105.0
2020-05-09,63.0
2020-05-10,74.0
2020-05-11,56.0
2020-05-12,156.0
2020-05-13,82.0
2020-05-14,117.0
2020-05-15,82.0
2020-05-16,54.0
2020-05-17,40.0
2020-05-18,90.0
2020-05-19,190.0
2020-05-20,114.0
2020-05-21,219.0
2020-05-22,85.0
2020-05-23,64.0
2020-05-24,147.0
2020-05-25,224.0
2020-05-26,97.0
2020-05-27,76.0
2020-05-28,159.0
2020-05-29,123.0
2020-05-30,73.0
2020-05-31,23.0
2020-06-01,2.0
2020-06-02,115.0
2020-06-03,153.0
2020-06-04,223.0
2020-06-05,122.0
2020-06-06,74.0
2020-06-07,66.0
2020-06-08,94.0
2020-06-09,81.0
2020-06-10,74.0
2020-06-11,103.0
2020-06-12,102.0
2020-06-13,45.0
2020-06-14,14.0
2020-06-15,10.0
2020-06-16,90.0
2020-06-17,59.0
2020-06-18,45.0
2020-06-19,74.0
2020-06-20,50.0
2020-06-21,64.0
2020-06-22,22.0
2020-06-23,67.0
2020-06-24,54.0
2020-06-25,22.0
2020-06-26,55.0
2020-06-27,31.0
2020-06-28,11.0
2020-06-29,25.0
2020-06-30,50.0
2020-07-01,40.0
2020-07-02,44.0
2020-07-03,46.0
2020-07-04,19.0
2020-07-05,27.0
2020-07-06,9.0
2020-07-07,23.0
2020-07-08,41.0
2020-07-09,27.0
2020-07-10,28.0
2020-07-11,50.0
2020-07-12,15.0
2020-07-13,4.0
2020-07-14,25.0
2020-07-15,19.0
