Data,NERNRSOA24002
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,1.0
2020-03-30,1.0
2020-03-31,1.0
2020-04-01,1.0
2020-04-02,1.0
2020-04-03,3.0
2020-04-04,3.0
2020-04-05,3.0
2020-04-06,3.0
2020-04-07,3.0
2020-04-08,5.0
2020-04-09,5.0
2020-04-10,5.0
2020-04-11,7.0
2020-04-12,7.0
2020-04-13,8.0
2020-04-14,7.0
2020-04-15,7.0
2020-04-16,7.0
2020-04-17,9.0
2020-04-18,9.0
2020-04-19,9.0
2020-04-20,9.0
2020-04-21,9.0
2020-04-22,9.0
2020-04-23,9.0
2020-04-24,10.0
2020-04-25,10.0
2020-04-26,11.0
2020-04-27,11.0
2020-04-28,12.0
2020-04-29,14.0
2020-04-30,15.0
2020-05-01,15.0
2020-05-02,16.0
2020-05-03,17.0
2020-05-04,17.0
2020-05-05,19.0
2020-05-06,20.0
2020-05-07,21.0
2020-05-08,21.0
2020-05-09,24.0
2020-05-10,24.0
2020-05-11,26.0
2020-05-12,28.0
2020-05-13,33.0
2020-05-14,33.0
2020-05-15,34.0
2020-05-16,40.0
2020-05-17,40.0
2020-05-18,41.0
2020-05-19,44.0
2020-05-20,47.0
2020-05-21,51.0
2020-05-22,52.0
2020-05-23,52.0
2020-05-24,53.0
2020-05-25,57.0
2020-05-26,60.0
2020-05-27,67.0
2020-05-28,67.0
2020-05-29,73.0
2020-05-30,85.0
2020-05-31,85.0
2020-06-01,88.0
2020-06-02,93.0
2020-06-03,96.0
2020-06-04,101.0
2020-06-05,104.0
2020-06-06,106.0
2020-06-07,113.0
2020-06-08,114.0
2020-06-09,118.0
2020-06-10,126.0
2020-06-11,127.0
2020-06-12,129.0
2020-06-13,133.0
2020-06-14,134.0
2020-06-15,138.0
2020-06-16,140.0
2020-06-17,140.0
2020-06-18,153.0
2020-06-19,154.0
2020-06-20,154.0
2020-06-21,154.0
2020-06-22,161.0
2020-06-23,165.0
2020-06-24,168.0
2020-06-25,176.0
2020-06-26,178.0
2020-06-27,181.0
2020-06-28,186.0
2020-06-29,189.0
2020-06-30,191.0
2020-07-01,193.0
2020-07-02,199.0
2020-07-03,211.0
2020-07-04,214.0
2020-07-05,214.0
2020-07-06,216.0
2020-07-07,223.0
2020-07-08,224.0
2020-07-09,227.0
2020-07-10,230.0
2020-07-11,230.0
2020-07-12,232.0
2020-07-13,235.0
2020-07-14,238.0
2020-07-15,241.0
2020-07-16,248.0
2020-07-17,254.0
2020-07-18,261.0
2020-07-19,261.0
2020-07-20,262.0
2020-07-21,263.0
2020-07-22,269.0
2020-07-23,270.0
2020-07-24,273.0
2020-07-25,274.0
2020-07-26,275.0
2020-07-27,276.0
2020-07-28,278.0
2020-07-29,281.0
2020-07-30,286.0
2020-07-31,287.0
2020-08-01,292.0
2020-08-02,293.0
2020-08-03,295.0
2020-08-04,297.0
2020-08-05,295.0
2020-08-06,299.0
2020-08-07,300.0
2020-08-08,301.0
2020-08-09,301.0
2020-08-10,301.0
2020-08-11,303.0
2020-08-12,305.0
2020-08-13,308.0
2020-08-14,309.0
2020-08-15,311.0
2020-08-16,313.0
2020-08-17,315.0
2020-08-18,317.0
2020-08-19,319.0
