Data,NECERSOA23012
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,0.0
2020-04-01,0.0
2020-04-02,0.0
2020-04-03,0.0
2020-04-04,0.0
2020-04-05,0.0
2020-04-06,0.0
2020-04-07,0.0
2020-04-08,0.0
2020-04-09,0.0
2020-04-10,0.0
2020-04-11,0.0
2020-04-12,0.0
2020-04-13,0.0
2020-04-14,0.0
2020-04-15,0.0
2020-04-16,0.0
2020-04-17,0.0
2020-04-18,1.0
2020-04-19,1.0
2020-04-20,1.0
2020-04-21,1.0
2020-04-22,1.0
2020-04-23,1.0
2020-04-24,1.0
2020-04-25,1.0
2020-04-26,1.0
2020-04-27,1.0
2020-04-28,2.0
2020-04-29,2.0
2020-04-30,2.0
2020-05-01,2.0
2020-05-02,2.0
2020-05-03,2.0
2020-05-04,2.0
2020-05-05,2.0
2020-05-06,2.0
2020-05-07,2.0
2020-05-08,2.0
2020-05-09,2.0
2020-05-10,2.0
2020-05-11,2.0
2020-05-12,2.0
2020-05-13,2.0
2020-05-14,2.0
2020-05-15,2.0
2020-05-16,16.0
2020-05-17,16.0
2020-05-18,16.0
2020-05-19,17.0
2020-05-20,19.0
2020-05-21,29.0
2020-05-22,29.0
2020-05-23,29.0
2020-05-24,29.0
2020-05-25,29.0
2020-05-26,29.0
2020-05-27,33.0
2020-05-28,37.0
2020-05-29,39.0
2020-05-30,39.0
2020-05-31,41.0
2020-06-01,52.0
2020-06-02,52.0
2020-06-03,56.0
2020-06-04,57.0
2020-06-05,58.0
2020-06-06,59.0
2020-06-07,59.0
2020-06-08,62.0
2020-06-09,70.0
2020-06-10,70.0
2020-06-11,72.0
2020-06-12,72.0
2020-06-13,72.0
2020-06-14,76.0
2020-06-15,78.0
2020-06-16,78.0
2020-06-17,79.0
2020-06-18,79.0
2020-06-19,80.0
2020-06-20,80.0
2020-06-21,80.0
2020-06-22,85.0
2020-06-23,87.0
2020-06-24,94.0
2020-06-25,102.0
2020-06-26,104.0
2020-06-27,107.0
2020-06-28,107.0
2020-06-29,107.0
2020-06-30,108.0
2020-07-01,109.0
2020-07-02,112.0
2020-07-03,112.0
2020-07-04,112.0
2020-07-05,112.0
2020-07-06,115.0
2020-07-07,117.0
2020-07-08,119.0
2020-07-09,123.0
2020-07-10,122.0
2020-07-11,120.0
2020-07-12,121.0
2020-07-13,122.0
2020-07-14,122.0
2020-07-15,124.0
2020-07-16,125.0
