Data,SEMGRSCA31027
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,0.0
2020-04-01,0.0
2020-04-02,0.0
2020-04-03,0.0
2020-04-04,0.0
2020-04-05,0.0
2020-04-06,0.0
2020-04-07,0.0
2020-04-08,0.0
2020-04-09,0.0
2020-04-10,0.0
2020-04-11,0.0
2020-04-12,0.0
2020-04-13,0.0
2020-04-14,0.0
2020-04-15,0.0
2020-04-16,0.0
2020-04-17,0.0
2020-04-18,0.0
2020-04-19,0.0
2020-04-20,0.0
2020-04-21,0.0
2020-04-22,0.0
2020-04-23,0.0
2020-04-24,0.0
2020-04-25,0.0
2020-04-26,0.0
2020-04-27,1.0
2020-04-28,1.0
2020-04-29,1.0
2020-04-30,1.0
2020-05-01,1.0
2020-05-02,1.0
2020-05-03,1.0
2020-05-04,1.0
2020-05-05,1.0
2020-05-06,1.0
2020-05-07,1.0
2020-05-08,1.0
2020-05-09,2.0
2020-05-10,3.0
2020-05-11,3.0
2020-05-12,3.0
2020-05-13,3.0
2020-05-14,3.0
2020-05-15,3.0
2020-05-16,3.0
2020-05-17,3.0
2020-05-18,3.0
2020-05-19,3.0
2020-05-20,3.0
2020-05-21,3.0
2020-05-22,2.0
2020-05-23,2.0
2020-05-24,2.0
2020-05-25,2.0
2020-05-26,2.0
2020-05-27,2.0
2020-05-28,2.0
2020-05-29,2.0
2020-05-30,2.0
2020-05-31,2.0
2020-06-01,2.0
2020-06-02,2.0
2020-06-03,2.0
2020-06-04,2.0
2020-06-05,2.0
2020-06-06,2.0
2020-06-07,3.0
2020-06-08,3.0
2020-06-09,3.0
2020-06-10,3.0
2020-06-11,3.0
2020-06-12,4.0
2020-06-13,3.0
2020-06-14,3.0
2020-06-15,3.0
2020-06-16,3.0
2020-06-17,3.0
2020-06-18,4.0
2020-06-19,4.0
2020-06-20,6.0
2020-06-21,6.0
2020-06-22,5.0
2020-06-23,5.0
2020-06-24,5.0
2020-06-25,6.0
2020-06-26,9.0
2020-06-27,11.0
2020-06-28,15.0
2020-06-29,14.0
2020-06-30,14.0
2020-07-01,16.0
2020-07-02,16.0
2020-07-03,17.0
2020-07-04,18.0
2020-07-05,18.0
2020-07-06,20.0
2020-07-07,20.0
2020-07-08,22.0
2020-07-09,22.0
2020-07-10,23.0
2020-07-11,24.0
2020-07-12,25.0
2020-07-13,26.0
2020-07-14,27.0
2020-07-15,29.0
2020-07-16,31.0
2020-07-17,37.0
2020-07-18,38.0
2020-07-19,40.0
