Data,OAAiLCiriripi
2020-04-29,0
2020-04-30,0
2020-05-01,0
2020-05-02,0
2020-05-03,0
2020-05-04,0
2020-05-05,0
2020-05-06,0
2020-05-07,0
2020-05-08,0
2020-05-09,1
2020-05-10,1
2020-05-11,1
2020-05-12,2
2020-05-13,2
2020-05-14,2
2020-05-15,2
2020-05-16,2
2020-05-17,2
2020-05-18,2
2020-05-19,2
2020-05-20,3
2020-05-21,3
2020-05-22,3
2020-05-23,6
2020-05-24,6
2020-05-25,6
2020-05-26,6
2020-05-27,6
2020-05-28,6
2020-05-29,6
2020-05-30,7
2020-05-31,7
2020-06-01,8
2020-06-02,8
2020-06-03,8
2020-06-04,8
2020-06-05,8
2020-06-06,9
2020-06-07,9
