Data,SERJRSOA33009
2020-03-27,0.0
2020-03-28,1.0
2020-03-29,1.0
2020-03-30,1.0
2020-03-31,1.0
2020-04-01,1.0
2020-04-02,1.0
2020-04-03,1.0
2020-04-04,1.0
2020-04-05,1.0
2020-04-06,1.0
2020-04-07,1.0
2020-04-08,1.0
2020-04-09,1.0
2020-04-10,1.0
2020-04-11,1.0
2020-04-12,2.0
2020-04-13,2.0
2020-04-14,2.0
2020-04-15,2.0
2020-04-16,3.0
2020-04-17,9.0
2020-04-18,10.0
2020-04-19,10.0
2020-04-20,10.0
2020-04-21,11.0
2020-04-22,12.0
2020-04-23,13.0
2020-04-24,14.0
2020-04-25,14.0
2020-04-26,14.0
2020-04-27,15.0
2020-04-28,16.0
2020-04-29,18.0
2020-04-30,18.0
2020-05-01,22.0
2020-05-02,22.0
2020-05-03,22.0
2020-05-04,22.0
2020-05-05,24.0
2020-05-06,28.0
2020-05-07,31.0
2020-05-08,35.0
2020-05-09,40.0
2020-05-10,41.0
2020-05-11,41.0
2020-05-12,45.0
2020-05-13,49.0
2020-05-14,55.0
2020-05-15,58.0
2020-05-16,63.0
2020-05-17,63.0
2020-05-18,64.0
2020-05-19,64.0
2020-05-20,71.0
2020-05-21,74.0
2020-05-22,77.0
2020-05-23,82.0
2020-05-24,82.0
2020-05-25,82.0
2020-05-26,101.0
2020-05-27,107.0
2020-05-28,113.0
2020-05-29,118.0
2020-05-30,123.0
2020-05-31,123.0
2020-06-01,123.0
2020-06-02,127.0
2020-06-03,149.0
2020-06-04,155.0
2020-06-05,160.0
2020-06-06,161.0
2020-06-07,162.0
2020-06-08,163.0
2020-06-09,163.0
2020-06-10,178.0
2020-06-11,184.0
2020-06-12,184.0
2020-06-13,185.0
2020-06-14,186.0
2020-06-15,186.0
2020-06-16,199.0
2020-06-17,208.0
2020-06-18,214.0
2020-06-19,214.0
2020-06-20,215.0
2020-06-21,215.0
2020-06-22,215.0
2020-06-23,219.0
2020-06-24,236.0
2020-06-25,239.0
2020-06-26,228.0
2020-06-27,243.0
2020-06-28,243.0
2020-06-29,242.0
2020-06-30,247.0
2020-07-01,251.0
2020-07-02,251.0
2020-07-03,258.0
2020-07-04,259.0
