Data,SESPRSOA35015
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,1.0
2020-03-30,1.0
2020-03-31,3.0
2020-04-01,5.0
2020-04-02,5.0
2020-04-03,8.0
2020-04-04,9.0
2020-04-05,10.0
2020-04-06,10.0
2020-04-07,11.0
2020-04-08,12.0
2020-04-09,12.0
2020-04-10,14.0
2020-04-11,15.0
2020-04-12,16.0
2020-04-13,17.0
2020-04-14,21.0
2020-04-15,28.0
2020-04-16,31.0
2020-04-17,38.0
2020-04-18,45.0
2020-04-19,46.0
2020-04-20,46.0
2020-04-21,48.0
2020-04-22,48.0
2020-04-23,55.0
2020-04-24,73.0
2020-04-25,79.0
2020-04-26,79.0
2020-04-27,91.0
2020-04-28,102.0
2020-04-29,119.0
2020-04-30,127.0
2020-05-01,142.0
2020-05-02,144.0
2020-05-03,154.0
2020-05-04,156.0
2020-05-05,168.0
2020-05-06,188.0
2020-05-07,202.0
2020-05-08,211.0
2020-05-09,229.0
2020-05-10,235.0
2020-05-11,235.0
2020-05-12,245.0
2020-05-13,258.0
2020-05-14,274.0
2020-05-15,296.0
2020-05-16,305.0
2020-05-17,319.0
2020-05-18,319.0
2020-05-19,344.0
2020-05-20,381.0
2020-05-21,405.0
2020-05-22,417.0
2020-05-23,430.0
2020-05-24,462.0
2020-05-25,464.0
2020-05-26,472.0
2020-05-27,493.0
2020-05-28,505.0
2020-05-29,526.0
2020-05-30,540.0
2020-05-31,549.0
2020-06-01,550.0
2020-06-02,568.0
2020-06-03,601.0
2020-06-04,624.0
2020-06-05,653.0
2020-06-06,670.0
2020-06-07,672.0
2020-06-08,672.0
2020-06-09,714.0
2020-06-10,741.0
2020-06-11,754.0
2020-06-12,781.0
2020-06-13,800.0
2020-06-14,811.0
2020-06-15,812.0
2020-06-16,840.0
2020-06-17,863.0
2020-06-18,886.0
2020-06-19,906.0
2020-06-20,923.0
2020-06-21,928.0
2020-06-22,929.0
2020-06-23,945.0
2020-06-24,963.0
2020-06-25,1010.0
2020-06-26,1021.0
2020-06-27,1051.0
2020-06-28,1055.0
2020-06-29,1056.0
2020-06-30,1079.0
2020-07-01,1103.0
2020-07-02,1143.0
2020-07-03,1174.0
2020-07-04,1199.0
2020-07-05,1213.0
2020-07-06,1213.0
2020-07-07,1227.0
2020-07-08,1259.0
2020-07-09,1275.0
2020-07-10,1293.0
2020-07-11,1309.0
2020-07-12,1333.0
2020-07-13,1336.0
2020-07-14,1368.0
2020-07-15,1388.0
2020-07-16,1417.0
2020-07-17,1449.0
2020-07-18,1466.0
2020-07-19,1474.0
2020-07-20,1475.0
2020-07-21,1494.0
