Data,SESPRSOA35013
2020-03-27,0.0
2020-03-28,3.0
2020-03-29,3.0
2020-03-30,3.0
2020-03-31,3.0
2020-04-01,5.0
2020-04-02,5.0
2020-04-03,6.0
2020-04-04,7.0
2020-04-05,9.0
2020-04-06,9.0
2020-04-07,10.0
2020-04-08,11.0
2020-04-09,13.0
2020-04-10,14.0
2020-04-11,15.0
2020-04-12,15.0
2020-04-13,15.0
2020-04-14,15.0
2020-04-15,15.0
2020-04-16,15.0
2020-04-17,18.0
2020-04-18,20.0
2020-04-19,20.0
2020-04-20,20.0
2020-04-21,23.0
2020-04-22,23.0
2020-04-23,35.0
2020-04-24,38.0
2020-04-25,44.0
2020-04-26,44.0
2020-04-27,50.0
2020-04-28,51.0
2020-04-29,62.0
2020-04-30,65.0
2020-05-01,67.0
2020-05-02,67.0
2020-05-03,68.0
2020-05-04,68.0
2020-05-05,74.0
2020-05-06,80.0
2020-05-07,83.0
2020-05-08,89.0
2020-05-09,93.0
2020-05-10,94.0
2020-05-11,94.0
2020-05-12,100.0
2020-05-13,107.0
2020-05-14,110.0
2020-05-15,120.0
2020-05-16,125.0
2020-05-17,126.0
2020-05-18,127.0
2020-05-19,134.0
2020-05-20,136.0
2020-05-21,139.0
2020-05-22,142.0
2020-05-23,149.0
2020-05-24,152.0
2020-05-25,153.0
2020-05-26,156.0
2020-05-27,177.0
2020-05-28,192.0
2020-05-29,198.0
2020-05-30,212.0
2020-05-31,213.0
2020-06-01,216.0
2020-06-02,228.0
2020-06-03,235.0
2020-06-04,244.0
2020-06-05,251.0
2020-06-06,254.0
2020-06-07,254.0
2020-06-08,256.0
2020-06-09,264.0
2020-06-10,280.0
2020-06-11,291.0
2020-06-12,299.0
2020-06-13,302.0
2020-06-14,312.0
2020-06-15,314.0
2020-06-16,323.0
2020-06-17,333.0
2020-06-18,342.0
2020-06-19,348.0
2020-06-20,361.0
2020-06-21,361.0
2020-06-22,361.0
2020-06-23,367.0
2020-06-24,378.0
2020-06-25,393.0
2020-06-26,400.0
2020-06-27,406.0
2020-06-28,406.0
2020-06-29,407.0
2020-06-30,418.0
2020-07-01,429.0
2020-07-02,442.0
2020-07-03,450.0
2020-07-04,455.0
2020-07-05,457.0
2020-07-06,459.0
2020-07-07,463.0
2020-07-08,473.0
2020-07-09,478.0
2020-07-10,482.0
2020-07-11,487.0
2020-07-12,488.0
2020-07-13,490.0
2020-07-14,497.0
2020-07-15,508.0
2020-07-16,519.0
2020-07-17,522.0
