Data,SESPRSCA35162
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,0.0
2020-04-01,0.0
2020-04-02,1.0
2020-04-03,1.0
2020-04-04,1.0
2020-04-05,1.0
2020-04-06,12.0
2020-04-07,1.0
2020-04-08,1.0
2020-04-09,2.0
2020-04-10,2.0
2020-04-11,2.0
2020-04-12,2.0
2020-04-13,2.0
2020-04-14,2.0
2020-04-15,3.0
2020-04-16,3.0
2020-04-17,3.0
2020-04-18,3.0
2020-04-19,3.0
2020-04-20,3.0
2020-04-21,3.0
2020-04-22,3.0
2020-04-23,3.0
2020-04-24,3.0
2020-04-25,3.0
2020-04-26,6.0
2020-04-27,6.0
2020-04-28,7.0
2020-04-29,14.0
2020-04-30,14.0
2020-05-01,16.0
2020-05-02,17.0
2020-05-03,17.0
2020-05-04,17.0
2020-05-05,17.0
2020-05-06,26.0
2020-05-07,26.0
2020-05-08,30.0
2020-05-09,30.0
2020-05-10,30.0
2020-05-11,30.0
2020-05-12,33.0
2020-05-13,41.0
2020-05-14,43.0
2020-05-15,48.0
2020-05-16,49.0
2020-05-17,48.0
2020-05-18,48.0
2020-05-19,51.0
2020-05-20,51.0
2020-05-21,51.0
2020-05-22,50.0
2020-05-23,53.0
2020-05-24,53.0
2020-05-25,55.0
2020-05-26,56.0
2020-05-27,58.0
2020-05-28,63.0
2020-05-29,69.0
2020-05-30,70.0
2020-05-31,74.0
2020-06-01,74.0
2020-06-02,78.0
2020-06-03,87.0
2020-06-04,90.0
2020-06-05,96.0
2020-06-06,99.0
2020-06-07,100.0
2020-06-08,100.0
2020-06-09,99.0
2020-06-10,102.0
2020-06-11,106.0
2020-06-12,107.0
2020-06-13,113.0
2020-06-14,115.0
2020-06-15,115.0
2020-06-16,116.0
2020-06-17,118.0
2020-06-18,119.0
2020-06-19,147.0
2020-06-20,157.0
2020-06-21,161.0
2020-06-22,161.0
2020-06-23,179.0
2020-06-24,197.0
2020-06-25,213.0
2020-06-26,226.0
2020-06-27,247.0
2020-06-28,251.0
2020-06-29,265.0
2020-06-30,276.0
2020-07-01,284.0
2020-07-02,301.0
2020-07-03,325.0
2020-07-04,326.0
