Data,OAEiS_An
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,0.0
2020-03-11,0.0
2020-03-12,0.0
2020-03-13,0.0
2020-03-14,0.0
2020-03-15,0.0
2020-03-16,0.0
2020-03-17,0.0
2020-03-18,0.0
2020-03-19,0.0
2020-03-20,0.0
2020-03-21,0.0
2020-03-22,0.0
2020-03-23,0.0
2020-03-24,0.0
2020-03-25,0.0
2020-03-26,0.0
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,0.0
2020-04-01,0.0
2020-04-02,1.0
2020-04-03,4.0
2020-04-04,5.0
2020-04-05,6.0
2020-04-06,6.0
2020-04-07,6.0
2020-04-08,6.0
2020-04-09,6.0
2020-04-10,7.0
2020-04-11,9.0
2020-04-12,9.0
2020-04-13,14.0
2020-04-14,17.0
2020-04-15,18.0
2020-04-16,22.0
2020-04-17,25.0
2020-04-18,28.0
2020-04-19,30.0
2020-04-20,33.0
2020-04-21,34.0
2020-04-22,34.0
2020-04-23,42.0
2020-04-24,42.0
2020-04-25,47.0
2020-04-26,51.0
2020-04-27,57.0
2020-04-28,64.0
2020-04-29,76.0
2020-04-30,83.0
2020-05-01,96.0
2020-05-02,102.0
2020-05-03,114.0
2020-05-04,122.0
2020-05-05,133.0
2020-05-06,145.0
2020-05-07,155.0
2020-05-08,165.0
2020-05-09,172.0
2020-05-10,181.0
2020-05-11,196.0
2020-05-12,212.0
2020-05-13,233.0
2020-05-14,249.0
2020-05-15,260.0
2020-05-16,271.0
2020-05-17,285.0
2020-05-18,302.0
2020-05-19,325.0
2020-05-20,341.0
2020-05-21,363.0
2020-05-22,397.0
2020-05-23,417.0
2020-05-24,446.0
2020-05-25,465.0
2020-05-26,487.0
2020-05-27,511.0
2020-05-28,538.0
2020-05-29,560.0
2020-05-30,583.0
2020-05-31,604.0
2020-06-01,614.0
2020-06-02,664.0
2020-06-03,698.0
2020-06-04,737.0
2020-06-05,780.0
2020-06-06,806.0
2020-06-07,832.0
2020-06-08,871.0
2020-06-09,904.0
2020-06-10,936.0
2020-06-11,962.0
2020-06-12,986.0
2020-06-13,1022.0
2020-06-14,1054.0
2020-06-15,1086.0
2020-06-16,1131.0
2020-06-17,1169.0
2020-06-18,1217.0
2020-06-19,1265.0
2020-06-20,1297.0
2020-06-21,1326.0
2020-06-22,1362.0
2020-06-23,1425.0
2020-06-24,1463.0
2020-06-25,1490.0
2020-06-26,1507.0
2020-06-27,1507.0
2020-06-28,1568.0
2020-06-29,1621.0
2020-06-30,1648.0
