Data,CNGiO_An
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,0.0
2020-03-11,0.0
2020-03-12,0.0
2020-03-13,3.0
2020-03-14,0.0
2020-03-15,0.0
2020-03-16,0.0
2020-03-17,3.0
2020-03-18,2.0
2020-03-19,4.0
2020-03-20,3.0
2020-03-21,5.0
2020-03-22,1.0
2020-03-23,2.0
2020-03-24,4.0
2020-03-25,2.0
2020-03-26,10.0
2020-03-27,10.0
2020-03-28,7.0
2020-03-29,2.0
2020-03-30,3.0
2020-03-31,4.0
2020-04-01,6.0
2020-04-02,2.0
2020-04-03,15.0
2020-04-04,15.0
2020-04-05,12.0
2020-04-06,4.0
2020-04-07,14.0
2020-04-08,25.0
2020-04-09,21.0
2020-04-10,12.0
2020-04-11,18.0
2020-04-12,20.0
2020-04-13,4.0
2020-04-14,51.0
2020-04-15,20.0
2020-04-16,14.0
2020-04-17,17.0
2020-04-18,43.0
2020-04-19,15.0
2020-04-20,10.0
2020-04-21,18.0
2020-04-22,17.0
2020-04-23,15.0
2020-04-24,33.0
2020-04-25,20.0
2020-04-26,67.0
2020-04-27,43.0
2020-04-28,45.0
2020-04-29,44.0
2020-04-30,76.0
2020-05-01,27.0
2020-05-02,17.0
2020-05-03,25.0
2020-05-04,11.0
2020-05-05,61.0
2020-05-06,102.0
2020-05-07,3.0
2020-05-08,26.0
2020-05-09,16.0
2020-05-10,24.0
2020-05-11,7.0
2020-05-12,15.0
2020-05-13,19.0
2020-05-14,289.0
2020-05-15,149.0
2020-05-16,68.0
2020-05-17,52.0
2020-05-18,57.0
2020-05-19,97.0
2020-05-20,132.0
2020-05-21,136.0
2020-05-22,190.0
2020-05-23,73.0
2020-05-24,66.0
2020-05-25,69.0
2020-05-26,159.0
2020-05-27,172.0
2020-05-28,247.0
2020-05-29,229.0
2020-05-30,266.0
2020-05-31,117.0
2020-06-01,204.0
2020-06-02,471.0
2020-06-03,193.0
2020-06-04,374.0
2020-06-05,429.0
2020-06-06,296.0
2020-06-07,144.0
2020-06-08,311.0
2020-06-09,397.0
2020-06-10,638.0
2020-06-11,498.0
2020-06-12,189.0
2020-06-13,94.0
2020-06-14,4.0
2020-06-15,2238.0
2020-06-16,1082.0
2020-06-17,972.0
2020-06-18,1068.0
2020-06-19,723.0
2020-06-20,853.0
2020-06-21,739.0
2020-06-22,917.0
2020-06-23,1032.0
2020-06-24,1054.0
2020-06-25,925.0
2020-06-26,1316.0
2020-06-27,757.0
2020-06-28,364.0
2020-06-29,1023.0
2020-06-30,1374.0
2020-07-01,1160.0
2020-07-02,722.0
2020-07-03,67.0
2020-07-04,2164.0
2020-07-05,32.0
2020-07-06,770.0
2020-07-07,2012.0
2020-07-08,1356.0
2020-07-09,1212.0
2020-07-10,1262.0
2020-07-11,655.0
2020-07-12,451.0
2020-07-13,452.0
2020-07-14,1136.0
2020-07-15,1063.0
2020-07-16,1306.0
2020-07-17,480.0
2020-07-18,114.0
2020-07-19,-26.0
2020-07-20,3.0
