Data,NECERSOA23016
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,0.0
2020-04-01,0.0
2020-04-02,0.0
2020-04-03,0.0
2020-04-04,0.0
2020-04-05,0.0
2020-04-06,0.0
2020-04-07,0.0
2020-04-08,0.0
2020-04-09,0.0
2020-04-10,0.0
2020-04-11,0.0
2020-04-12,0.0
2020-04-13,0.0
2020-04-14,0.0
2020-04-15,0.0
2020-04-16,0.0
2020-04-17,0.0
2020-04-18,0.0
2020-04-19,0.0
2020-04-20,0.0
2020-04-21,0.0
2020-04-22,0.0
2020-04-23,0.0
2020-04-24,0.0
2020-04-25,0.0
2020-04-26,0.0
2020-04-27,0.0
2020-04-28,0.0
2020-04-29,0.0
2020-04-30,0.0
2020-05-01,0.0
2020-05-02,0.0
2020-05-03,0.0
2020-05-04,0.0
2020-05-05,0.0
2020-05-06,0.0
2020-05-07,0.0
2020-05-08,0.0
2020-05-09,0.0
2020-05-10,0.0
2020-05-11,0.0
2020-05-12,0.0
2020-05-13,0.0
2020-05-14,0.0
2020-05-15,0.0
2020-05-16,6.0
2020-05-17,9.0
2020-05-18,10.0
2020-05-19,9.0
2020-05-20,9.0
2020-05-21,9.0
2020-05-22,9.0
2020-05-23,10.0
2020-05-24,10.0
2020-05-25,10.0
2020-05-26,10.0
2020-05-27,11.0
2020-05-28,12.0
2020-05-29,12.0
2020-05-30,13.0
2020-05-31,13.0
2020-06-01,16.0
2020-06-02,19.0
2020-06-03,19.0
2020-06-04,27.0
2020-06-05,27.0
2020-06-06,31.0
2020-06-07,33.0
2020-06-08,35.0
2020-06-09,39.0
2020-06-10,40.0
2020-06-11,45.0
2020-06-12,51.0
2020-06-13,51.0
2020-06-14,52.0
2020-06-15,53.0
2020-06-16,65.0
2020-06-17,71.0
2020-06-18,72.0
2020-06-19,76.0
2020-06-20,78.0
2020-06-21,78.0
2020-06-22,79.0
2020-06-23,82.0
2020-06-24,89.0
2020-06-25,92.0
2020-06-26,98.0
2020-06-27,100.0
2020-06-28,100.0
2020-06-29,102.0
2020-06-30,106.0
2020-07-01,107.0
2020-07-02,111.0
2020-07-03,114.0
2020-07-04,115.0
2020-07-05,115.0
2020-07-06,116.0
2020-07-07,120.0
2020-07-08,122.0
