Data,COMTRSCA51013
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,3.0
2020-03-30,3.0
2020-03-31,4.0
2020-04-01,4.0
2020-04-02,5.0
2020-04-03,6.0
2020-04-04,6.0
2020-04-05,6.0
2020-04-06,7.0
2020-04-07,8.0
2020-04-08,9.0
2020-04-09,13.0
2020-04-10,14.0
2020-04-11,19.0
2020-04-12,21.0
2020-04-13,24.0
2020-04-14,24.0
2020-04-15,28.0
2020-04-16,28.0
2020-04-17,29.0
2020-04-18,29.0
2020-04-19,29.0
2020-04-20,29.0
2020-04-21,29.0
2020-04-22,30.0
2020-04-23,44.0
2020-04-24,42.0
2020-04-25,43.0
2020-04-26,43.0
2020-04-27,45.0
2020-04-28,45.0
2020-04-29,62.0
2020-04-30,62.0
2020-05-01,65.0
2020-05-02,66.0
2020-05-03,68.0
2020-05-04,69.0
2020-05-05,71.0
2020-05-06,72.0
2020-05-07,74.0
2020-05-08,79.0
2020-05-09,83.0
2020-05-10,83.0
2020-05-11,85.0
2020-05-12,96.0
2020-05-13,101.0
2020-05-14,103.0
2020-05-15,121.0
2020-05-16,137.0
2020-05-17,153.0
2020-05-18,158.0
2020-05-19,171.0
2020-05-20,178.0
2020-05-21,188.0
2020-05-22,196.0
2020-05-23,225.0
2020-05-24,240.0
2020-05-25,240.0
2020-05-26,270.0
2020-05-27,321.0
2020-05-28,321.0
2020-05-29,344.0
2020-05-30,399.0
2020-05-31,406.0
2020-06-01,430.0
2020-06-02,447.0
2020-06-03,491.0
2020-06-04,545.0
2020-06-05,590.0
2020-06-06,624.0
2020-06-07,686.0
2020-06-08,694.0
2020-06-09,773.0
2020-06-10,812.0
2020-06-11,897.0
2020-06-12,929.0
2020-06-13,972.0
2020-06-14,1072.0
2020-06-15,1102.0
2020-06-16,1122.0
2020-06-17,1298.0
