Data,NERNRSCA24006
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,1.0
2020-03-31,1.0
2020-04-01,1.0
2020-04-02,1.0
2020-04-03,1.0
2020-04-04,1.0
2020-04-05,2.0
2020-04-06,2.0
2020-04-07,2.0
2020-04-08,2.0
2020-04-09,2.0
2020-04-10,2.0
2020-04-11,3.0
2020-04-12,3.0
2020-04-13,4.0
2020-04-14,5.0
2020-04-15,6.0
2020-04-16,6.0
2020-04-17,6.0
2020-04-18,8.0
2020-04-19,8.0
2020-04-20,10.0
2020-04-21,10.0
2020-04-22,12.0
2020-04-23,13.0
2020-04-24,13.0
2020-04-25,14.0
2020-04-26,14.0
2020-04-27,14.0
2020-04-28,14.0
2020-04-29,28.0
2020-04-30,30.0
2020-05-01,37.0
2020-05-02,41.0
2020-05-03,42.0
2020-05-04,42.0
2020-05-05,43.0
2020-05-06,46.0
2020-05-07,48.0
2020-05-08,51.0
2020-05-09,52.0
2020-05-10,52.0
2020-05-11,55.0
2020-05-12,58.0
2020-05-13,76.0
2020-05-14,80.0
2020-05-15,84.0
2020-05-16,90.0
2020-05-17,90.0
2020-05-18,90.0
2020-05-19,99.0
2020-05-20,101.0
2020-05-21,103.0
2020-05-22,106.0
2020-05-23,111.0
2020-05-24,111.0
2020-05-25,115.0
2020-05-26,122.0
2020-05-27,128.0
2020-05-28,128.0
2020-05-29,142.0
2020-05-30,147.0
2020-05-31,147.0
2020-06-01,151.0
2020-06-02,153.0
2020-06-03,166.0
2020-06-04,167.0
2020-06-05,167.0
2020-06-06,168.0
2020-06-07,167.0
2020-06-08,194.0
2020-06-09,196.0
2020-06-10,199.0
2020-06-11,218.0
2020-06-12,222.0
2020-06-13,221.0
2020-06-14,223.0
2020-06-15,223.0
2020-06-16,235.0
2020-06-17,235.0
2020-06-18,240.0
2020-06-19,241.0
2020-06-20,279.0
2020-06-21,282.0
