Data,OAAiL_An
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,0
2020-03-27,0
2020-03-28,0
2020-03-29,0
2020-03-30,0
2020-03-31,1
2020-04-01,1
2020-04-02,1
2020-04-03,2
2020-04-04,2
2020-04-05,2
2020-04-06,2
2020-04-07,2
2020-04-08,2
2020-04-09,3
2020-04-10,3
2020-04-11,3
2020-04-12,3
2020-04-13,3
2020-04-14,4
2020-04-15,5
2020-04-16,5
2020-04-17,7
2020-04-18,7
2020-04-19,15
2020-04-20,18
2020-04-21,19
2020-04-22,20
2020-04-23,22
2020-04-24,27
2020-04-25,29
2020-04-26,32
2020-04-27,34
2020-04-28,36
2020-04-29,41
2020-04-30,47
2020-05-01,53
2020-05-02,58
2020-05-03,64
2020-05-04,72
2020-05-05,80
2020-05-06,89
2020-05-07,98
2020-05-08,108
2020-05-09,114
2020-05-10,126
2020-05-11,138
2020-05-12,150
2020-05-13,164
2020-05-14,177
2020-05-15,187
2020-05-16,199
2020-05-17,210
2020-05-18,221
2020-05-19,231
2020-05-20,251
2020-05-21,262
2020-05-22,280
2020-05-23,301
2020-05-24,316
2020-05-25,337
2020-05-26,354
2020-05-27,368
2020-05-28,385
2020-05-29,406
2020-05-30,424
2020-05-31,443
2020-06-01,461
