Data,ONSiC_An
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,0.0
2020-03-11,0.0
2020-03-12,0.0
2020-03-13,0.0
2020-03-14,0.0
2020-03-15,0.0
2020-03-16,0.0
2020-03-17,0.0
2020-03-18,0.0
2020-03-19,0.0
2020-03-20,0.0
2020-03-21,0.0
2020-03-22,0.0
2020-03-23,0.0
2020-03-24,0.0
2020-03-25,0.0
2020-03-26,1.0
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,1.0
2020-04-01,0.0
2020-04-02,0.0
2020-04-03,3.0
2020-04-04,0.0
2020-04-05,5.0
2020-04-06,0.0
2020-04-07,1.0
2020-04-08,4.0
2020-04-09,2.0
2020-04-10,1.0
2020-04-11,3.0
2020-04-12,3.0
2020-04-13,0.0
2020-04-14,2.0
2020-04-15,2.0
2020-04-16,1.0
2020-04-17,1.0
2020-04-18,1.0
2020-04-19,1.0
2020-04-20,3.0
2020-04-21,0.0
2020-04-22,2.0
2020-04-23,2.0
2020-04-24,3.0
2020-04-25,0.0
2020-04-26,0.0
2020-04-27,1.0
2020-04-28,1.0
2020-04-29,0.0
2020-04-30,2.0
2020-05-01,2.0
2020-05-02,4.0
2020-05-03,0.0
2020-05-04,0.0
2020-05-05,3.0
2020-05-06,4.0
2020-05-07,4.0
2020-05-08,0.0
2020-05-09,1.0
2020-05-10,1.0
2020-05-11,4.0
2020-05-12,4.0
2020-05-13,0.0
2020-05-14,5.0
2020-05-15,1.0
2020-05-16,2.0
2020-05-17,2.0
2020-05-18,2.0
2020-05-19,6.0
2020-05-20,3.0
2020-05-21,4.0
2020-05-22,2.0
2020-05-23,3.0
2020-05-24,2.0
2020-05-25,4.0
2020-05-26,12.0
2020-05-27,5.0
2020-05-28,5.0
2020-05-29,3.0
2020-05-30,2.0
2020-05-31,7.0
2020-06-01,3.0
2020-06-02,2.0
2020-06-03,4.0
2020-06-04,4.0
2020-06-05,3.0
2020-06-06,7.0
2020-06-07,5.0
2020-06-08,0.0
2020-06-09,8.0
2020-06-10,5.0
2020-06-11,2.0
2020-06-12,5.0
2020-06-13,2.0
2020-06-14,2.0
2020-06-15,4.0
2020-06-16,13.0
2020-06-17,4.0
2020-06-18,6.0
2020-06-19,12.0
2020-06-20,3.0
2020-06-21,9.0
2020-06-22,10.0
2020-06-23,7.0
2020-06-24,16.0
2020-06-25,10.0
2020-06-26,9.0
2020-06-27,6.0
2020-06-28,8.0
2020-06-29,12.0
2020-06-30,17.0
2020-07-01,6.0
2020-07-02,15.0
2020-07-03,14.0
2020-07-04,7.0
2020-07-05,10.0
2020-07-06,13.0
2020-07-07,13.0
2020-07-08,13.0
2020-07-09,15.0
2020-07-10,12.0
2020-07-11,26.0
2020-07-12,12.0
2020-07-13,20.0
2020-07-14,17.0
2020-07-15,35.0
2020-07-16,19.0
2020-07-17,58.0
