Data,COGORSCA52001
2020-03-27,0.0
2020-03-28,33.0
2020-03-29,35.0
2020-03-30,35.0
2020-03-31,39.0
2020-04-01,44.0
2020-04-02,44.0
2020-04-03,53.0
2020-04-04,68.0
2020-04-05,76.0
2020-04-06,76.0
2020-04-07,79.0
2020-04-08,90.0
2020-04-09,107.0
2020-04-10,114.0
2020-04-11,120.0
2020-04-12,133.0
2020-04-13,137.0
2020-04-14,169.0
2020-04-15,186.0
2020-04-16,192.0
2020-04-17,198.0
2020-04-18,236.0
2020-04-19,242.0
2020-04-20,241.0
2020-04-21,253.0
2020-04-22,268.0
2020-04-23,270.0
2020-04-24,283.0
2020-04-25,289.0
2020-04-26,350.0
2020-04-27,384.0
2020-04-28,415.0
2020-04-29,427.0
2020-04-30,479.0
2020-05-01,483.0
2020-05-02,493.0
2020-05-03,514.0
2020-05-04,523.0
2020-05-05,572.0
2020-05-06,582.0
2020-05-07,586.0
2020-05-08,593.0
2020-05-09,604.0
2020-05-10,618.0
2020-05-11,622.0
2020-05-12,630.0
2020-05-13,634.0
2020-05-14,802.0
2020-05-15,901.0
2020-05-16,937.0
2020-05-17,970.0
2020-05-18,997.0
2020-05-19,1021.0
2020-05-20,1076.0
2020-05-21,1108.0
2020-05-22,1214.0
2020-05-23,1237.0
2020-05-24,1257.0
2020-05-25,1283.0
2020-05-26,1385.0
2020-05-27,1470.0
2020-05-28,1556.0
2020-05-29,1591.0
2020-05-30,1668.0
2020-05-31,1755.0
2020-06-01,1824.0
2020-06-02,1911.0
2020-06-03,1944.0
2020-06-04,2097.0
2020-06-05,2275.0
2020-06-06,2428.0
2020-06-07,2470.0
2020-06-08,2548.0
2020-06-09,2600.0
2020-06-10,2889.0
2020-06-11,3003.0
2020-06-12,3018.0
2020-06-13,3048.0
2020-06-14,3049.0
2020-06-15,3434.0
2020-06-16,3932.0
2020-06-17,4342.0
2020-06-18,4736.0
2020-06-19,4973.0
2020-06-20,5080.0
2020-06-21,5117.0
2020-06-22,5523.0
2020-06-23,5729.0
2020-06-24,6050.0
2020-06-25,6308.0
2020-06-26,6650.0
2020-06-27,6737.0
2020-06-28,6753.0
2020-06-29,7184.0
2020-06-30,7644.0
2020-07-01,7772.0
2020-07-02,7897.0
2020-07-03,7933.0
2020-07-04,8730.0
2020-07-05,8729.0
2020-07-06,9022.0
2020-07-07,9627.0
2020-07-08,10027.0
2020-07-09,10208.0
2020-07-10,10423.0
2020-07-11,10524.0
2020-07-12,10450.0
2020-07-13,10560.0
2020-07-14,10864.0
2020-07-15,11068.0
