Data,SEESRSOA32004
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,0.0
2020-04-01,0.0
2020-04-02,0.0
2020-04-03,0.0
2020-04-04,0.0
2020-04-05,0.0
2020-04-06,0.0
2020-04-07,0.0
2020-04-08,0.0
2020-04-09,0.0
2020-04-10,0.0
2020-04-11,0.0
2020-04-12,0.0
2020-04-13,0.0
2020-04-14,0.0
2020-04-15,0.0
2020-04-16,0.0
2020-04-17,0.0
2020-04-18,0.0
2020-04-19,1.0
2020-04-20,1.0
2020-04-21,1.0
2020-04-22,1.0
2020-04-23,1.0
2020-04-24,1.0
2020-04-25,1.0
2020-04-26,1.0
2020-04-27,1.0
2020-04-28,1.0
2020-04-29,1.0
2020-04-30,1.0
2020-05-01,2.0
2020-05-02,2.0
2020-05-03,2.0
2020-05-04,2.0
2020-05-05,4.0
2020-05-06,6.0
2020-05-07,6.0
2020-05-08,6.0
2020-05-09,6.0
2020-05-10,7.0
2020-05-11,7.0
2020-05-12,8.0
2020-05-13,9.0
2020-05-14,9.0
2020-05-15,12.0
2020-05-16,16.0
2020-05-17,18.0
2020-05-18,19.0
2020-05-19,20.0
2020-05-20,21.0
2020-05-21,23.0
2020-05-22,25.0
2020-05-23,26.0
2020-05-24,30.0
2020-05-25,33.0
2020-05-26,35.0
2020-05-27,35.0
2020-05-28,41.0
2020-05-29,44.0
2020-05-30,46.0
2020-05-31,49.0
2020-06-01,49.0
2020-06-02,53.0
2020-06-03,56.0
2020-06-04,63.0
2020-06-05,67.0
2020-06-06,69.0
2020-06-07,74.0
2020-06-08,78.0
2020-06-09,82.0
2020-06-10,84.0
2020-06-11,91.0
2020-06-12,95.0
2020-06-13,100.0
2020-06-14,105.0
2020-06-15,112.0
2020-06-16,114.0
2020-06-17,116.0
2020-06-18,121.0
2020-06-19,133.0
2020-06-20,140.0
2020-06-21,149.0
