Data,NECERSCA23011
2020-03-27,0.0
2020-03-28,4.0
2020-03-29,5.0
2020-03-30,5.0
2020-03-31,6.0
2020-04-01,6.0
2020-04-02,6.0
2020-04-03,6.0
2020-04-04,6.0
2020-04-05,8.0
2020-04-06,13.0
2020-04-07,13.0
2020-04-08,17.0
2020-04-09,17.0
2020-04-10,18.0
2020-04-11,19.0
2020-04-12,18.0
2020-04-13,21.0
2020-04-14,21.0
2020-04-15,27.0
2020-04-16,30.0
2020-04-17,31.0
2020-04-18,36.0
2020-04-19,43.0
2020-04-20,44.0
2020-04-21,49.0
2020-04-22,90.0
2020-04-23,101.0
2020-04-24,133.0
2020-04-25,125.0
2020-04-26,133.0
2020-04-27,159.0
2020-04-28,159.0
2020-04-29,193.0
2020-04-30,197.0
2020-05-01,219.0
2020-05-02,219.0
2020-05-03,222.0
2020-05-04,276.0
2020-05-05,298.0
2020-05-06,304.0
2020-05-07,455.0
2020-05-08,538.0
2020-05-09,550.0
2020-05-10,566.0
2020-05-11,654.0
2020-05-12,686.0
2020-05-13,688.0
2020-05-14,842.0
2020-05-15,990.0
2020-05-16,1011.0
2020-05-17,1052.0
2020-05-18,1382.0
2020-05-19,1474.0
2020-05-20,1566.0
2020-05-21,1576.0
2020-05-22,2052.0
2020-05-23,2075.0
2020-05-24,2136.0
2020-05-25,2153.0
2020-05-26,2157.0
2020-05-27,2166.0
2020-05-28,2191.0
2020-05-29,2204.0
2020-05-30,3761.0
2020-05-31,3786.0
2020-06-01,3965.0
2020-06-02,4207.0
2020-06-03,4481.0
2020-06-04,4880.0
2020-06-05,5055.0
2020-06-06,5319.0
2020-06-07,5352.0
2020-06-08,5441.0
2020-06-09,5728.0
2020-06-10,6141.0
2020-06-11,6409.0
2020-06-12,6577.0
2020-06-13,6732.0
2020-06-14,6738.0
2020-06-15,7199.0
2020-06-16,7479.0
2020-06-17,7987.0
2020-06-18,8430.0
