Data,SESPRSCA35151
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,0.0
2020-04-01,0.0
2020-04-02,0.0
2020-04-03,0.0
2020-04-04,0.0
2020-04-05,0.0
2020-04-06,0.0
2020-04-07,1.0
2020-04-08,2.0
2020-04-09,2.0
2020-04-10,4.0
2020-04-11,4.0
2020-04-12,7.0
2020-04-13,7.0
2020-04-14,7.0
2020-04-15,7.0
2020-04-16,9.0
2020-04-17,9.0
2020-04-18,11.0
2020-04-19,11.0
2020-04-20,11.0
2020-04-21,11.0
2020-04-22,11.0
2020-04-23,12.0
2020-04-24,11.0
2020-04-25,15.0
2020-04-26,15.0
2020-04-27,17.0
2020-04-28,20.0
2020-04-29,20.0
2020-04-30,27.0
2020-05-01,32.0
2020-05-02,32.0
2020-05-03,35.0
2020-05-04,35.0
2020-05-05,37.0
2020-05-06,47.0
2020-05-07,49.0
2020-05-08,51.0
2020-05-09,51.0
2020-05-10,56.0
2020-05-11,59.0
2020-05-12,63.0
2020-05-13,81.0
2020-05-14,94.0
2020-05-15,105.0
2020-05-16,111.0
2020-05-17,112.0
2020-05-18,116.0
2020-05-19,123.0
2020-05-20,133.0
2020-05-21,141.0
2020-05-22,149.0
2020-05-23,149.0
2020-05-24,156.0
2020-05-25,158.0
2020-05-26,162.0
2020-05-27,168.0
2020-05-28,177.0
2020-05-29,185.0
2020-05-30,190.0
2020-05-31,192.0
2020-06-01,193.0
2020-06-02,216.0
2020-06-03,222.0
2020-06-04,236.0
2020-06-05,255.0
2020-06-06,269.0
2020-06-07,289.0
2020-06-08,308.0
2020-06-09,333.0
2020-06-10,351.0
2020-06-11,389.0
2020-06-12,418.0
2020-06-13,438.0
2020-06-14,441.0
2020-06-15,441.0
2020-06-16,497.0
2020-06-17,499.0
2020-06-18,507.0
2020-06-19,620.0
2020-06-20,663.0
2020-06-21,699.0
2020-06-22,725.0
2020-06-23,738.0
2020-06-24,773.0
