Data,SESPRSCA35112
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,0.0
2020-04-01,0.0
2020-04-02,0.0
2020-04-03,0.0
2020-04-04,0.0
2020-04-05,0.0
2020-04-06,0.0
2020-04-07,0.0
2020-04-08,1.0
2020-04-09,3.0
2020-04-10,3.0
2020-04-11,5.0
2020-04-12,5.0
2020-04-13,5.0
2020-04-14,5.0
2020-04-15,5.0
2020-04-16,5.0
2020-04-17,7.0
2020-04-18,9.0
2020-04-19,9.0
2020-04-20,9.0
2020-04-21,11.0
2020-04-22,11.0
2020-04-23,11.0
2020-04-24,17.0
2020-04-25,17.0
2020-04-26,17.0
2020-04-27,19.0
2020-04-28,24.0
2020-04-29,26.0
2020-04-30,28.0
2020-05-01,33.0
2020-05-02,33.0
2020-05-03,33.0
2020-05-04,34.0
2020-05-05,34.0
2020-05-06,46.0
2020-05-07,56.0
2020-05-08,56.0
2020-05-09,66.0
2020-05-10,81.0
2020-05-11,82.0
2020-05-12,88.0
2020-05-13,95.0
2020-05-14,102.0
2020-05-15,126.0
2020-05-16,129.0
2020-05-17,131.0
2020-05-18,131.0
2020-05-19,146.0
2020-05-20,150.0
2020-05-21,153.0
2020-05-22,162.0
2020-05-23,173.0
2020-05-24,175.0
2020-05-25,175.0
2020-05-26,176.0
2020-05-27,182.0
2020-05-28,206.0
2020-05-29,207.0
2020-05-30,213.0
2020-05-31,213.0
2020-06-01,213.0
2020-06-02,233.0
2020-06-03,253.0
2020-06-04,263.0
2020-06-05,275.0
2020-06-06,287.0
2020-06-07,291.0
2020-06-08,291.0
2020-06-09,310.0
2020-06-10,332.0
2020-06-11,346.0
2020-06-12,350.0
2020-06-13,367.0
2020-06-14,376.0
2020-06-15,381.0
2020-06-16,407.0
2020-06-17,412.0
2020-06-18,416.0
2020-06-19,471.0
2020-06-20,505.0
2020-06-21,531.0
2020-06-22,538.0
2020-06-23,582.0
2020-06-24,626.0
2020-06-25,659.0
2020-06-26,685.0
2020-06-27,733.0
2020-06-28,895.0
2020-06-29,915.0
2020-06-30,933.0
2020-07-01,992.0
2020-07-02,1052.0
2020-07-03,1081.0
2020-07-04,1105.0
2020-07-05,1146.0
2020-07-06,1162.0
2020-07-07,1236.0
2020-07-08,1315.0
2020-07-09,1363.0
2020-07-10,1416.0
2020-07-11,1480.0
2020-07-12,1511.0
2020-07-13,1516.0
2020-07-14,1568.0
2020-07-15,1609.0
2020-07-16,1670.0
2020-07-17,1730.0
2020-07-18,1754.0
2020-07-19,1763.0
2020-07-20,1770.0
2020-07-21,1832.0
2020-07-22,1956.0
2020-07-23,2055.0
2020-07-24,2110.0
2020-07-25,2272.0
2020-07-26,2289.0
2020-07-27,2301.0
2020-07-28,2301.0
2020-07-29,2460.0
2020-07-30,2535.0
2020-07-31,2596.0
2020-08-01,2685.0
2020-08-02,2791.0
2020-08-03,2805.0
2020-08-04,2924.0
2020-08-05,2987.0
2020-08-06,3055.0
2020-08-07,3094.0
2020-08-08,3239.0
2020-08-09,3326.0
2020-08-10,3334.0
2020-08-11,3390.0
2020-08-12,3523.0
2020-08-13,3638.0
2020-08-14,3715.0
2020-08-15,3844.0
2020-08-16,3853.0
2020-08-17,3922.0
2020-08-18,3960.0
2020-08-19,4030.0
