Data,NEPIRSOA22011
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,0.0
2020-04-01,0.0
2020-04-02,0.0
2020-04-03,0.0
2020-04-04,0.0
2020-04-05,0.0
2020-04-06,0.0
2020-04-07,0.0
2020-04-08,0.0
2020-04-09,0.0
2020-04-10,0.0
2020-04-11,0.0
2020-04-12,0.0
2020-04-13,0.0
2020-04-14,0.0
2020-04-15,0.0
2020-04-16,0.0
2020-04-17,0.0
2020-04-18,0.0
2020-04-19,0.0
2020-04-20,0.0
2020-04-21,0.0
2020-04-22,0.0
2020-04-23,0.0
2020-04-24,0.0
2020-04-25,0.0
2020-04-26,1.0
2020-04-27,2.0
2020-04-28,3.0
2020-04-29,3.0
2020-04-30,3.0
2020-05-01,3.0
2020-05-02,3.0
2020-05-03,3.0
2020-05-04,3.0
2020-05-05,3.0
2020-05-06,3.0
2020-05-07,3.0
2020-05-08,3.0
2020-05-09,3.0
2020-05-10,3.0
2020-05-11,3.0
2020-05-12,4.0
2020-05-13,4.0
2020-05-14,6.0
2020-05-15,6.0
2020-05-16,6.0
2020-05-17,6.0
2020-05-18,6.0
2020-05-19,7.0
2020-05-20,7.0
2020-05-21,7.0
2020-05-22,7.0
2020-05-23,7.0
2020-05-24,8.0
2020-05-25,9.0
2020-05-26,9.0
2020-05-27,9.0
2020-05-28,9.0
2020-05-29,9.0
2020-05-30,9.0
2020-05-31,9.0
2020-06-01,10.0
2020-06-02,10.0
2020-06-03,10.0
2020-06-04,10.0
2020-06-05,10.0
2020-06-06,10.0
2020-06-07,11.0
2020-06-08,11.0
2020-06-09,12.0
2020-06-10,12.0
2020-06-11,12.0
2020-06-12,12.0
2020-06-13,12.0
2020-06-14,12.0
2020-06-15,12.0
2020-06-16,13.0
2020-06-17,13.0
2020-06-18,14.0
