Data,NECERSOA23022
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,0.0
2020-04-01,0.0
2020-04-02,0.0
2020-04-03,0.0
2020-04-04,0.0
2020-04-05,0.0
2020-04-06,0.0
2020-04-07,0.0
2020-04-08,0.0
2020-04-09,0.0
2020-04-10,1.0
2020-04-11,1.0
2020-04-12,1.0
2020-04-13,1.0
2020-04-14,1.0
2020-04-15,1.0
2020-04-16,2.0
2020-04-17,1.0
2020-04-18,2.0
2020-04-19,3.0
2020-04-20,3.0
2020-04-21,3.0
2020-04-22,3.0
2020-04-23,4.0
2020-04-24,4.0
2020-04-25,4.0
2020-04-26,5.0
2020-04-27,5.0
2020-04-28,5.0
2020-04-29,7.0
2020-04-30,7.0
2020-05-01,8.0
2020-05-02,11.0
2020-05-03,12.0
2020-05-04,12.0
2020-05-05,16.0
2020-05-06,16.0
2020-05-07,17.0
2020-05-08,18.0
2020-05-09,19.0
2020-05-10,19.0
2020-05-11,21.0
2020-05-12,21.0
2020-05-13,25.0
2020-05-14,28.0
2020-05-15,29.0
2020-05-16,29.0
2020-05-17,29.0
2020-05-18,31.0
2020-05-19,33.0
2020-05-20,35.0
2020-05-21,40.0
2020-05-22,42.0
2020-05-23,51.0
2020-05-24,54.0
2020-05-25,59.0
2020-05-26,64.0
2020-05-27,64.0
2020-05-28,67.0
2020-05-29,67.0
2020-05-30,69.0
2020-05-31,71.0
2020-06-01,74.0
2020-06-02,82.0
2020-06-03,87.0
2020-06-04,101.0
2020-06-05,105.0
2020-06-06,108.0
2020-06-07,110.0
2020-06-08,112.0
2020-06-09,121.0
2020-06-10,128.0
2020-06-11,132.0
2020-06-12,136.0
2020-06-13,140.0
2020-06-14,139.0
2020-06-15,156.0
2020-06-16,157.0
2020-06-17,162.0
2020-06-18,177.0
2020-06-19,184.0
2020-06-20,192.0
2020-06-21,193.0
2020-06-22,197.0
2020-06-23,197.0
2020-06-24,201.0
2020-06-25,204.0
2020-06-26,208.0
2020-06-27,210.0
2020-06-28,211.0
2020-06-29,213.0
2020-06-30,214.0
2020-07-01,215.0
2020-07-02,220.0
2020-07-03,223.0
2020-07-04,227.0
2020-07-05,227.0
2020-07-06,227.0
2020-07-07,228.0
2020-07-08,241.0
2020-07-09,246.0
2020-07-10,246.0
2020-07-11,247.0
2020-07-12,247.0
2020-07-13,250.0
2020-07-14,253.0
2020-07-15,254.0
2020-07-16,258.0
2020-07-17,257.0
2020-07-18,258.0
2020-07-19,258.0
2020-07-20,258.0
2020-07-21,259.0
2020-07-22,261.0
