Data,COGORSCA52004
2020-03-27,0.0
2020-03-28,4.0
2020-03-29,4.0
2020-03-30,4.0
2020-03-31,5.0
2020-04-01,8.0
2020-04-02,7.0
2020-04-03,8.0
2020-04-04,8.0
2020-04-05,8.0
2020-04-06,14.0
2020-04-07,15.0
2020-04-08,15.0
2020-04-09,15.0
2020-04-10,16.0
2020-04-11,18.0
2020-04-12,18.0
2020-04-13,18.0
2020-04-14,18.0
2020-04-15,19.0
2020-04-16,19.0
2020-04-17,19.0
2020-04-18,19.0
2020-04-19,22.0
2020-04-20,22.0
2020-04-21,26.0
2020-04-22,26.0
2020-04-23,30.0
2020-04-24,30.0
2020-04-25,33.0
2020-04-26,35.0
2020-04-27,37.0
2020-04-28,41.0
2020-04-29,50.0
2020-04-30,53.0
2020-05-01,53.0
2020-05-02,56.0
2020-05-03,58.0
2020-05-04,58.0
2020-05-05,61.0
2020-05-06,74.0
2020-05-07,79.0
2020-05-08,86.0
2020-05-09,95.0
2020-05-10,98.0
2020-05-11,99.0
2020-05-12,106.0
2020-05-13,113.0
2020-05-14,132.0
2020-05-15,144.0
2020-05-16,158.0
2020-05-17,165.0
2020-05-18,176.0
2020-05-19,185.0
2020-05-20,196.0
2020-05-21,223.0
2020-05-22,240.0
2020-05-23,241.0
2020-05-24,250.0
2020-05-25,256.0
2020-05-26,269.0
2020-05-27,292.0
2020-05-28,317.0
2020-05-29,358.0
2020-05-30,486.0
2020-05-31,502.0
2020-06-01,525.0
2020-06-02,703.0
2020-06-03,751.0
2020-06-04,796.0
2020-06-05,874.0
2020-06-06,897.0
2020-06-07,933.0
2020-06-08,996.0
2020-06-09,1064.0
2020-06-10,1153.0
2020-06-11,1207.0
2020-06-12,1237.0
2020-06-13,1247.0
2020-06-14,1248.0
2020-06-15,1384.0
2020-06-16,1518.0
2020-06-17,1618.0
2020-06-18,1772.0
2020-06-19,1845.0
2020-06-20,1925.0
2020-06-21,1952.0
2020-06-22,2010.0
2020-06-23,2097.0
2020-06-24,2225.0
2020-06-25,2352.0
2020-06-26,2523.0
2020-06-27,2626.0
2020-06-28,2639.0
2020-06-29,2770.0
2020-06-30,2922.0
2020-07-01,3258.0
2020-07-02,3335.0
2020-07-03,3342.0
2020-07-04,3457.0
2020-07-05,3461.0
2020-07-06,3593.0
2020-07-07,3747.0
2020-07-08,3858.0
2020-07-09,4081.0
2020-07-10,4297.0
2020-07-11,4425.0
2020-07-12,4497.0
2020-07-13,4577.0
2020-07-14,4721.0
2020-07-15,4912.0
2020-07-16,5084.0
2020-07-17,5124.0
2020-07-18,5147.0
2020-07-19,5157.0
2020-07-20,5156.0
2020-07-21,5365.0
2020-07-22,5596.0
2020-07-23,5845.0
