Data,SURSRSOA43009
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,0.0
2020-04-01,0.0
2020-04-02,0.0
2020-04-03,0.0
2020-04-04,0.0
2020-04-05,0.0
2020-04-06,0.0
2020-04-07,0.0
2020-04-08,0.0
2020-04-09,0.0
2020-04-10,0.0
2020-04-11,0.0
2020-04-12,0.0
2020-04-13,0.0
2020-04-14,0.0
2020-04-15,0.0
2020-04-16,0.0
2020-04-17,0.0
2020-04-18,1.0
2020-04-19,0.0
2020-04-20,0.0
2020-04-21,0.0
2020-04-22,0.0
2020-04-23,0.0
2020-04-24,0.0
2020-04-25,0.0
2020-04-26,0.0
2020-04-27,0.0
2020-04-28,0.0
2020-04-29,0.0
2020-04-30,0.0
2020-05-01,0.0
2020-05-02,0.0
2020-05-03,0.0
2020-05-04,1.0
2020-05-05,1.0
2020-05-06,1.0
2020-05-07,1.0
2020-05-08,1.0
2020-05-09,2.0
2020-05-10,2.0
2020-05-11,2.0
2020-05-12,2.0
2020-05-13,2.0
2020-05-14,3.0
2020-05-15,3.0
2020-05-16,4.0
2020-05-17,4.0
2020-05-18,4.0
2020-05-19,4.0
2020-05-20,4.0
2020-05-21,4.0
2020-05-22,4.0
2020-05-23,4.0
2020-05-24,4.0
2020-05-25,4.0
2020-05-26,4.0
2020-05-27,4.0
2020-05-28,4.0
2020-05-29,4.0
2020-05-30,4.0
2020-05-31,4.0
2020-06-01,4.0
2020-06-02,5.0
2020-06-03,5.0
2020-06-04,5.0
2020-06-05,5.0
2020-06-06,5.0
2020-06-07,5.0
2020-06-08,5.0
2020-06-09,5.0
2020-06-10,5.0
2020-06-11,5.0
2020-06-12,7.0
2020-06-13,8.0
2020-06-14,8.0
2020-06-15,10.0
2020-06-16,10.0
2020-06-17,10.0
2020-06-18,11.0
2020-06-19,12.0
2020-06-20,12.0
2020-06-21,12.0
2020-06-22,14.0
2020-06-23,15.0
2020-06-24,19.0
2020-06-25,19.0
2020-06-26,20.0
2020-06-27,20.0
2020-06-28,20.0
2020-06-29,20.0
2020-06-30,22.0
2020-07-01,22.0
2020-07-02,22.0
2020-07-03,23.0
2020-07-04,25.0
2020-07-05,25.0
2020-07-06,25.0
2020-07-07,26.0
2020-07-08,28.0
2020-07-09,31.0
2020-07-10,34.0
2020-07-11,36.0
2020-07-12,36.0
2020-07-13,37.0
2020-07-14,39.0
2020-07-15,40.0
2020-07-16,41.0
2020-07-17,41.0
2020-07-18,44.0
2020-07-19,44.0
2020-07-20,45.0
2020-07-21,46.0
2020-07-22,49.0
2020-07-23,53.0
2020-07-24,54.0
2020-07-25,55.0
2020-07-26,57.0
2020-07-27,59.0
2020-07-28,60.0
2020-07-29,63.0
2020-07-30,66.0
2020-07-31,67.0
2020-08-01,73.0
2020-08-02,73.0
2020-08-03,75.0
2020-08-04,80.0
2020-08-05,83.0
2020-08-06,87.0
2020-08-07,88.0
2020-08-08,91.0
2020-08-09,91.0
2020-08-10,92.0
2020-08-11,93.0
2020-08-12,97.0
2020-08-13,97.0
2020-08-14,100.0
2020-08-15,100.0
2020-08-16,100.0
2020-08-17,101.0
2020-08-18,105.0
2020-08-19,106.0
