Data,NEPBRSOA25001
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,0.0
2020-04-01,0.0
2020-04-02,0.0
2020-04-03,0.0
2020-04-04,0.0
2020-04-05,2.0
2020-04-06,2.0
2020-04-07,2.0
2020-04-08,2.0
2020-04-09,5.0
2020-04-10,9.0
2020-04-11,9.0
2020-04-12,11.0
2020-04-13,11.0
2020-04-14,14.0
2020-04-15,18.0
2020-04-16,21.0
2020-04-17,21.0
2020-04-18,23.0
2020-04-19,24.0
2020-04-20,26.0
2020-04-21,27.0
2020-04-22,32.0
2020-04-23,33.0
2020-04-24,37.0
2020-04-25,39.0
2020-04-26,40.0
2020-04-27,41.0
2020-04-28,43.0
2020-04-29,48.0
2020-04-30,52.0
2020-05-01,56.0
2020-05-02,61.0
2020-05-03,63.0
2020-05-04,66.0
2020-05-05,70.0
2020-05-06,77.0
2020-05-07,83.0
2020-05-08,94.0
2020-05-09,100.0
2020-05-10,110.0
2020-05-11,112.0
2020-05-12,123.0
2020-05-13,126.0
2020-05-14,129.0
2020-05-15,135.0
2020-05-16,140.0
2020-05-17,146.0
2020-05-18,154.0
2020-05-19,162.0
2020-05-20,167.0
2020-05-21,179.0
2020-05-22,177.0
2020-05-23,183.0
2020-05-24,193.0
2020-05-25,198.0
2020-05-26,204.0
2020-05-27,209.0
2020-05-28,221.0
2020-05-29,228.0
2020-05-30,246.0
2020-05-31,253.0
2020-06-01,257.0
2020-06-02,261.0
2020-06-03,289.0
2020-06-04,296.0
2020-06-05,305.0
2020-06-06,317.0
2020-06-07,327.0
2020-06-08,346.0
2020-06-09,367.0
2020-06-10,376.0
2020-06-11,379.0
2020-06-12,399.0
2020-06-13,403.0
2020-06-14,406.0
2020-06-15,416.0
2020-06-16,425.0
2020-06-17,444.0
2020-06-18,450.0
2020-06-19,453.0
2020-06-20,458.0
2020-06-21,471.0
2020-06-22,479.0
2020-06-23,487.0
2020-06-24,498.0
2020-06-25,503.0
2020-06-26,514.0
2020-06-27,532.0
2020-06-28,539.0
2020-06-29,547.0
2020-06-30,574.0
2020-07-01,587.0
2020-07-02,616.0
2020-07-03,620.0
2020-07-04,623.0
2020-07-05,628.0
2020-07-06,640.0
2020-07-07,650.0
2020-07-08,664.0
2020-07-09,678.0
2020-07-10,702.0
2020-07-11,720.0
2020-07-12,733.0
2020-07-13,742.0
2020-07-14,756.0
2020-07-15,771.0
2020-07-16,785.0
2020-07-17,800.0
2020-07-18,819.0
2020-07-19,823.0
2020-07-20,837.0
2020-07-21,858.0
2020-07-22,870.0
2020-07-23,885.0
2020-07-24,906.0
2020-07-25,920.0
2020-07-26,931.0
2020-07-27,946.0
2020-07-28,956.0
2020-07-29,968.0
2020-07-30,981.0
2020-07-31,996.0
2020-08-01,1012.0
2020-08-02,1021.0
2020-08-03,1026.0
2020-08-04,1044.0
2020-08-05,1052.0
2020-08-06,1062.0
2020-08-07,1071.0
2020-08-08,1078.0
2020-08-09,1092.0
2020-08-10,1107.0
