Data,OAMiASioiLiii
2020-03-27,0
2020-03-28,0
2020-03-29,0
2020-03-30,1
2020-03-31,1
2020-04-01,1
2020-04-02,1
2020-04-03,1
2020-04-04,1
2020-04-05,2
2020-04-06,2
2020-04-07,4
2020-04-08,11
2020-04-09,12
2020-04-10,16
2020-04-11,21
2020-04-12,24
2020-04-13,27
2020-04-14,32
2020-04-15,34
2020-04-16,37
2020-04-17,40
2020-04-18,38
2020-04-19,40
2020-04-20,43
2020-04-21,47
2020-04-22,51
2020-04-23,61
2020-04-24,71
2020-04-25,81
2020-04-26,87
2020-04-27,98
2020-04-28,116
2020-04-29,136
2020-04-30,149
2020-05-01,165
2020-05-02,178
2020-05-03,186
2020-05-04,197
2020-05-05,213
2020-05-06,227
2020-05-07,238
2020-05-08,255
2020-05-09,271
2020-05-10,289
2020-05-11,303
2020-05-12,324
2020-05-13,332
2020-05-14,346
2020-05-15,363
2020-05-16,379
2020-05-17,394
2020-05-18,402
2020-05-19,414
2020-05-20,434
2020-05-21,448
2020-05-22,463
2020-05-23,475
2020-05-24,484
2020-05-25,490
2020-05-26,497
2020-05-27,509
2020-05-28,517
2020-05-29,519
2020-05-30,521
2020-05-31,524
2020-06-01,526
2020-06-02,528
2020-06-03,535
2020-06-04,538
2020-06-05,544
2020-06-06,549
2020-06-07,557
2020-06-08,577
2020-06-09,586
2020-06-10,588
2020-06-11,599
2020-06-12,608
2020-06-13,621
2020-06-14,629
2020-06-15,642
2020-06-16,654
2020-06-17,667
2020-06-18,680
2020-06-19,693
2020-06-20,705
2020-06-21,715
2020-06-22,724
2020-06-23,734
2020-06-24,745
