Data,NEPBRSCA25011
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,0.0
2020-04-01,0.0
2020-04-02,0.0
2020-04-03,0.0
2020-04-04,0.0
2020-04-05,0.0
2020-04-06,0.0
2020-04-07,0.0
2020-04-08,0.0
2020-04-09,0.0
2020-04-10,0.0
2020-04-11,0.0
2020-04-12,0.0
2020-04-13,0.0
2020-04-14,0.0
2020-04-15,0.0
2020-04-16,0.0
2020-04-17,0.0
2020-04-18,0.0
2020-04-19,0.0
2020-04-20,0.0
2020-04-21,0.0
2020-04-22,0.0
2020-04-23,0.0
2020-04-24,0.0
2020-04-25,0.0
2020-04-26,0.0
2020-04-27,0.0
2020-04-28,0.0
2020-04-29,0.0
2020-04-30,0.0
2020-05-01,1.0
2020-05-02,2.0
2020-05-03,4.0
2020-05-04,4.0
2020-05-05,5.0
2020-05-06,5.0
2020-05-07,5.0
2020-05-08,6.0
2020-05-09,6.0
2020-05-10,6.0
2020-05-11,6.0
2020-05-12,6.0
2020-05-13,6.0
2020-05-14,6.0
2020-05-15,7.0
2020-05-16,8.0
2020-05-17,8.0
2020-05-18,8.0
2020-05-19,10.0
2020-05-20,11.0
2020-05-21,13.0
2020-05-22,15.0
2020-05-23,19.0
2020-05-24,19.0
2020-05-25,19.0
2020-05-26,20.0
2020-05-27,28.0
2020-05-28,26.0
2020-05-29,31.0
2020-05-30,31.0
2020-05-31,31.0
2020-06-01,30.0
2020-06-02,35.0
2020-06-03,39.0
2020-06-04,41.0
2020-06-05,41.0
2020-06-06,46.0
2020-06-07,46.0
2020-06-08,46.0
2020-06-09,48.0
2020-06-10,53.0
2020-06-11,56.0
2020-06-12,57.0
2020-06-13,66.0
2020-06-14,67.0
2020-06-15,66.0
2020-06-16,80.0
2020-06-17,86.0
2020-06-18,86.0
2020-06-19,93.0
2020-06-20,101.0
2020-06-21,101.0
2020-06-22,101.0
2020-06-23,107.0
2020-06-24,109.0
2020-06-25,111.0
2020-06-26,118.0
2020-06-27,118.0
2020-06-28,121.0
2020-06-29,121.0
2020-06-30,123.0
2020-07-01,127.0
2020-07-02,130.0
