Data,OABiAJiaieiri
2020-03-27,0
2020-03-28,0
2020-03-29,0
2020-03-30,0
2020-03-31,0
2020-04-01,0
2020-04-02,0
2020-04-03,0
2020-04-04,0
2020-04-05,0
2020-04-06,0
2020-04-07,0
2020-04-08,0
2020-04-09,0
2020-04-10,0
2020-04-11,0
2020-04-12,0
2020-04-13,0
2020-04-14,0
2020-04-15,0
2020-04-16,0
2020-04-17,1
2020-04-18,1
2020-04-19,1
2020-04-20,1
2020-04-21,1
2020-04-22,1
2020-04-23,1
2020-04-24,1
2020-04-25,1
2020-04-26,1
2020-04-27,1
2020-04-28,1
2020-04-29,1
2020-04-30,1
2020-05-01,1
2020-05-02,1
2020-05-03,1
2020-05-04,1
2020-05-05,1
2020-05-06,1
2020-05-07,1
2020-05-08,1
2020-05-09,1
2020-05-10,1
2020-05-11,2
2020-05-12,2
2020-05-13,2
2020-05-14,2
2020-05-15,2
2020-05-16,2
2020-05-17,2
2020-05-18,2
2020-05-19,2
2020-05-20,2
2020-05-21,2
2020-05-22,2
2020-05-23,3
2020-05-24,3
2020-05-25,3
2020-05-26,3
2020-05-27,3
2020-05-28,3
2020-05-29,4
2020-05-30,4
2020-05-31,5
2020-06-01,5
2020-06-02,5
2020-06-03,5
2020-06-04,6
2020-06-05,6
2020-06-06,6
2020-06-07,6
2020-06-08,6
2020-06-09,6
2020-06-10,6
2020-06-11,6
2020-06-12,6
2020-06-13,6
2020-06-14,7
2020-06-15,8
2020-06-16,8
2020-06-17,8
2020-06-18,8
2020-06-19,9
2020-06-20,9
2020-06-21,10
2020-06-22,12
2020-06-23,12
2020-06-24,15
2020-06-25,15
2020-06-26,15
2020-06-27,18
2020-06-28,19
2020-06-29,19
2020-06-30,19
2020-07-01,21
2020-07-02,23
2020-07-03,24
2020-07-04,24
2020-07-05,24
2020-07-06,24
2020-07-07,26
2020-07-08,29
2020-07-09,31
2020-07-10,33
2020-07-11,33
2020-07-12,33
2020-07-13,33
2020-07-14,35
2020-07-15,39
2020-07-16,40
2020-07-17,41
