Data,NEPERSCA26004
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,0.0
2020-04-01,0.0
2020-04-02,0.0
2020-04-03,0.0
2020-04-04,0.0
2020-04-05,0.0
2020-04-06,0.0
2020-04-07,0.0
2020-04-08,0.0
2020-04-09,2.0
2020-04-10,3.0
2020-04-11,4.0
2020-04-12,4.0
2020-04-13,4.0
2020-04-14,4.0
2020-04-15,6.0
2020-04-16,6.0
2020-04-17,9.0
2020-04-18,9.0
2020-04-19,12.0
2020-04-20,12.0
2020-04-21,12.0
2020-04-22,15.0
2020-04-23,15.0
2020-04-24,14.0
2020-04-25,15.0
2020-04-26,19.0
2020-04-27,19.0
2020-04-28,20.0
2020-04-29,20.0
2020-04-30,26.0
2020-05-01,31.0
2020-05-02,38.0
2020-05-03,38.0
2020-05-04,39.0
2020-05-05,40.0
2020-05-06,42.0
2020-05-07,51.0
2020-05-08,56.0
2020-05-09,63.0
2020-05-10,82.0
2020-05-11,93.0
2020-05-12,97.0
2020-05-13,104.0
2020-05-14,108.0
2020-05-15,110.0
2020-05-16,174.0
2020-05-17,191.0
2020-05-18,196.0
2020-05-19,234.0
2020-05-20,273.0
2020-05-21,330.0
2020-05-22,368.0
2020-05-23,394.0
2020-05-24,415.0
2020-05-25,422.0
2020-05-26,425.0
2020-05-27,477.0
2020-05-28,496.0
2020-05-29,531.0
2020-05-30,551.0
2020-05-31,580.0
2020-06-01,584.0
2020-06-02,602.0
2020-06-03,645.0
2020-06-04,680.0
2020-06-05,724.0
2020-06-06,775.0
2020-06-07,798.0
2020-06-08,806.0
2020-06-09,818.0
2020-06-10,842.0
2020-06-11,876.0
2020-06-12,901.0
2020-06-13,919.0
2020-06-14,937.0
2020-06-15,941.0
2020-06-16,971.0
2020-06-17,1000.0
2020-06-18,1058.0
2020-06-19,1108.0
2020-06-20,1162.0
2020-06-21,1199.0
2020-06-22,1219.0
2020-06-23,1225.0
2020-06-24,1287.0
2020-06-25,1332.0
2020-06-26,1350.0
2020-06-27,1418.0
2020-06-28,1483.0
2020-06-29,1495.0
2020-06-30,1506.0
2020-07-01,1561.0
2020-07-02,1635.0
2020-07-03,1697.0
2020-07-04,1741.0
2020-07-05,1831.0
2020-07-06,1894.0
2020-07-07,1916.0
2020-07-08,1993.0
2020-07-09,2038.0
2020-07-10,2111.0
2020-07-11,2180.0
2020-07-12,2261.0
2020-07-13,2274.0
2020-07-14,2314.0
2020-07-15,2382.0
2020-07-16,2470.0
2020-07-17,2541.0
2020-07-18,2628.0
2020-07-19,2660.0
2020-07-20,2707.0
2020-07-21,2725.0
2020-07-22,2807.0
2020-07-23,2915.0
2020-07-24,3047.0
2020-07-25,3146.0
2020-07-26,3200.0
2020-07-27,3243.0
2020-07-28,3273.0
2020-07-29,3341.0
2020-07-30,3486.0
2020-07-31,3563.0
2020-08-01,3630.0
2020-08-02,3692.0
2020-08-03,3715.0
2020-08-04,3740.0
2020-08-05,3805.0
2020-08-06,3900.0
2020-08-07,3985.0
2020-08-08,4040.0
2020-08-09,4100.0
2020-08-10,4112.0
