Data,COMSRSCA50004
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,0.0
2020-04-01,1.0
2020-04-02,1.0
2020-04-03,1.0
2020-04-04,1.0
2020-04-05,3.0
2020-04-06,3.0
2020-04-07,3.0
2020-04-08,8.0
2020-04-09,8.0
2020-04-10,9.0
2020-04-11,10.0
2020-04-12,10.0
2020-04-13,13.0
2020-04-14,13.0
2020-04-15,13.0
2020-04-16,13.0
2020-04-17,18.0
2020-04-18,19.0
2020-04-19,21.0
2020-04-20,22.0
2020-04-21,22.0
2020-04-22,23.0
2020-04-23,29.0
2020-04-24,42.0
2020-04-25,44.0
2020-04-26,44.0
2020-04-27,46.0
2020-04-28,46.0
2020-04-29,55.0
2020-04-30,57.0
2020-05-01,57.0
2020-05-02,59.0
2020-05-03,61.0
2020-05-04,63.0
2020-05-05,65.0
2020-05-06,67.0
2020-05-07,75.0
2020-05-08,75.0
2020-05-09,81.0
2020-05-10,85.0
2020-05-11,87.0
2020-05-12,90.0
2020-05-13,96.0
2020-05-14,99.0
2020-05-15,104.0
2020-05-16,108.0
2020-05-17,114.0
2020-05-18,116.0
2020-05-19,126.0
2020-05-20,133.0
2020-05-21,131.0
2020-05-22,141.0
2020-05-23,129.0
2020-05-24,134.0
2020-05-25,147.0
2020-05-26,153.0
2020-05-27,160.0
2020-05-28,165.0
2020-05-29,171.0
2020-05-30,174.0
2020-05-31,178.0
2020-06-01,180.0
2020-06-02,181.0
2020-06-03,190.0
2020-06-04,190.0
2020-06-05,191.0
2020-06-06,197.0
2020-06-07,200.0
2020-06-08,200.0
2020-06-09,212.0
2020-06-10,214.0
2020-06-11,215.0
2020-06-12,216.0
2020-06-13,220.0
2020-06-14,230.0
2020-06-15,233.0
2020-06-16,244.0
2020-06-17,305.0
2020-06-18,320.0
2020-06-19,350.0
2020-06-20,375.0
2020-06-21,383.0
2020-06-22,386.0
2020-06-23,403.0
2020-06-24,417.0
2020-06-25,431.0
2020-06-26,442.0
2020-06-27,463.0
2020-06-28,473.0
2020-06-29,479.0
2020-06-30,492.0
2020-07-01,531.0
2020-07-02,556.0
2020-07-03,577.0
2020-07-04,593.0
2020-07-05,604.0
2020-07-06,607.0
2020-07-07,629.0
2020-07-08,661.0
2020-07-09,803.0
2020-07-10,864.0
2020-07-11,973.0
2020-07-12,993.0
