Data,OABiAVitiriaidioiqiiiti
2020-03-27,0
2020-03-28,0
2020-03-29,0
2020-03-30,0
2020-03-31,0
2020-04-01,0
2020-04-02,0
2020-04-03,0
2020-04-04,0
2020-04-05,0
2020-04-06,0
2020-04-07,0
2020-04-08,0
2020-04-09,0
2020-04-10,0
2020-04-11,0
2020-04-12,0
2020-04-13,1
2020-04-14,1
2020-04-15,0
2020-04-16,1
2020-04-17,1
2020-04-18,1
2020-04-19,1
2020-04-20,1
2020-04-21,1
2020-04-22,1
2020-04-23,1
2020-04-24,1
2020-04-25,1
2020-04-26,1
2020-04-27,1
2020-04-28,3
2020-04-29,3
2020-04-30,3
2020-05-01,3
2020-05-02,3
2020-05-03,4
2020-05-04,4
2020-05-05,4
2020-05-06,4
2020-05-07,4
2020-05-08,4
2020-05-09,4
2020-05-10,4
2020-05-11,4
2020-05-12,4
2020-05-13,4
2020-05-14,4
2020-05-15,6
2020-05-16,4
2020-05-17,7
2020-05-18,7
2020-05-19,4
2020-05-20,4
2020-05-21,4
2020-05-22,4
2020-05-23,4
2020-05-24,4
2020-05-25,4
2020-05-26,4
2020-05-27,4
2020-05-28,5
2020-05-29,5
2020-05-30,5
2020-05-31,5
2020-06-01,5
2020-06-02,5
2020-06-03,5
2020-06-04,5
2020-06-05,5
2020-06-06,5
2020-06-07,5
2020-06-08,5
2020-06-09,5
2020-06-10,5
2020-06-11,5
2020-06-12,5
2020-06-13,5
2020-06-14,5
2020-06-15,5
2020-06-16,5
2020-06-17,5
2020-06-18,5
2020-06-19,6
2020-06-20,9
2020-06-21,11
2020-06-22,13
2020-06-23,13
2020-06-24,13
2020-06-25,14
2020-06-26,15
2020-06-27,15
2020-06-28,15
2020-06-29,15
2020-06-30,15
2020-07-01,16
2020-07-02,18
2020-07-03,19
2020-07-04,19
2020-07-05,20
2020-07-06,21
2020-07-07,21
2020-07-08,22
2020-07-09,22
2020-07-10,22
2020-07-11,22
2020-07-12,22
2020-07-13,22
2020-07-14,22
2020-07-15,22
2020-07-16,23
