Data,SUPRRSCA41009
2020-03-27,0.0
2020-03-28,7.0
2020-03-29,11.0
2020-03-30,11.0
2020-03-31,11.0
2020-04-01,13.0
2020-04-02,13.0
2020-04-03,25.0
2020-04-04,27.0
2020-04-05,28.0
2020-04-06,29.0
2020-04-07,30.0
2020-04-08,30.0
2020-04-09,31.0
2020-04-10,31.0
2020-04-11,31.0
2020-04-12,31.0
2020-04-13,34.0
2020-04-14,35.0
2020-04-15,39.0
2020-04-16,40.0
2020-04-17,40.0
2020-04-18,43.0
2020-04-19,44.0
2020-04-20,44.0
2020-04-21,44.0
2020-04-22,44.0
2020-04-23,44.0
2020-04-24,46.0
2020-04-25,48.0
2020-04-26,48.0
2020-04-27,46.0
2020-04-28,46.0
2020-04-29,52.0
2020-04-30,55.0
2020-05-01,56.0
2020-05-02,56.0
2020-05-03,58.0
2020-05-04,58.0
2020-05-05,58.0
2020-05-06,60.0
2020-05-07,61.0
2020-05-08,71.0
2020-05-09,71.0
2020-05-10,78.0
2020-05-11,78.0
2020-05-12,89.0
2020-05-13,98.0
2020-05-14,99.0
2020-05-15,103.0
2020-05-16,108.0
2020-05-17,109.0
2020-05-18,109.0
2020-05-19,112.0
2020-05-20,113.0
2020-05-21,119.0
2020-05-22,119.0
2020-05-23,124.0
2020-05-24,124.0
2020-05-25,126.0
2020-05-26,127.0
2020-05-27,143.0
2020-05-28,158.0
2020-05-29,167.0
2020-05-30,170.0
2020-05-31,171.0
2020-06-01,171.0
2020-06-02,176.0
2020-06-03,178.0
2020-06-04,184.0
2020-06-05,189.0
2020-06-06,192.0
2020-06-07,192.0
2020-06-08,192.0
2020-06-09,196.0
2020-06-10,204.0
2020-06-11,206.0
2020-06-12,237.0
2020-06-13,237.0
2020-06-14,237.0
2020-06-15,238.0
2020-06-16,292.0
2020-06-17,319.0
2020-06-18,397.0
2020-06-19,397.0
2020-06-20,483.0
2020-06-21,539.0
2020-06-22,553.0
2020-06-23,559.0
2020-06-24,625.0
2020-06-25,629.0
2020-06-26,739.0
2020-06-27,844.0
2020-06-28,968.0
2020-06-29,1057.0
2020-06-30,1149.0
2020-07-01,1224.0
2020-07-02,1317.0
2020-07-03,1472.0
2020-07-04,1594.0
2020-07-05,1631.0
2020-07-06,1643.0
2020-07-07,1740.0
2020-07-08,1763.0
2020-07-09,1913.0
2020-07-10,2026.0
