Data,CAGiO_An
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,0.0
2020-03-11,0.0
2020-03-12,0.0
2020-03-13,3.0
2020-03-14,3.0
2020-03-15,3.0
2020-03-16,3.0
2020-03-17,6.0
2020-03-18,8.0
2020-03-19,12.0
2020-03-20,15.0
2020-03-21,20.0
2020-03-22,21.0
2020-03-23,23.0
2020-03-24,27.0
2020-03-25,29.0
2020-03-26,39.0
2020-03-27,49.0
2020-03-28,56.0
2020-03-29,58.0
2020-03-30,61.0
2020-03-31,65.0
2020-04-01,71.0
2020-04-02,73.0
2020-04-03,88.0
2020-04-04,103.0
2020-04-05,115.0
2020-04-06,119.0
2020-04-07,133.0
2020-04-08,158.0
2020-04-09,179.0
2020-04-10,191.0
2020-04-11,209.0
2020-04-12,229.0
2020-04-13,233.0
2020-04-14,284.0
2020-04-15,304.0
2020-04-16,318.0
2020-04-17,335.0
2020-04-18,378.0
2020-04-19,393.0
2020-04-20,403.0
2020-04-21,421.0
2020-04-22,438.0
2020-04-23,453.0
2020-04-24,486.0
2020-04-25,506.0
2020-04-26,573.0
2020-04-27,616.0
2020-04-28,661.0
2020-04-29,705.0
2020-04-30,781.0
2020-05-01,808.0
2020-05-02,825.0
2020-05-03,850.0
2020-05-04,861.0
2020-05-05,922.0
2020-05-06,1024.0
2020-05-07,1027.0
2020-05-08,1053.0
2020-05-09,1069.0
2020-05-10,1093.0
2020-05-11,1100.0
2020-05-12,1115.0
2020-05-13,1134.0
2020-05-14,1423.0
2020-05-15,1572.0
2020-05-16,1640.0
2020-05-17,1692.0
2020-05-18,1749.0
2020-05-19,1846.0
2020-05-20,1978.0
2020-05-21,2114.0
2020-05-22,2304.0
2020-05-23,2377.0
2020-05-24,2443.0
2020-05-25,2512.0
2020-05-26,2671.0
2020-05-27,2843.0
2020-05-28,3090.0
2020-05-29,3319.0
2020-05-30,3585.0
2020-05-31,3702.0
2020-06-01,3906.0
2020-06-02,4377.0
2020-06-03,4570.0
2020-06-04,4944.0
2020-06-05,5373.0
2020-06-06,5669.0
2020-06-07,5813.0
2020-06-08,6124.0
2020-06-09,6521.0
2020-06-10,7159.0
2020-06-11,7657.0
2020-06-12,7846.0
2020-06-13,7940.0
2020-06-14,7944.0
2020-06-15,10182.0
2020-06-16,11264.0
2020-06-17,12236.0
