Data,OAIimip
2020-03-28,0
2020-03-29,0
2020-03-30,0
2020-03-31,0
2020-04-01,0
2020-04-02,0
2020-04-03,0
2020-04-04,0
2020-04-05,0
2020-04-06,0
2020-04-07,0
2020-04-08,0
2020-04-09,0
2020-04-10,0
2020-04-11,0
2020-04-12,0
2020-04-13,0
2020-04-14,0
2020-04-15,0
2020-04-16,0
2020-04-17,0
2020-04-18,2
2020-04-19,2
2020-04-20,3
2020-04-21,3
2020-04-22,3
2020-04-23,3
2020-04-24,3
2020-04-25,3
2020-04-26,3
2020-04-27,3
2020-04-28,4
2020-04-29,4
2020-04-30,6
2020-05-01,6
2020-05-02,8
2020-05-03,11
2020-05-04,11
2020-05-05,14
2020-05-06,16
2020-05-07,16
2020-05-08,17
2020-05-09,19
2020-05-10,20
2020-05-11,22
2020-05-12,22
2020-05-13,30
2020-05-14,35
2020-05-15,35
2020-05-16,36
2020-05-17,36
2020-05-18,42
2020-05-19,48
2020-05-20,49
2020-05-21,54
2020-05-22,55
2020-05-23,65
2020-05-24,67
2020-05-25,68
2020-05-26,68
2020-05-27,79
2020-05-28,80
2020-05-29,87
