Data,NEPBRSCA25001
2020-03-27,0.0
2020-03-28,10.0
2020-03-29,10.0
2020-03-30,11.0
2020-03-31,12.0
2020-04-01,15.0
2020-04-02,16.0
2020-04-03,24.0
2020-04-04,25.0
2020-04-05,27.0
2020-04-06,27.0
2020-04-07,28.0
2020-04-08,33.0
2020-04-09,47.0
2020-04-10,68.0
2020-04-11,74.0
2020-04-12,90.0
2020-04-13,100.0
2020-04-14,123.0
2020-04-15,137.0
2020-04-16,149.0
2020-04-17,173.0
2020-04-18,181.0
2020-04-19,204.0
2020-04-20,212.0
2020-04-21,229.0
2020-04-22,256.0
2020-04-23,291.0
2020-04-24,317.0
2020-04-25,363.0
2020-04-26,403.0
2020-04-27,445.0
2020-04-28,525.0
2020-04-29,574.0
2020-04-30,670.0
2020-05-01,765.0
2020-05-02,839.0
2020-05-03,961.0
2020-05-04,996.0
2020-05-05,1111.0
2020-05-06,1200.0
2020-05-07,1324.0
2020-05-08,1559.0
2020-05-09,1638.0
2020-05-10,1757.0
2020-05-11,1859.0
2020-05-12,2001.0
2020-05-13,2171.0
2020-05-14,2330.0
2020-05-15,2453.0
2020-05-16,2595.0
2020-05-17,2793.0
2020-05-18,2987.0
2020-05-19,3247.0
2020-05-20,3556.0
2020-05-21,3757.0
2020-05-22,3787.0
2020-05-23,4079.0
2020-05-24,4274.0
2020-05-25,4366.0
2020-05-26,4791.0
2020-05-27,5468.0
2020-05-28,5959.0
2020-05-29,6283.0
2020-05-30,6611.0
2020-05-31,6738.0
2020-06-01,7071.0
2020-06-02,7602.0
2020-06-03,8157.0
2020-06-04,8944.0
2020-06-05,9288.0
2020-06-06,9855.0
2020-06-07,9985.0
2020-06-08,10327.0
2020-06-09,10844.0
2020-06-10,11400.0
2020-06-11,11834.0
2020-06-12,12271.0
2020-06-13,12575.0
2020-06-14,12899.0
2020-06-15,13227.0
2020-06-16,13804.0
2020-06-17,14476.0
2020-06-18,14516.0
2020-06-19,15911.0
2020-06-20,16389.0
2020-06-21,16484.0
2020-06-22,16707.0
2020-06-23,17392.0
2020-06-24,17560.0
2020-06-25,17869.0
2020-06-26,18720.0
2020-06-27,19334.0
2020-06-28,19506.0
2020-06-29,19654.0
2020-06-30,20519.0
2020-07-01,20924.0
2020-07-02,21449.0
