Data,CNBiA_An
2020-03-06,0
2020-03-07,1
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,1
2020-03-18,0
2020-03-19,27
2020-03-20,3
2020-03-21,8
2020-03-22,8
2020-03-23,14
2020-03-24,13
2020-03-25,8
2020-03-26,20
2020-03-27,11
2020-03-28,12
2020-03-29,27
2020-03-30,22
2020-03-31,37
2020-04-01,33
2020-04-02,21
2020-04-03,15
2020-04-04,50
2020-04-05,69
2020-04-06,30
2020-04-07,25
2020-04-08,41
2020-04-09,62
2020-04-10,45
2020-04-11,31
2020-04-12,38
2020-04-13,50
2020-04-14,36
2020-04-15,48
2020-04-16,144
2020-04-17,108
2020-04-18,134
2020-04-19,37
2020-04-20,111
2020-04-21,148
2020-04-22,155
2020-04-23,145
2020-04-24,173
2020-04-25,119
2020-04-26,128
2020-04-27,145
2020-04-28,186
2020-04-29,106
2020-04-30,205
2020-05-01,234
2020-05-02,182
2020-05-03,228
2020-05-04,239
2020-05-05,306
2020-05-06,261
2020-05-07,227
2020-05-08,290
2020-05-09,356
2020-05-10,384
2020-05-11,250
2020-05-12,396
2020-05-13,343
2020-05-14,408
2020-05-15,1173
2020-05-16,186
2020-05-17,129
2020-05-18,138
2020-05-19,2432
2020-05-20,184
2020-05-21,744
2020-05-22,616
2020-05-23,443
2020-05-24,899
2020-05-25,305
2020-05-26,362
2020-05-27,504
2020-05-28,893
2020-05-29,954
