Data,OATiO_An
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,0.0
2020-03-11,0.0
2020-03-12,0.0
2020-03-13,0.0
2020-03-14,0.0
2020-03-15,0.0
2020-03-16,0.0
2020-03-17,0.0
2020-03-18,0.0
2020-03-19,0.0
2020-03-20,0.0
2020-03-21,0.0
2020-03-22,0.0
2020-03-23,0.0
2020-03-24,0.0
2020-03-25,0.0
2020-03-26,0.0
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,0.0
2020-04-01,0.0
2020-04-02,0.0
2020-04-03,0.0
2020-04-04,0.0
2020-04-05,0.0
2020-04-06,0.0
2020-04-07,0.0
2020-04-08,0.0
2020-04-09,0.0
2020-04-10,0.0
2020-04-11,0.0
2020-04-12,0.0
2020-04-13,0.0
2020-04-14,0.0
2020-04-15,1.0
2020-04-16,1.0
2020-04-17,1.0
2020-04-18,1.0
2020-04-19,1.0
2020-04-20,1.0
2020-04-21,1.0
2020-04-22,1.0
2020-04-23,2.0
2020-04-24,2.0
2020-04-25,2.0
2020-04-26,2.0
2020-04-27,2.0
2020-04-28,2.0
2020-04-29,3.0
2020-04-30,3.0
2020-05-01,3.0
2020-05-02,4.0
2020-05-03,4.0
2020-05-04,6.0
2020-05-05,7.0
2020-05-06,9.0
2020-05-07,9.0
2020-05-08,9.0
2020-05-09,9.0
2020-05-10,11.0
2020-05-11,12.0
2020-05-12,14.0
2020-05-13,21.0
2020-05-14,23.0
2020-05-15,24.0
2020-05-16,27.0
2020-05-17,31.0
2020-05-18,32.0
2020-05-19,38.0
2020-05-20,42.0
2020-05-21,47.0
2020-05-22,49.0
2020-05-23,51.0
2020-05-24,52.0
2020-05-25,58.0
2020-05-26,64.0
2020-05-27,65.0
2020-05-28,68.0
2020-05-29,70.0
2020-05-30,71.0
2020-05-31,73.0
2020-06-01,76.0
2020-06-02,79.0
2020-06-03,82.0
2020-06-04,87.0
2020-06-05,89.0
2020-06-06,96.0
2020-06-07,99.0
2020-06-08,108.0
2020-06-09,114.0
2020-06-10,120.0
2020-06-11,124.0
2020-06-12,128.0
2020-06-13,130.0
2020-06-14,132.0
2020-06-15,136.0
2020-06-16,140.0
2020-06-17,149.0
2020-06-18,152.0
2020-06-19,159.0
2020-06-20,167.0
2020-06-21,175.0
2020-06-22,178.0
2020-06-23,179.0
2020-06-24,181.0
2020-06-25,183.0
2020-06-26,186.0
2020-06-27,191.0
2020-06-28,192.0
2020-06-29,195.0
2020-06-30,200.0
