Data,NOTORSCA17007
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,0.0
2020-04-01,0.0
2020-04-02,0.0
2020-04-03,0.0
2020-04-04,0.0
2020-04-05,0.0
2020-04-06,0.0
2020-04-07,0.0
2020-04-08,0.0
2020-04-09,0.0
2020-04-10,0.0
2020-04-11,0.0
2020-04-12,1.0
2020-04-13,1.0
2020-04-14,1.0
2020-04-15,1.0
2020-04-16,1.0
2020-04-17,1.0
2020-04-18,1.0
2020-04-19,1.0
2020-04-20,1.0
2020-04-21,1.0
2020-04-22,1.0
2020-04-23,1.0
2020-04-24,1.0
2020-04-25,1.0
2020-04-26,1.0
2020-04-27,1.0
2020-04-28,1.0
2020-04-29,1.0
2020-04-30,2.0
2020-05-01,3.0
2020-05-02,3.0
2020-05-03,4.0
2020-05-04,5.0
2020-05-05,5.0
2020-05-06,9.0
2020-05-07,11.0
2020-05-08,14.0
2020-05-09,17.0
2020-05-10,24.0
2020-05-11,30.0
2020-05-12,33.0
2020-05-13,36.0
2020-05-14,41.0
2020-05-15,42.0
2020-05-16,52.0
2020-05-17,60.0
2020-05-18,60.0
2020-05-19,71.0
2020-05-20,75.0
2020-05-21,80.0
2020-05-22,87.0
2020-05-23,89.0
2020-05-24,92.0
2020-05-25,92.0
2020-05-26,94.0
2020-05-27,105.0
2020-05-28,127.0
2020-05-29,134.0
2020-05-30,145.0
2020-05-31,151.0
2020-06-01,159.0
2020-06-02,162.0
2020-06-03,177.0
2020-06-04,183.0
2020-06-05,199.0
2020-06-06,208.0
2020-06-07,220.0
2020-06-08,222.0
2020-06-09,221.0
2020-06-10,232.0
2020-06-11,236.0
2020-06-12,239.0
2020-06-13,254.0
2020-06-14,257.0
2020-06-15,258.0
2020-06-16,258.0
2020-06-17,258.0
2020-06-18,266.0
2020-06-19,269.0
2020-06-20,273.0
2020-06-21,275.0
2020-06-22,279.0
2020-06-23,281.0
2020-06-24,284.0
2020-06-25,283.0
2020-06-26,293.0
2020-06-27,305.0
2020-06-28,308.0
2020-06-29,312.0
2020-06-30,318.0
2020-07-01,328.0
2020-07-02,334.0
2020-07-03,338.0
2020-07-04,365.0
2020-07-05,373.0
2020-07-06,372.0
2020-07-07,375.0
2020-07-08,386.0
2020-07-09,399.0
2020-07-10,414.0
