Data,NOAMRSCA13007
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,0.0
2020-04-01,0.0
2020-04-02,0.0
2020-04-03,0.0
2020-04-04,0.0
2020-04-05,0.0
2020-04-06,0.0
2020-04-07,0.0
2020-04-08,0.0
2020-04-09,0.0
2020-04-10,0.0
2020-04-11,0.0
2020-04-12,0.0
2020-04-13,0.0
2020-04-14,0.0
2020-04-15,0.0
2020-04-16,3.0
2020-04-17,1.0
2020-04-18,1.0
2020-04-19,1.0
2020-04-20,1.0
2020-04-21,1.0
2020-04-22,1.0
2020-04-23,1.0
2020-04-24,4.0
2020-04-25,34.0
2020-04-26,65.0
2020-04-27,66.0
2020-04-28,66.0
2020-04-29,66.0
2020-04-30,67.0
2020-05-01,68.0
2020-05-02,72.0
2020-05-03,72.0
2020-05-04,106.0
2020-05-05,122.0
2020-05-06,125.0
2020-05-07,126.0
2020-05-08,133.0
2020-05-09,134.0
2020-05-10,135.0
2020-05-11,135.0
2020-05-12,139.0
2020-05-13,144.0
2020-05-14,160.0
2020-05-15,168.0
2020-05-16,187.0
2020-05-17,190.0
2020-05-18,199.0
2020-05-19,215.0
2020-05-20,231.0
2020-05-21,238.0
2020-05-22,249.0
2020-05-23,287.0
2020-05-24,295.0
2020-05-25,299.0
2020-05-26,343.0
2020-05-27,366.0
2020-05-28,383.0
2020-05-29,397.0
2020-05-30,417.0
2020-05-31,420.0
2020-06-01,447.0
2020-06-02,463.0
2020-06-03,478.0
2020-06-04,496.0
2020-06-05,521.0
2020-06-06,527.0
2020-06-07,569.0
2020-06-08,578.0
2020-06-09,606.0
2020-06-10,719.0
2020-06-11,753.0
2020-06-12,761.0
2020-06-13,810.0
2020-06-14,815.0
2020-06-15,815.0
2020-06-16,856.0
2020-06-17,1040.0
2020-06-18,1075.0
2020-06-19,1121.0
2020-06-20,1263.0
2020-06-21,1273.0
